level_0	index	EDU_1	EDU_2	Relation	num_of_words_1	avg_word_len_1	upcase_words_num_1	num_unique_words_1	count_words_title_1	mean_word_len_1	words_vs_unique_1	num_of_words_2	avg_word_len_2	upcase_words_num_2	num_unique_words_2	count_words_title_2	mean_word_len_2	words_vs_unique_2	bleu_score	nouns_count_1	verbs_count_1	adj_count_1	adv_count_1	aux_count_1	num_count_1	vbd_count_1	nouns_vs_words_1	adjectives_vs_words_1	verbs_vs_words_1	adp_count_1	cconj_count_1	sconj_count_1	part_count_1	pron_count_1	nouns_count_2	verbs_count_2	adj_count_2	adv_count_2	aux_count_2	num_count_2	vbd_count_2	nouns_vs_words_2	adjectives_vs_words_2	verbs_vs_words_2	adp_count_2	cconj_count_2	sconj_count_2	part_count_2	pron_count_2
500	500	но решения надо было вручную в репозиторий коммитить, такое себе).	(мы потом похожую штуку сделали,	contrast_m	10	5.7	0	10	0	5.7	1.0	5	5.6	0	5	0	5.6	1.0	0.3115112946856176	2	1	0	2	1	0	0	0.2	0.0	0.1	1	1	0	0	1	1	1	1	1	0	0	0	0.2	0.2	0.2	0	0	0	0	1
501	501	который бы следил, какие задачи где считаются,	Вторая безусловно полезная штука, которой нам не хватало — центр координации,	purpose_r	7	5.714285714285714	0	7	0	5.714285714285714	1.0	11	6.090909090909091	1	11	1	6.090909090909091	1.0	0.674199862463242	1	2	0	1	0	0	0	0.14285714285714285	0.0	0.2857142857142857	0	0	0	1	1	3	1	2	1	0	0	0	0.2727272727272727	0.18181818181818182	0.09090909090909091	0	0	0	1	2
502	502	и раздавал работу.	который бы следил, какие задачи где считаются,	joint_m	3	5.333333333333333	0	3	0	5.333333333333333	1.0	7	5.714285714285714	0	7	0	5.714285714285714	1.0	0.5516772843673705	1	1	0	0	0	0	0	0.3333333333333333	0.0	0.3333333333333333	0	1	0	0	0	1	2	0	1	0	0	0	0.14285714285714285	0.0	0.2857142857142857	0	0	0	1	1
503	503	Так можно было бы и решать быстрее	Вторая безусловно полезная штука, которой нам не хватало — центр координации,	elaboration_r	7	4.0	1	7	1	4.0	1.0	11	6.090909090909091	1	11	1	6.090909090909091	1.0	0.5810872031479765	0	1	0	3	1	0	0	0.0	0.0	0.14285714285714285	0	0	0	2	0	3	1	2	1	0	0	0	0.2727272727272727	0.18181818181818182	0.09090909090909091	0	0	0	1	2
504	504	(запустил на всех ноутах,	Так можно было бы и решать быстрее	elaboration_r	4	5.5	0	4	0	5.5	1.0	7	4.0	1	7	1	4.0	1.0	0.6183469424008423	1	1	0	0	0	0	0	0.25	0.0	0.25	1	0	0	0	0	0	1	0	3	1	0	0	0.0	0.0	0.14285714285714285	0	0	0	2	0
505	505	и задачи считаются разные,	(запустил на всех ноутах,	joint_m	4	5.75	0	4	0	5.75	1.0	4	5.5	0	4	0	5.5	1.0	0.7442242994097824	1	1	1	0	0	0	0	0.25	0.25	0.25	0	1	0	0	0	1	1	0	0	0	0	0	0.25	0.0	0.25	1	0	0	0	0
506	506	не пересекаются),	(запустил на всех ноутах,	joint_m	2	8.0	0	2	0	8.0	1.0	4	5.5	0	4	0	5.5	1.0	0.6	0	1	0	0	0	0	0	0.0	0.0	0.5	0	0	0	1	0	1	1	0	0	0	0	0	0.25	0.0	0.25	1	0	0	0	0
507	507	и гипотез разных потестировать,	Так можно было бы и решать быстрее	joint_m	4	7.0	0	4	0	7.0	1.0	7	4.0	1	7	1	4.0	1.0	0.747545001596402	1	1	1	0	0	0	0	0.25	0.25	0.25	0	1	0	0	0	0	1	0	3	1	0	0	0.0	0.0	0.14285714285714285	0	0	0	2	0
508	508	и на дашборд красиво вывести.	Так можно было бы и решать быстрее	joint_m	5	5.0	0	5	0	5.0	1.0	7	4.0	1	7	1	4.0	1.0	0.747545001596402	1	1	0	1	0	0	0	0.2	0.0	0.2	1	1	0	0	0	0	1	0	3	1	0	0	0.0	0.0	0.14285714285714285	0	0	0	2	0
509	509	Ведь известно заранее, что будет N задач,	инфраструктура под это довольно универсальная получается.	cause_r	7	5.0	2	7	2	5.0	1.0	6	8.666666666666666	0	6	0	8.666666666666666	1.0	0.6882472016116853	1	1	1	1	0	1	0	0.14285714285714285	0.14285714285714285	0.14285714285714285	0	0	1	1	0	1	1	1	1	0	0	0	0.16666666666666666	0.16666666666666666	0.16666666666666666	1	0	0	0	1
