level_0	index	EDU_1	EDU_2	Relation	num_of_words_1	avg_word_len_1	upcase_words_num_1	num_unique_words_1	count_words_title_1	mean_word_len_1	words_vs_unique_1	num_of_words_2	avg_word_len_2	upcase_words_num_2	num_unique_words_2	count_words_title_2	mean_word_len_2	words_vs_unique_2	bleu_score	nouns_count_1	verbs_count_1	adj_count_1	adv_count_1	aux_count_1	num_count_1	vbd_count_1	nouns_vs_words_1	adjectives_vs_words_1	verbs_vs_words_1	adp_count_1	cconj_count_1	sconj_count_1	part_count_1	pron_count_1	nouns_count_2	verbs_count_2	adj_count_2	adv_count_2	aux_count_2	num_count_2	vbd_count_2	nouns_vs_words_2	adjectives_vs_words_2	verbs_vs_words_2	adp_count_2	cconj_count_2	sconj_count_2	part_count_2	pron_count_2
3000	3009	куда я и направился.	В туристическом инфоцентре Сопрабольцано,	sequence_m	4	4.25	0	4	0	4.25	1.0	4	9.5	2	4	2	9.5	1.0	0.5843487097907776	0	1	0	1	0	0	0	0.0	0.0	0.25	0	0	0	1	1	1	0	1	0	0	0	0	0.25	0.25	0.0	1	0	0	0	0
3001	3010	Некоторые из них принадлежат местным жителям,	По пути встречаются лишь отдельные домики.	elaboration_r	6	6.666666666666667	1	6	1	6.666666666666667	1.0	6	6.166666666666667	1	6	1	6.166666666666667	1.0	0.7868916696862145	1	1	1	0	0	0	0	0.16666666666666666	0.16666666666666666	0.16666666666666666	1	0	0	0	1	2	1	1	0	0	0	0	0.3333333333333333	0.16666666666666666	0.16666666666666666	1	0	0	1	0
3002	3011	другие - сдаются туристам.	Некоторые из них принадлежат местным жителям,	joint_m	4	5.75	0	4	0	5.75	1.0	6	6.666666666666667	1	6	1	6.666666666666667	1.0	0.6146362971528592	1	1	1	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0	1	1	1	0	0	0	0	0.16666666666666666	0.16666666666666666	0.16666666666666666	1	0	0	0	1
3003	3012	В Реноне достаточно сильно развит конный спорт:	По пути встречаются лишь отдельные домики.	joint_m	7	5.857142857142857	2	7	2	5.857142857142857	1.0	6	6.166666666666667	1	6	1	6.166666666666667	1.0	0.7376878486288219	1	1	1	2	0	0	0	0.14285714285714285	0.14285714285714285	0.14285714285714285	1	0	0	0	0	2	1	1	0	0	0	0	0.3333333333333333	0.16666666666666666	0.16666666666666666	1	0	0	1	0
3004	3013	по пути встречается немало конюшен,	В Реноне достаточно сильно развит конный спорт:	joint_m	5	6.2	0	5	0	6.2	1.0	7	5.857142857142857	2	7	2	5.857142857142857	1.0	0.74376843799781	2	1	0	1	0	0	0	0.4	0.0	0.2	1	0	0	0	0	1	1	1	2	0	0	0	0.14285714285714285	0.14285714285714285	0.14285714285714285	1	0	0	0	0
3005	3014	перепутать с чем-то другим их сложно.	по пути встречается немало конюшен,	evaluation_r	6	5.333333333333333	0	6	0	5.333333333333333	1.0	5	6.2	0	5	0	6.2	1.0	0.7982136580484371	0	1	2	0	0	0	0	0.0	0.3333333333333333	0.16666666666666666	1	0	0	0	2	2	1	0	1	0	0	0	0.4	0.0	0.2	1	0	0	0	0
3006	3015	Признаться, я не большой поклонник конных прогулок,	В Реноне достаточно сильно развит конный спорт:	evaluation_r	7	6.428571428571429	1	7	1	6.428571428571429	1.0	7	5.857142857142857	2	7	2	5.857142857142857	1.0	0.78114075483087	2	1	2	0	0	0	0	0.2857142857142857	0.2857142857142857	0.14285714285714285	0	0	0	1	1	1	1	1	2	0	0	0	0.14285714285714285	0.14285714285714285	0.14285714285714285	1	0	0	0	0
3007	3016	но на фоне таких пейзажей покатался бы с огромным удовольствием.	Признаться, я не большой поклонник конных прогулок,	contrast_m	10	5.5	0	10	0	5.5	1.0	7	6.428571428571429	1	7	1	6.428571428571429	1.0	0.6777112585598964	3	1	1	0	0	0	0	0.3	0.1	0.1	2	1	0	1	0	2	1	2	0	0	0	0	0.2857142857142857	0.2857142857142857	0.14285714285714285	0	0	0	1	1
3008	3017	Я приехал в Доломитовые Альпы в начале декабря,	По пути встречаются лишь отдельные домики.	joint_m	8	5.0	3	7	3	5.0	0.875	6	6.166666666666667	1	6	1	6.166666666666667	1.0	0.7248575159966778	2	1	0	0	0	0	0	0.25	0.0	0.125	2	0	0	0	1	2	1	1	0	0	0	0	0.3333333333333333	0.16666666666666666	0.16666666666666666	1	0	0	1	0
3009	3018	но погода здесь стоит еще осенняя: около 8 градусов тепла, желтые или даже зеленые деревья и ослепительное солнце.	Я приехал в Доломитовые Альпы в начале декабря,	contrast_m	18	5.388888888888889	0	18	0	5.388888888888889	1.0	8	5.0	3	7	3	5.0	0.875	0.2189690479570039	5	1	4	2	0	1	0	0.2777777777777778	0.2222222222222222	0.05555555555555555	1	3	0	1	0	2	1	0	0	0	0	0	0.25	0.0	0.125	2	0	0	0	1
