level_0	index	EDU_1	EDU_2	Relation	num_of_words_1	avg_word_len_1	upcase_words_num_1	num_unique_words_1	count_words_title_1	mean_word_len_1	words_vs_unique_1	num_of_words_2	avg_word_len_2	upcase_words_num_2	num_unique_words_2	count_words_title_2	mean_word_len_2	words_vs_unique_2	bleu_score	nouns_count_1	verbs_count_1	adj_count_1	adv_count_1	aux_count_1	num_count_1	vbd_count_1	nouns_vs_words_1	adjectives_vs_words_1	verbs_vs_words_1	adp_count_1	cconj_count_1	sconj_count_1	part_count_1	pron_count_1	nouns_count_2	verbs_count_2	adj_count_2	adv_count_2	aux_count_2	num_count_2	vbd_count_2	nouns_vs_words_2	adjectives_vs_words_2	verbs_vs_words_2	adp_count_2	cconj_count_2	sconj_count_2	part_count_2	pron_count_2
2000	2001	Какой-то минимальной этики,	Сейчас расскажу, почему об этике полезно думать нерыбам,	background_r	3	8.333333333333334	0	3	0	8.333333333333334	1.0	8	6.125	1	8	1	6.125	1.0	0.6123724356957946	1	0	1	0	0	0	0	0.3333333333333333	0.3333333333333333	0.0	0	0	0	0	0	1	2	1	3	0	0	0	0.125	0.125	0.25	1	0	0	0	0
2001	2002	типа не убий	Какой-то минимальной этики,	elaboration_r	3	3.3333333333333335	0	3	0	3.3333333333333335	1.0	3	8.333333333333334	0	3	0	8.333333333333334	1.0	0.5443310539518174	1	1	0	0	0	0	0	0.3333333333333333	0.0	0.3333333333333333	0	0	0	1	0	1	0	1	0	0	0	0	0.3333333333333333	0.3333333333333333	0.0	0	0	0	0	0
2002	2003	и не кради,	типа не убий	joint_m	3	3.0	0	3	0	3.0	1.0	3	3.3333333333333335	0	3	0	3.3333333333333335	1.0	0.7637626158259734	0	1	0	0	0	0	0	0.0	0.0	0.3333333333333333	0	1	0	1	0	1	1	0	0	0	0	0	0.3333333333333333	0.0	0.3333333333333333	0	0	0	1	0
2003	2004	это не касается,	Какой-то минимальной этики,	same-unit_m	3	4.666666666666667	0	3	0	4.666666666666667	1.0	3	8.333333333333334	0	3	0	8.333333333333334	1.0	0.6382847385042254	0	1	0	0	0	0	0	0.0	0.0	0.3333333333333333	0	0	0	1	1	1	0	1	0	0	0	0	0.3333333333333333	0.3333333333333333	0.0	0	0	0	0	0
2004	2005	но эту этику можно рассматривать как разумный эгоизм,	Какой-то минимальной этики,	contrast_m	8	5.75	0	8	0	5.75	1.0	3	8.333333333333334	0	3	0	8.333333333333334	1.0	0.3446037167386093	2	1	1	1	0	0	0	0.25	0.125	0.125	0	1	1	0	0	1	0	1	0	0	0	0	0.3333333333333333	0.3333333333333333	0.0	0	0	0	0	0
2005	2006	то есть те же самые нормальные границы.	но эту этику можно рассматривать как разумный эгоизм,	restatement_m	7	4.714285714285714	0	7	0	4.714285714285714	1.0	8	5.75	0	8	0	5.75	1.0	0.726843784311631	1	1	2	0	0	0	0	0.14285714285714285	0.2857142857142857	0.14285714285714285	0	0	0	1	1	2	1	1	1	0	0	0	0.25	0.125	0.125	0	1	1	0	0
2006	2007	Не делай то,	и останешься в правовом поле,	condition_r	3	3.3333333333333335	1	3	1	3.3333333333333335	1.0	5	5.0	0	5	0	5.0	1.0	0.5570860145311556	0	1	0	0	0	0	0	0.0	0.0	0.3333333333333333	0	0	0	1	1	1	1	1	0	0	0	0	0.2	0.2	0.2	1	1	0	0	0
2007	2008	за что придется дорого заплатить,	Не делай то,	condition_r	5	5.8	0	5	0	5.8	1.0	3	3.3333333333333335	1	3	1	3.3333333333333335	1.0	0.15049264954388597	0	2	0	1	0	0	0	0.0	0.0	0.4	1	0	0	0	1	0	1	0	0	0	0	0	0.0	0.0	0.3333333333333333	0	0	0	1	1
2008	2009	соблюдай правила безопасности в социуме,	Не делай то,	joint_m	5	7.2	0	5	0	7.2	1.0	3	3.3333333333333335	1	3	1	3.3333333333333335	1.0	0.09284359072585789	3	1	0	0	0	0	0	0.6	0.0	0.2	1	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.3333333333333333	0	0	0	1	1
2009	2010	уважай чужую собственность и чужое право на жизнь,	Не делай то,	joint_m	8	5.375	0	8	0	5.375	1.0	3	3.3333333333333335	1	3	1	3.3333333333333335	1.0	0.03649763909214928	3	1	2	0	0	0	0	0.375	0.25	0.125	1	1	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.3333333333333333	0	0	0	1	1
2010	2011	и останешься в правовом поле,	Какой-то минимальной этики,	elaboration_r	5	5.0	0	5	0	5.0	1.0	3	8.333333333333334	0	3	0	8.333333333333334	1.0	0.6686705160979708	1	1	1	0	0	0	0	0.2	0.2	0.2	1	1	0	0	0	1	0	1	0	0	0	0	0.3333333333333333	0.3333333333333333	0.0	0	0	0	0	0
