EDU_1;EDU_2;Relation
здравствуйте;как мальчик взял груши;evaluation_r
фильм о том;как мальчик взял груши;preparation_r
поехал;как мальчик взял груши;sequence_m
но они у него рассыпались случайно;как мальчик взял груши;antithesis_r
ему там другие мальчики помогли;как мальчик взял груши;sequence_m
и он с ними подружился вот этими вот грушами;ему там другие мальчики помогли;sequence_m
и вроде;они сели дружить;evaluation_r
как я поняла;они сели дружить;evaluation_r
они сели дружить;ему там другие мальчики помогли;evaluation_r
нормально?;как мальчик взял груши;evaluation_r
