EDU_1;EDU_2;Relation
складывал их в корзину что ли;в начале фильма мужик лет  сорока пяти - сорока пяти собирал яблоки;sequence_m
потом подъехал=;в начале фильма мужик лет  сорока пяти - сорока пяти собирал яблоки;sequence_m
потом подъехал мальчик;потом подъехал=;restatement_r
забрал эту корзину;потом подъехал=;sequence_m
поставил на велосипед;потом подъехал=;sequence_m
поехал;в начале фильма мужик лет  сорока пяти - сорока пяти собирал яблоки;sequence_m
встретил девочку;поехал;sequence_m
она ехала ему навстречу на велосипеде;встретил девочку;elaboration_r
а он растерялся;поехал;contrast_m
и угодил в камень;а он растерялся;cause_r
и упал;а он растерялся;cause_r
затем трое;в начале фильма мужик лет  сорока пяти - сорока пяти собирал яблоки;sequence_m
проходящих;затем трое;joint_m
тоже молодых ребят помогли ему собрать яблоки;затем трое;joint_m
и подали шляпу;затем трое;sequence_m
которая упала во время падения его на землю;и подали шляпу;elaboration_r
подали шляпу;и подали шляпу;restatement_r
потом этот мужик увидел этих ребят;в начале фильма мужик лет  сорока пяти - сорока пяти собирал яблоки;sequence_m
проходящих мимо;потом этот мужик увидел этих ребят;background_r
ну вот и всё;в начале фильма мужик лет  сорока пяти - сорока пяти собирал яблоки;evaluation_r
ещё там было что-то про косулю;в начале фильма мужик лет  сорока пяти - сорока пяти собирал яблоки;elaboration_r
я это не понял;ещё там было что-то про косулю;evaluation_r
кто-то притащил косулю;ещё там было что-то про косулю;restatement_r
животное;кто-то притащил косулю;restatement_r
и всё;кто-то притащил косулю;evaluation_r
