EDU_1;EDU_2;Relation
утро;в деревне поют петухи;background_r
в деревне поют петухи;у него внизу стоят три корзины;preparation_r
садовник залез на грушу;у него внизу стоят три корзины;background_r
и собирает плоды;садовник залез на грушу;sequence_m
две он уже наполнил;и полез наполнять третью;cause_r
и полез наполнять третью;у него внизу стоят три корзины;joint_m
мимо прошёл мужчина;у него внизу стоят три корзины;background_r
вёл козу;мимо прошёл мужчина;joint_m
после этого мимо проезжал мальчик;у него внизу стоят три корзины;sequence_m
увидел грушу;после этого мимо проезжал мальчик;evaluation_r
груши в корзинках;увидел грушу;elaboration_r
хотел сначала взять одну грушу;увидел грушу;sequence_m
а потом посмотрел;что садовник на дереве;evidence_r
что садовник на дереве;увидел грушу;contrast_m
и ничего не видит;что садовник на дереве;joint_m
взял целую корзину;после этого мимо проезжал мальчик;cause_r
поставил на велосипед;взял целую корзину;sequence_m
и поехал;взял целую корзину;sequence_m
вот по дороге он;груши все рассыпались;background_r
ему навстречу ехала девочка;и он врезался в камень;cause_r
он на неё засмотрелся;ему навстречу ехала девочка;sequence_m
вот а на дороге лежал камень;ему навстречу ехала девочка;elaboration_r
и он врезался в камень;упал;cause_r
упал;груши все рассыпались;cause_r
груши все рассыпались;у него внизу стоят три корзины;sequence_m
а навстречу шли его друзья;у него внизу стоят три корзины;sequence_m
они помогли ему собрать груши;а навстречу шли его друзья;sequence_m
подняли велосипед;а навстречу шли его друзья;sequence_m
и он собрался ехать дальше;а навстречу шли его друзья;sequence_m
а они пошли своей дорогой;у него внизу стоят три корзины;sequence_m
но увидели;что он ещё потерял шляпу;evidence_r
что он ещё потерял шляпу;а они пошли своей дорогой;antithesis_r
свистнули ему;что он ещё потерял шляпу;sequence_m
вернули ему шляпу;свистнули ему;purpose_r
а он с ними поделился грушами;что он ещё потерял шляпу;cause_r
а в это время садовник слез с дерева;что у него не хватает одной корзины;background_r
и увидел;что у него не хватает одной корзины;evidence_r
что у него не хватает одной корзины;у него внизу стоят три корзины;sequence_m
а в это время ребята как раз шли мимо него;что у него не хватает одной корзины;background_r
и ели груши;а в это время ребята как раз шли мимо него;joint_m
и а садовник был в недоумении;откуда у них груши;evaluation_r
откуда у них груши;что у него не хватает одной корзины;cause_r
