EDU_1;EDU_2;Relation
сюжет фильма заключается в том;и мужчина;preparation_r
что наступила пора сбора груш;сюжет фильма заключается в том;joint_m
собирая груши;и мужчина;circumstance_r
собрал две полных корзины;и мужчина;result_r
очень бережно и аккуратно;и мужчина;evaluation_r
грушу;очень бережно и аккуратно;evidence_r
которая упала;грушу;elaboration_r
он даже обтёр своим платком;грушу;joint_m
и было собрано уже две корзины груш;и мужчина;sequence_m
когда мимо проезжал мальчик;и было собрано уже две корзины груш;background_r
захотел угоститься грушей;когда мимо проезжал мальчик;evaluation_r
но потом передумал;и взял целую корзину;cause_r
и взял целую корзину;когда мимо проезжал мальчик;evaluation_r
и так получилось;что он её поставил на велосипед;evaluation_r
что он её поставил на велосипед;и мужчина;sequence_m
поехал;что он её поставил на велосипед;sequence_m
встретив девочку на велосипеде;у него упала шляпа;background_r
у него упала шляпа;и мужчина;sequence_m
он поехал дальше;у него упала шляпа;sequence_m
и нечаянно упал с велосипеда;он поехал дальше;sequence_m
рассыпав всю корзину груш;он поехал дальше;cause_r
к нему подошли ребята;и мужчина;sequence_m
которые оказались рядом;к нему подошли ребята;elaboration_r
помогли собрать корзину;к нему подошли ребята;sequence_m
после чего он угостил ребят грушами;к нему подошли ребята;sequence_m
и их пути разошлись;к нему подошли ребята;sequence_m
после чего ребята нашли шляпу;и мужчина;sequence_m
которая была уронена по пути этим мальчиком;после чего ребята нашли шляпу;elaboration_r
вернули ему;после чего ребята нашли шляпу;cause_r
пошли они дальше;и мужчина;sequence_m
дошли до мужчины;пошли они дальше;sequence_m
который собирал груши;дошли до мужчины;elaboration_r
пока;мужчина в это время уже слез с дерева;evaluation_r
сейчас скажу;пока;joint_m
мужчина в это время уже слез с дерева;и мужчина;sequence_m
и обнаружил пропажу одной из корзин;мужчина в это время уже слез с дерева;sequence_m
поэтому он очень удивился;мужчина в это время уже слез с дерева;cause_r
встретив ребят;поэтому он очень удивился;background_r
которые ели эти груши по пути;встретив ребят;elaboration_r
вот как бы всё;и мужчина;evaluation_r
