EDU_1;EDU_2;Relation
собирает к себе в фартук 2;мужчина средних лет на лестнице собирает груши с дерева 1;sequence_m
вот потом спускается вниз 3;мужчина средних лет на лестнице собирает груши с дерева 1;sequence_m
вытрясает все груши в корзины 4;вот потом спускается вниз 3;sequence_m
вот и так ещё раз и ещё раз 5;вот потом спускается вниз 3;sequence_m
мимо проезжает мальчик с велосипедом 6;мужчина средних лет на лестнице собирает груши с дерева 1;sequence_m
на велосипеде 7;мимо проезжает мальчик с велосипедом 6;restatement_r
вот останавливается 8;мимо проезжает мальчик с велосипедом 6;sequence_m
хочет взять одну грушку или две груши 9;мимо проезжает мальчик с велосипедом 6;antithesis_r
вот и подумал-подумал 10;хочет взять одну грушку или две груши 9;sequence_m
взял в итоге целую корзину 11;вот и подумал-подумал 10;result_r
дальше сюжет идёт так 12;мимо проезжает мальчик с велосипедом 6;antithesis_r
как будто бы он помогает этому  мужчине средних лет 13;дальше сюжет идёт так 12;antithesis_r
но на самом деле всё будет раскрыто позже 14;дальше сюжет идёт так 12;antithesis_r
вот мальчик значит едет по полю 15;ну и у него слетает шляпа 18;cause_r
вот навстречу ему едет девочка 16;вот мальчик значит едет по полю 15;sequence_m
вот мальчик с ней соприкасается по касательной 17;вот мальчик значит едет по полю 15;sequence_m
ну и у него слетает шляпа 18;мужчина средних лет на лестнице собирает груши с дерева 1;sequence_m
красивая шляпа такая 19;ну и у него слетает шляпа 18;evaluation_r
вот 20;красивая шляпа такая 19;antithesis_r
с длинными большими полами 21;красивая шляпа такая 19;elaboration_r
соответственно мальчик по касательной задевает девочку 22;падает 23;cause_r
падает 23;ну и у него слетает шляпа 18;result_r
рассыпает все груши 24;падает 23;result_r
которые у него в корзинке 25;рассыпает все груши 24;elaboration_r
и соответственно подходят мальчишки 26;мужчина средних лет на лестнице собирает груши с дерева 1;sequence_m
три парня 27;и соответственно подходят мальчишки 26;elaboration_r
помогают парню встать 28;и соответственно подходят мальчишки 26;sequence_m
вот отряхают его 29;и соответственно подходят мальчишки 26;sequence_m
отрясают его вот 30;и соответственно подходят мальчишки 26;sequence_m
и помогают собрать груши 31;и соответственно подходят мальчишки 26;sequence_m
вот за это в благодарность мальчик отдаёт им три груши 32;и соответственно подходят мальчишки 26;result_r
и уезжает дальше 33;и соответственно подходят мальчишки 26;sequence_m
следующий переводится камера на 34;мужчина средних лет на лестнице собирает груши с дерева 1;sequence_m
возвращается на мужчину 35;следующий переводится камера на 34;restatement_r
который собирает груши 36;возвращается на мужчину 35;elaboration_r
он спускается вниз 37;следующий переводится камера на 34;sequence_m
видит 38;что одного ведёрка нету 39;evidence_r
что одного ведёрка нету 39;следующий переводится камера на 34;sequence_m
и оказывается что 40;ведёрко скорее всего мальчик украл просто 41;antithesis_r
ведёрко скорее всего мальчик украл просто 41;следующий переводится камера на 34;antithesis_r
тут проходят три парня 42;мужчина средних лет на лестнице собирает груши с дерева 1;sequence_m
которые с грушами 43;тут проходят три парня 42;elaboration_r
мимо него 42;тут проходят три парня 42;circumstance_r
он на них смотрит 44;тут проходят три парня 42;circumstance_r
и видео заканчивается 45;мужчина средних лет на лестнице собирает груши с дерева 1;antithesis_r
