EDU_1;EDU_2;Relation
здравствуйте 1;как мальчик взял груши 3;antithesis_r
фильм о том 2;как мальчик взял груши 3;antithesis_r
поехал 4;как мальчик взял груши 3;sequence_m
но они у него рассыпались случайно 5;как мальчик взял груши 3;antithesis_r
ему там другие мальчики помогли 6;как мальчик взял груши 3;sequence_m
и он с ними подружился вот этими вот грушами 7;ему там другие мальчики помогли 6;sequence_m
и вроде 8;они сели дружить 8;antithesis_r
как я поняла 9;они сели дружить 8;antithesis_r
они сели дружить 8;ему там другие мальчики помогли 6;antithesis_r
нормально? 10;как мальчик взял груши 3;antithesis_r
