EDU_1;EDU_2;Relation
утро 1;в деревне поют петухи 2;background_r
в деревне поют петухи 2;у него внизу стоят три корзины 5;preparation_r
садовник залез на грушу 3;у него внизу стоят три корзины 5;background_r
и собирает плоды 4;садовник залез на грушу 3;sequence_m
две он уже наполнил 6;и полез наполнять третью 7;cause_r
и полез наполнять третью 7;у него внизу стоят три корзины 5;joint_m
мимо прошёл мужчина 8;у него внизу стоят три корзины 5;circumstance_r
вёл козу 9;мимо прошёл мужчина 8;joint_m
после этого мимо проезжал мальчик 10;у него внизу стоят три корзины 5;sequence_m
увидел грушу 11;после этого мимо проезжал мальчик 10;antithesis_r
груши в корзинках 12;увидел грушу 11;elaboration_r
хотел сначала взять одну грушу 13;увидел грушу 11;sequence_m
а потом посмотрел 14;что садовник на дереве 15;evidence_r
что садовник на дереве 15;увидел грушу 11;contrast_m
и ничего не видит 16;что садовник на дереве 15;joint_m
взял целую корзину 17;после этого мимо проезжал мальчик 10;cause_r
поставил на велосипед 18;взял целую корзину 17;sequence_m
и поехал 19;взял целую корзину 17;sequence_m
вот по дороге он 20;груши все рассыпались 26;background_r
ему навстречу ехала девочка 21;и он врезался в камень 24;cause_r
он на неё засмотрелся 22;ему навстречу ехала девочка 21;sequence_m
вот а на дороге лежал камень 23;ему навстречу ехала девочка 21;elaboration_r
и он врезался в камень 24;упал 25;result_r
упал 25;груши все рассыпались 26;result_r
груши все рассыпались 26;у него внизу стоят три корзины 5;sequence_m
а навстречу шли его друзья 27;у него внизу стоят три корзины 5;sequence_m
они помогли ему собрать груши 28;а навстречу шли его друзья 27;sequence_m
подняли велосипед 29;а навстречу шли его друзья 27;sequence_m
и он собрался ехать дальше 30;а навстречу шли его друзья 27;sequence_m
а они пошли своей дорогой 31;у него внизу стоят три корзины 5;sequence_m
но увидели 32;что он ещё потерял шляпу 33;evidence_r
что он ещё потерял шляпу 33;а они пошли своей дорогой 31;antithesis_r
свистнули ему 34;что он ещё потерял шляпу 33;sequence_m
вернули ему шляпу 35;свистнули ему 34;purpose_r
а он с ними поделился грушами 36;что он ещё потерял шляпу 33;result_r
а в это время садовник слез с дерева 37;что у него не хватает одной корзины 39;circumstance_r
и увидел 38;что у него не хватает одной корзины 39;evidence_r
что у него не хватает одной корзины 39;у него внизу стоят три корзины 5;sequence_m
а в это время ребята как раз шли мимо него 40;что у него не хватает одной корзины 39;circumstance_r
и ели груши 41;а в это время ребята как раз шли мимо него 40;joint_m
и а садовник был в недоумении 42;откуда у них груши 43;evaluation_r
откуда у них груши 43;что у него не хватает одной корзины 39;cause_r
