EDU_1;EDU_2;Relation
да;груши собирает;evaluation_r
сейчас там короче один мужик на дереве сидит;груши собирает;background_r
потом  уроняет их;груши собирает;sequence_m
потом мальчик на вело= с велосипедом приезжает;груши собирает;sequence_m
собирает грушу в корзины;потом мальчик на вело= с велосипедом приезжает;sequence_m
едет куда-то;потом мальчик на вело= с велосипедом приезжает;sequence_m
оттудова какие-то парнишки его находят;груши собирает;sequence_m
он уроняет всё это;они ему помогают там собрать груши груши;cause_r
они ему помогают там собрать груши груши;груши собирает;sequence_m
потом он на велосипед садится;груши собирает;sequence_m
потом идёт туда;потом он на велосипед садится;sequence_m
едет обратно;потом он на велосипед садится;sequence_m
и потом они ему свистят;груши собирает;sequence_m
говорят;ты что-то забыл;evidence_r
ты что-то забыл;и потом они ему свистят;sequence_m
типа;и потом они ему свистят;evaluation_r
и потом дают ему;груши собирает;sequence_m
что он забыл;и потом дают ему;contrast_m
и потом всё идёт по своим дорогам;и потом дают ему;sequence_m
