EDU_1;EDU_2;Relation
показывают в этом фильме фермера;кто-то ещё из фермеров провёл мимо козу;preparation_r
который собирал груши с дерева;показывают в этом фильме фермера;elaboration_r
складывал их в фартук;который собирал груши с дерева;sequence_m
потом перекладывал в корзины;который собирал груши с дерева;sequence_m
которая один раз проблеяла;кто-то ещё из фермеров провёл мимо козу;elaboration_r
и вёл её как собачку;кто-то ещё из фермеров провёл мимо козу;evaluation_r
коза куда-то хотела пойти в сторону;и вёл её как собачку;evidence_r
а он её это самое на место ставил;коза куда-то хотела пойти в сторону;contrast_m
хотя впрочем может быть это была и не коза;кто-то ещё из фермеров провёл мимо козу;antithesis_r
потому что вымени нет;хотя впрочем может быть это была и не коза;evidence_r
и ничего там в этом месте нет;потому что вымени нет;joint_m
молодая может;хотя впрочем может быть это была и не коза;evaluation_r
но по размеру большая;молодая может;antithesis_r
кастрированных коз наверное не бывает;но по размеру большая;evaluation_r
мне так кажется;кастрированных коз наверное не бывает;evaluation_r
вот значит;потом приехал мальчик на велосипеде;evaluation_r
потом приехал мальчик на велосипеде;кто-то ещё из фермеров провёл мимо козу;sequence_m
а фильм очень молчаливый кстати;кто-то ещё из фермеров провёл мимо козу;evaluation_r
только звуки;а фильм очень молчаливый кстати;evidence_r
которые там раздаются от постукиваний там чего-то;только звуки;elaboration_r
от велосипеда какой-то звук был;только звуки;evidence_r
никто ничего не говорил;только звуки;evidence_r
значит приехал мальчик на велосипеде;кто-то ещё из фермеров провёл мимо козу;sequence_m
одну корзину взял;значит приехал мальчик на велосипеде;sequence_m
поставил на багажник велосипеда;значит приехал мальчик на велосипеде;sequence_m
вот потом он поехал куда-то;и велосипед попал на камень;cause_r
показывают значит издалека;как он едет;background_r
как он едет;вот потом он поехал куда-то;background_r
и навстречу ему едет девочка на велосипеде;вот потом он поехал куда-то;sequence_m
и он на эту девочку засмотрелся;вот потом он поехал куда-то;sequence_m
и велосипед попал на камень;кто-то ещё из фермеров провёл мимо козу;sequence_m
и он свалился;и велосипед попал на камень;cause_r
упал;и он свалился;restatement_r
но не расшибся ничего;и он свалился;antithesis_r
а груши рассыпались;и он свалился;contrast_m
и мимо идут трое ребят;кто-то ещё из фермеров провёл мимо козу;sequence_m
и помогают ему собрать эти груши;и мимо идут трое ребят;sequence_m
значит груши они собрали;и мимо идут трое ребят;cause_r
вот;и мимо идут трое ребят;evaluation_r
он поехал;кто-то ещё из фермеров провёл мимо козу;sequence_m
пошёл точнее;он поехал;elaboration_r
повёз велосипед вручную;пошёл точнее;restatement_r
вот;он поехал;evaluation_r
а потом эти трое ребят подобрали с земли шляпу;кто-то ещё из фермеров провёл мимо козу;sequence_m
которую он обронил;а потом эти трое ребят подобрали с земли шляпу;elaboration_r
ему один отнёс шляпу;а потом эти трое ребят подобрали с земли шляпу;sequence_m
и он надел на себя шляпу;а потом эти трое ребят подобрали с земли шляпу;sequence_m
тоже ни слова благодарности;а потом эти трое ребят подобрали с земли шляпу;evaluation_r
всё полностью в молчании;тоже ни слова благодарности;joint_m
и пока значит все;эти трое ребят пошли туда;evaluation_r
эти трое ребят пошли туда;кто-то ещё из фермеров провёл мимо козу;sequence_m
где этот фермер собирал груши;эти трое ребят пошли туда;background_r
а там у него одна корзина пустая;он слез с дерева с пустым фартуком;background_r
он слез с дерева с пустым фартуком;эти трое ребят пошли туда;background_r
сел на ступеньке лестницы;он слез с дерева с пустым фартуком;sequence_m
по которой лез наверх;сел на ступеньке лестницы;elaboration_r
вот значит трое ребят проходят мимо тоже в молчании;эти трое ребят пошли туда;evaluation_r
тоже ни слова спасибо за эти груши ничего;вот значит трое ребят проходят мимо тоже в молчании;joint_m
ну и всё фильм на этом кончился;кто-то ещё из фермеров провёл мимо козу;elaboration_r
