EDU_1;EDU_2;Relation
складывал их в корзину что ли 2;в начале фильма мужик лет  сорока пяти - сорока пяти собирал яблоки 1;sequence_m
потом подъехал= 3;в начале фильма мужик лет  сорока пяти - сорока пяти собирал яблоки 1;sequence_m
потом подъехал мальчик 4;потом подъехал= 3;restatement_r
забрал эту корзину 5;потом подъехал= 3;sequence_m
поставил на велосипед 6;потом подъехал= 3;sequence_m
поехал 7;в начале фильма мужик лет  сорока пяти - сорока пяти собирал яблоки 1;sequence_m
встретил девочку 8;поехал 7;sequence_m
она ехала ему навстречу на велосипеде 9;встретил девочку 8;elaboration_r
а он растерялся 10;поехал 7;contrast_m
и угодил в камень 11;а он растерялся 10;result_r
и упал 12;а он растерялся 10;result_r
затем трое 13;в начале фильма мужик лет  сорока пяти - сорока пяти собирал яблоки 1;sequence_m
проходящих 14;затем трое 13;joint_m
тоже молодых ребят помогли ему собрать яблоки 13;затем трое 13;joint_m
и подали шляпу 15;затем трое 13;sequence_m
которая упала во время падения его на землю 16;и подали шляпу 15;elaboration_r
подали шляпу 17;и подали шляпу 15;restatement_r
потом этот мужик увидел этих ребят 18;в начале фильма мужик лет  сорока пяти - сорока пяти собирал яблоки 1;sequence_m
проходящих мимо 19;потом этот мужик увидел этих ребят 18;circumstance_r
ну вот и всё 20;в начале фильма мужик лет  сорока пяти - сорока пяти собирал яблоки 1;antithesis_r
ещё там было что-то про косулю 21;в начале фильма мужик лет  сорока пяти - сорока пяти собирал яблоки 1;antithesis_r
я это не понял 22;ещё там было что-то про косулю 21;antithesis_r
кто-то притащил косулю 23;ещё там было что-то про косулю 21;restatement_r
животное 24;кто-то притащил косулю 23;restatement_r
и всё 25;кто-то притащил косулю 23;antithesis_r
