EDU_1;EDU_2;Relation
один человек собирал урожай груш 1;то есть залез по лестнице на дерево 2;background_r
вот пока он собирал груши 3;мальчик приехал на велосипеде 4;circumstance_r
мальчик приехал на велосипеде 4;то есть залез по лестнице на дерево 2;sequence_m
и взял одну корзину с грушами 5;мальчик приехал на велосипеде 4;sequence_m
и и повёз её 6;мальчик приехал на велосипеде 4;sequence_m
по дороге он уронил груши 7;то есть залез по лестнице на дерево 2;sequence_m
упал с велосипеда 8;по дороге он уронил груши 7;restatement_r
и все груши покатились по полу по земле 9;упал с велосипеда 8;result_r
мимо шли мальчики 10;то есть залез по лестнице на дерево 2;sequence_m
помогли ему собрать обратно все груши 11;мимо шли мальчики 10;sequence_m
вот и он поехал дальше 12;то есть залез по лестнице на дерево 2;sequence_m
по дороге встретились ему ещё мальчики 13;вот и он поехал дальше 12;sequence_m
и они сказали ему 14;что он потерял шляпу 15;evidence_r
что он потерял шляпу 15;вот и он поехал дальше 12;sequence_m
отдали ему шляпу 16;что он потерял шляпу 15;sequence_m
и он за это им дал груш 17;что он потерял шляпу 15;result_r
да 18;человек 19;antithesis_r
человек 19;то есть залез по лестнице на дерево 2;sequence_m
который собирал груши 20;человек 19;elaboration_r
спустился с лестницы 19;человек 19;joint_m
он заметил 21;что не хватает корзины 22;evidence_r
что не хватает корзины 22;человек 19;antithesis_r
вот 23;то есть залез по лестнице на дерево 2;antithesis_r
