EDU_1;EDU_2;Relation
сюжет фильма заключается в том 1;и мужчина 3;preparation_r
что наступила пора сбора груш 2;сюжет фильма заключается в том 1;joint_m
собирая груши 4;и мужчина 3;circumstance_r
собрал две полных корзины 5;и мужчина 3;result_r
очень бережно и аккуратно 6;и мужчина 3;evaluation_r
грушу 7;очень бережно и аккуратно 6;evidence_r
которая упала 8;грушу 7;elaboration_r
он даже обтёр своим платком 9;грушу 7;joint_m
и было собрано уже две корзины груш 10;и мужчина 3;sequence_m
когда мимо проезжал мальчик 11;и было собрано уже две корзины груш 10;circumstance_r
захотел угоститься грушей 12;когда мимо проезжал мальчик 11;antithesis_r
но потом передумал 13;и взял целую корзину 14;cause_r
и взял целую корзину 14;когда мимо проезжал мальчик 11;antithesis_r
и так получилось 15;что он её поставил на велосипед 16;antithesis_r
что он её поставил на велосипед 16;и мужчина 3;sequence_m
поехал 17;что он её поставил на велосипед 16;sequence_m
встретив девочку на велосипеде 18;у него упала шляпа 19;circumstance_r
у него упала шляпа 19;и мужчина 3;sequence_m
он поехал дальше 20;у него упала шляпа 19;sequence_m
и нечаянно упал с велосипеда 21;он поехал дальше 20;sequence_m
рассыпав всю корзину груш 22;он поехал дальше 20;result_r
к нему подошли ребята 23;и мужчина 3;sequence_m
которые оказались рядом 24;к нему подошли ребята 23;elaboration_r
помогли собрать корзину 25;к нему подошли ребята 23;sequence_m
после чего он угостил ребят грушами 26;к нему подошли ребята 23;sequence_m
и их пути разошлись 27;к нему подошли ребята 23;sequence_m
после чего ребята нашли шляпу 28;и мужчина 3;sequence_m
которая была уронена по пути этим мальчиком 29;после чего ребята нашли шляпу 28;elaboration_r
вернули ему 30;после чего ребята нашли шляпу 28;result_r
пошли они дальше 31;и мужчина 3;sequence_m
дошли до мужчины 32;пошли они дальше 31;sequence_m
который собирал груши 33;дошли до мужчины 32;elaboration_r
пока 34;мужчина в это время уже слез с дерева 36;antithesis_r
сейчас скажу 35;пока 34;joint_m
мужчина в это время уже слез с дерева 36;и мужчина 3;sequence_m
и обнаружил пропажу одной из корзин 37;мужчина в это время уже слез с дерева 36;sequence_m
поэтому он очень удивился 38;мужчина в это время уже слез с дерева 36;cause_r
встретив ребят 39;поэтому он очень удивился 38;circumstance_r
которые ели эти груши по пути 40;встретив ребят 39;elaboration_r
вот как бы всё 41;и мужчина 3;antithesis_r
