EDU_1;EDU_2;Relation
показывают в этом фильме фермера 1;кто-то ещё из фермеров провёл мимо козу 5;preparation_r
который собирал груши с дерева 2;показывают в этом фильме фермера 1;elaboration_r
складывал их в фартук 3;который собирал груши с дерева 2;sequence_m
потом перекладывал в корзины 4;который собирал груши с дерева 2;sequence_m
которая один раз проблеяла 6;кто-то ещё из фермеров провёл мимо козу 5;elaboration_r
и вёл её как собачку 7;кто-то ещё из фермеров провёл мимо козу 5;evaluation_r
коза куда-то хотела пойти в сторону 8;и вёл её как собачку 7;evidence_r
а он её это самое на место ставил 9;коза куда-то хотела пойти в сторону 8;contrast_m
хотя впрочем может быть это была и не коза 10;кто-то ещё из фермеров провёл мимо козу 5;antithesis_r
потому что вымени нет 11;хотя впрочем может быть это была и не коза 10;evidence_r
и ничего там в этом месте нет 12;потому что вымени нет 11;joint_m
молодая может 13;хотя впрочем может быть это была и не коза 10;antithesis_r
но по размеру большая 14;молодая может 13;antithesis_r
кастрированных коз наверное не бывает 15;но по размеру большая 14;antithesis_r
мне так кажется 16;кастрированных коз наверное не бывает 15;antithesis_r
вот значит 17;потом приехал мальчик на велосипеде 18;antithesis_r
потом приехал мальчик на велосипеде 18;кто-то ещё из фермеров провёл мимо козу 5;sequence_m
а фильм очень молчаливый кстати 19;кто-то ещё из фермеров провёл мимо козу 5;evaluation_r
только звуки 20;а фильм очень молчаливый кстати 19;evidence_r
которые там раздаются от постукиваний там чего-то 21;только звуки 20;elaboration_r
от велосипеда какой-то звук был 22;только звуки 20;evidence_r
никто ничего не говорил 23;только звуки 20;evidence_r
значит приехал мальчик на велосипеде 24;кто-то ещё из фермеров провёл мимо козу 5;sequence_m
одну корзину взял 25;значит приехал мальчик на велосипеде 24;sequence_m
поставил на багажник велосипеда 26;значит приехал мальчик на велосипеде 24;sequence_m
вот потом он поехал куда-то 27;и велосипед попал на камень 32;cause_r
показывают значит издалека 28;как он едет 29;background_r
как он едет 29;вот потом он поехал куда-то 27;background_r
и навстречу ему едет девочка на велосипеде 30;вот потом он поехал куда-то 27;sequence_m
и он на эту девочку засмотрелся 31;вот потом он поехал куда-то 27;sequence_m
и велосипед попал на камень 32;кто-то ещё из фермеров провёл мимо козу 5;sequence_m
и он свалился 33;и велосипед попал на камень 32;result_r
упал 34;и он свалился 33;restatement_r
но не расшибся ничего 35;и он свалился 33;antithesis_r
а груши рассыпались 36;и он свалился 33;contrast_m
и мимо идут трое ребят 37;кто-то ещё из фермеров провёл мимо козу 5;sequence_m
и помогают ему собрать эти груши 38;и мимо идут трое ребят 37;sequence_m
значит груши они собрали 39;и мимо идут трое ребят 37;result_r
вот 40;и мимо идут трое ребят 37;antithesis_r
он поехал 41;кто-то ещё из фермеров провёл мимо козу 5;sequence_m
пошёл точнее 42;он поехал 41;elaboration_r
повёз велосипед вручную 43;пошёл точнее 42;restatement_r
вот 44;он поехал 41;antithesis_r
а потом эти трое ребят подобрали с земли шляпу 45;кто-то ещё из фермеров провёл мимо козу 5;sequence_m
которую он обронил 46;а потом эти трое ребят подобрали с земли шляпу 45;elaboration_r
ему один отнёс шляпу 47;а потом эти трое ребят подобрали с земли шляпу 45;sequence_m
и он надел на себя шляпу 48;а потом эти трое ребят подобрали с земли шляпу 45;sequence_m
тоже ни слова благодарности 49;а потом эти трое ребят подобрали с земли шляпу 45;antithesis_r
всё полностью в молчании 50;тоже ни слова благодарности 49;joint_m
и пока значит все 51;эти трое ребят пошли туда 52;antithesis_r
эти трое ребят пошли туда 52;кто-то ещё из фермеров провёл мимо козу 5;sequence_m
где этот фермер собирал груши 53;эти трое ребят пошли туда 52;circumstance_r
а там у него одна корзина пустая 54;он слез с дерева с пустым фартуком 55;circumstance_r
он слез с дерева с пустым фартуком 55;эти трое ребят пошли туда 52;background_r
сел на ступеньке лестницы 56;он слез с дерева с пустым фартуком 55;sequence_m
по которой лез наверх 57;сел на ступеньке лестницы 56;elaboration_r
вот значит трое ребят проходят мимо тоже в молчании 58;эти трое ребят пошли туда 52;evaluation_r
тоже ни слова спасибо за эти груши ничего 59;вот значит трое ребят проходят мимо тоже в молчании 58;joint_m
ну и всё фильм на этом кончился 60;кто-то ещё из фермеров провёл мимо козу 5;antithesis_r
