EDU_1;EDU_2;Relation
один человек собирал урожай груш;то есть залез по лестнице на дерево;background_r
вот пока он собирал груши;мальчик приехал на велосипеде;background_r
мальчик приехал на велосипеде;то есть залез по лестнице на дерево;sequence_m
и взял одну корзину с грушами;мальчик приехал на велосипеде;sequence_m
и и повёз её;мальчик приехал на велосипеде;sequence_m
по дороге он уронил груши;то есть залез по лестнице на дерево;sequence_m
упал с велосипеда;по дороге он уронил груши;restatement_r
и все груши покатились по полу по земле;упал с велосипеда;cause_r
мимо шли мальчики;то есть залез по лестнице на дерево;sequence_m
помогли ему собрать обратно все груши;мимо шли мальчики;sequence_m
вот и он поехал дальше;то есть залез по лестнице на дерево;sequence_m
по дороге встретились ему ещё мальчики;вот и он поехал дальше;sequence_m
и они сказали ему;что он потерял шляпу;evidence_r
что он потерял шляпу;вот и он поехал дальше;sequence_m
отдали ему шляпу;что он потерял шляпу;sequence_m
и он за это им дал груш;что он потерял шляпу;cause_r
да;человек;evaluation_r
человек;то есть залез по лестнице на дерево;sequence_m
который собирал груши;человек;elaboration_r
спустился с лестницы;человек;joint_m
он заметил;что не хватает корзины;evidence_r
что не хватает корзины;человек;evaluation_r
вот;то есть залез по лестнице на дерево;evaluation_r
