EDU_1;EDU_2;Relation
да 1;груши собирает 3;antithesis_r
сейчас там короче один мужик на дереве сидит 2;груши собирает 3;background_r
потом  уроняет их 4;груши собирает 3;sequence_m
потом мальчик на вело= с велосипедом приезжает 5;груши собирает 3;sequence_m
собирает грушу в корзины 6;потом мальчик на вело= с велосипедом приезжает 5;sequence_m
едет куда-то 7;потом мальчик на вело= с велосипедом приезжает 5;sequence_m
оттудова какие-то парнишки его находят 8;груши собирает 3;sequence_m
он уроняет всё это 9;они ему помогают там собрать груши груши 10;cause_r
они ему помогают там собрать груши груши 10;груши собирает 3;sequence_m
потом он на велосипед садится 11;груши собирает 3;sequence_m
потом идёт туда 12;потом он на велосипед садится 11;sequence_m
едет обратно 13;потом он на велосипед садится 11;sequence_m
и потом они ему свистят 14;груши собирает 3;sequence_m
говорят 15;ты что-то забыл 16;evidence_r
ты что-то забыл 16;и потом они ему свистят 14;sequence_m
типа 15;и потом они ему свистят 14;antithesis_r
и потом дают ему 17;груши собирает 3;sequence_m
что он забыл 18;и потом дают ему 17;contrast_m
и потом всё идёт по своим дорогам 19;и потом дают ему 17;sequence_m
