EDU_1;EDU_2;Relation
от платного привлечения селебрити,;Казалось бы, пора уже маркетологам больших потребительских брендов понять, что их общественно-политическая повестка ничего по сути не приобретает;condition_r
в особенности если селебрити до этой повестки не «дозрели».;от платного привлечения селебрити,;condition_r
(Сразу оговорюсь: никакого осуждения в адрес селебрити здесь нет;в особенности если селебрити до этой повестки не «дозрели».;elaboration_r
и быть не может,;(Сразу оговорюсь: никакого осуждения в адрес селебрити здесь нет;joint_m
зрелость в данном случае предлагаю понимать исключительно как степень соответствия этической программы бренда привычному образу жизни и мышления привлеченной «звезды».;(Сразу оговорюсь: никакого осуждения в адрес селебрити здесь нет;contrast_m
И вот тут у маркетологов беда:;зрелость в данном случае предлагаю понимать исключительно как степень соответствия этической программы бренда привычному образу жизни и мышления привлеченной «звезды».;elaboration_r
настолько имидж «лиц» рекламных кампаний расходится с их реальными жизненными принципами,;что и поклонники «лиц» недоумевают,;cause_r
что и поклонники «лиц» недоумевают,;И вот тут у маркетологов беда:;elaboration_r
и последователи брендов конфузятся).;что и поклонники «лиц» недоумевают,;joint_m
к участию в котором организаторы зачем-то привлекли многоуважаемую Елену #Летучую;Припоминаю масштабнейший экологический марафон на берегах Байкала,;elaboration_r
(ещё до того, как её ангажировал #Ростех;к участию в котором организаторы зачем-то привлекли многоуважаемую Елену #Летучую;sequence_m
для телевизионной кампании против мусорных свалок);(ещё до того, как её ангажировал #Ростех;purpose_r
— и сначала нам показалось, что это прекрасная идея,;Припоминаю масштабнейший экологический марафон на берегах Байкала,;evaluation_r
учитывая образ пламенного народного борца с показухой и косностью,;— и сначала нам показалось, что это прекрасная идея,;condition_r
прочно за Еленой закрепившийся.;учитывая образ пламенного народного борца с показухой и косностью,;background_r
Казалось нам это ровно до того момента,;Припоминаю масштабнейший экологический марафон на берегах Байкала,;sequence_m
как мы услышали среди волонтеров,;Казалось нам это ровно до того момента,;elaboration_r
представлявших на марафоне десятки предприятий со всей страны,;как мы услышали среди волонтеров,;elaboration_r
искреннее возмущение размером вознаграждения «звезды» и степенью детализации её технического райдера:;как мы услышали среди волонтеров,;same-unit_m
как оказалось, в нём заботливо перечислялись даже географические наименования вин,;как мы услышали среди волонтеров,;cause_r
которые, понятное дело, на побережья Байкала пришлось специально доставлять из столицы.;как оказалось, в нём заботливо перечислялись даже географические наименования вин,;elaboration_r
Господь бы с ними, с требованиями к отелям и рационам;Казалось нам это ровно до того момента,;evaluation_r
(к ним прагматичные гении маркетинга давно привыкли,;Господь бы с ними, с требованиями к отелям и рационам;elaboration_r
как привыкли они и к тому, что коммерческая привязка имени селебрити к благому делу большого бренда снижает,;(к ним прагматичные гении маркетинга давно привыкли,;joint_m
