EDU_1;EDU_2;Relation
Из всех путешествий, совершённых в прошлом году, поездка к руинам монастыря Парехи оказалась для меня самым значимым событием.;перекрыло впечатления от дальних экзотических стран;preparation_r
Казалось бы, никому неизвестное место,;перекрыло впечатления от дальних экзотических стран;background_r
но находящееся буквально в нескольких часах езды от дома,;Казалось бы, никому неизвестное место,;contrast_m
и настолько прочно укоренилось в душе,;перекрыло впечатления от дальних экзотических стран;joint_m
что я даже испытываю некоторую ревность от того,;и настолько прочно укоренилось в душе,;comparison_m
что открываю его для всеобщего обозрения.;что я даже испытываю некоторую ревность от того,;cause_r
В этот раз я направлялся в Турцию,;Сначала я пытался пойти цивилизованным путём, - заранее, через интернет -;preparation_r
не имея собственного транспорта,;В этот раз я направлялся в Турцию,;condition_r
но надеясь обзавестись им на месте, в городке Хопа,;не имея собственного транспорта,;contrast_m
что находится буквально в нескольких километрах от границы.;но надеясь обзавестись им на месте, в городке Хопа,;background_r
Это обстоятельство добавляло всей затее некий налёт непредсказуемости,;В этот раз я направлялся в Турцию,;evaluation_r
поскольку в Турции я еще ни разу не брал машину в аренду.;Это обстоятельство добавляло всей затее некий налёт непредсказуемости,;cause_r
но международные сети в Хопе не представлены,;Сначала я пытался пойти цивилизованным путём, - заранее, через интернет -;contrast_m
а локальные фирмочки хоть и существуют;но международные сети в Хопе не представлены,;joint_m
и даже имеют сайты,;а локальные фирмочки хоть и существуют;joint_m
но не доросли до услуги онлайн-бронирования.;а локальные фирмочки хоть и существуют;contrast_m
Я попробовал послать запрос через форму обратной связи на одном из сайтов,;Пришлось ехать наудачу.;cause_r
но ответа так и не получил.;Я попробовал послать запрос через форму обратной связи на одном из сайтов,;contrast_m
Пришлось ехать наудачу.;Сначала я пытался пойти цивилизованным путём, - заранее, через интернет -;joint_m
От Батуми до пограничного перехода в Сарпи курсирует общественный транспорт,;я получил неожиданный ответ, что да, авто-прокат здесь,;preparation_r
часто переполненный даже в несезон.;От Батуми до пограничного перехода в Сарпи курсирует общественный транспорт,;elaboration_r
По ту сторону границы дежурят многочисленные маршрутки, доставляющие желающих в Кемальпашу и дальше в Хопу.;От Батуми до пограничного перехода в Сарпи курсирует общественный транспорт,;joint_m
Пройти этот отрезок можно быстро и дёшево...;От Батуми до пограничного перехода в Сарпи курсирует общественный транспорт,;joint_m
Но к большинству достопримечательностей Тао-Кларджети рейсовые автобусы не ходят,;нужна машина...;cause_r
нужна машина...;Пройти этот отрезок можно быстро и дёшево...;contrast_m
Я заранее выписал адреса пяти мест, предлагающих автопрокат.;нужна машина...;elaboration_r
И начал поиски с той конторы, в которую послал запрос.;Я заранее выписал адреса пяти мест, предлагающих автопрокат.;joint_m
Нашел место и даже выцветшую вывеску, размером метр на полметра,;я получил неожиданный ответ, что да, авто-прокат здесь,;preparation_r
под которой оказался... продуктовый магазин.;Нашел место и даже выцветшую вывеску, размером метр на полметра,;elaboration_r
Зайдя в него и поинтересовавшись судьбой авто-проката,;я получил неожиданный ответ, что да, авто-прокат здесь,;cause_r
я получил неожиданный ответ, что да, авто-прокат здесь,;Сначала я пытался пойти цивилизованным путём, - заранее, через интернет -;elaboration_r
но свободных машин сейчас нет.;я получил неожиданный ответ, что да, авто-прокат здесь,;contrast_m
Придя по второму адресу,;я не обнаружил ничего, кроме мясной лавки.;condition_r
я не обнаружил ничего, кроме мясной лавки.;я получил неожиданный ответ, что да, авто-прокат здесь,;sequence_m
Но заглянуть;я не обнаружил ничего, кроме мясной лавки.;contrast_m
и спросить не догадался;Но заглянуть;joint_m
кто его знает, может, хозяин-мясник и даёт покататься на своей старой Дации, совмещая бизнес.;Но заглянуть;cause_r
Мне повезло в третьем месте - при некоем отеле.;я получил неожиданный ответ, что да, авто-прокат здесь,;sequence_m
Парень на стойке регистрации предложил седан по цене чуть дороже,;Мне повезло в третьем месте - при некоем отеле.;elaboration_r
чем я видел в интернете,;Парень на стойке регистрации предложил седан по цене чуть дороже,;comparison_m
но не настолько,;чем я видел в интернете,;same-unit_m
чтобы вступать в торги.;но не настолько,;purpose_r
Я подписал какой-то липовый акт осмотра,;Парень на стойке регистрации предложил седан по цене чуть дороже,;sequence_m
оставил в залог запасной паспорт, которым в случае чего можно было пожертвовать.;Я подписал какой-то липовый акт осмотра,;sequence_m
Вскоре приехал хозяин машины;Парень на стойке регистрации предложил седан по цене чуть дороже,;sequence_m
и отдал мне ключи.;Вскоре приехал хозяин машины;sequence_m
По дороге из Хопы в Артвин.;Я поехал по уже знакомой горной дороге в Артвин, живописной как вся восточная Турция.;elaboration_r
