EDU_1;EDU_2;Relation
1. В фермерском хозяйстве в Новосибирской области работникам выдают бесплатные квартиры, уже прямо с мебелью и бытовой техникой.;Желающие могут или выкупить их по себестоимости,;preparation_r
или проработать на предприятии 20 лет,;Желающие могут или выкупить их по себестоимости,;joint_m
чтобы получить квартиры в собственность;Желающие могут или выкупить их по себестоимости,;purpose_r
без какой-либо оплаты:;чтобы получить квартиры в собственность;condition_r
здесь;Желающие могут или выкупить их по себестоимости,;attribution_r
Специалистов мало,;Квартиры раздают явно не от хорошей жизни.;elaboration_r
текучка большая.;Специалистов мало,;joint_m
Кадров не хватает:;Специалистов мало,;elaboration_r
работа нелёгкая.;Кадров не хватает:;joint_m
Нельзя, например, спокойно покурить в течение рабочего дня,;собьётся график.;cause_r
собьётся график.;Специалистов мало,;elaboration_r
С выпивкой тоже сложно:;собьётся график.;joint_m
на проходной стоят алкотестеры.;С выпивкой тоже сложно:;elaboration_r
Четыре раза попался нетрезвым;— увольнение.;cause_r
— увольнение.;собьётся график.;joint_m
Бесплатных квартир и зарплаты в 30-70 тысяч рублей недостаточно,;собьётся график.;joint_m
чтобы компенсировать неудобства.;Бесплатных квартир и зарплаты в 30-70 тысяч рублей недостаточно,;purpose_r
2. Всё как в фильмах.;Беда пришла в США с неожиданной стороны;preparation_r
СССР погиб,;2. Всё как в фильмах.;background_r
но,;СССР погиб,;contrast_m
погибая,;успел нанести серьёзную рану напавшему на него врагу.;condition_r
успел нанести серьёзную рану напавшему на него врагу.;но,;same-unit_m
— в стране всё громче и громче звучат голоса социалистов.;Беда пришла в США с неожиданной стороны;elaboration_r
Шансы на успех коммунистической революции в Соединённых Штатах растут с каждым месяцем:;Беда пришла в США с неожиданной стороны;elaboration_r
здесь;Шансы на успех коммунистической революции в Соединённых Штатах растут с каждым месяцем:;attribution_r
Социалистические идеи особенно популярны среди женщин, среди «небелых» и среди молодых американцев.;Уже 43% американцев полагают, что «социализм будет хорошей штукой для страны».;evidence_r
Наивные, не знающие истории жители США полагают, что после революции высший класс будет ограблен в пользу бедноты и среднего класса.;Социалистические идеи особенно популярны среди женщин, среди «небелых» и среди молодых американцев.;evaluation_r
Опыт других стран показывает, что получится иначе:;Уже 43% американцев полагают, что «социализм будет хорошей штукой для страны».;contrast_m
высший класс останется «на коне»,;Опыт других стран показывает, что получится иначе:;elaboration_r
просто поменяв свой состав,;высший класс останется «на коне»,;condition_r
беднота станет ещё беднее,;высший класс останется «на коне»,;contrast_m
а средний класс, — традиционная жертва революций, — будет уничтожен почти под корень.;беднота станет ещё беднее,;joint_m
когда люди научились получать в печах достаточно высокую;3. Железный век начался,;condition_r
для выплавки железа;когда люди научились получать в печах достаточно высокую;purpose_r
температуру.;когда люди научились получать в печах достаточно высокую;same-unit_m
Так-то бронза лучше железа,;и потому железные орудия получались значительно дешевле.;cause_r
однако железная руда встречается значительно чаще,;Так-то бронза лучше железа,;comparison_m
и потому железные орудия получались значительно дешевле.;3. Железный век начался,;elaboration_r
(достаточную даже для выплавки титана);Интересно, что очень высокую температуру;purpose_r
человечество могло бы получить ещё в античности,;Интересно, что очень высокую температуру;same-unit_m
организовав так называемую солнечную печь;Интересно, что очень высокую температуру;condition_r
— соорудив кучу зеркал;организовав так называемую солнечную печь;elaboration_r
и направив с их помочью лучи от Солнца в одну точку:;— соорудив кучу зеркал;joint_m
здесь;Интересно, что очень высокую температуру;attribution_r
Солнечные лучи улавливаются первым набором из 9600 перенацеливаемых зеркал, расположенных на склоне,;Температура свыше 3500° C может быть получена в течение нескольких секунд…;cause_r
а затем направляются на вторую серию зеркал («концентраторы»), которые расположены в параболе.;Солнечные лучи улавливаются первым набором из 9600 перенацеливаемых зеркал, расположенных на склоне,;sequence_m
Они сходятся в направлении кольцевой мишени на вершине центральной башни, которая имеет всего 40 см в диаметре.;Солнечные лучи улавливаются первым набором из 9600 перенацеливаемых зеркал, расположенных на склоне,;sequence_m
Это эквивалентно концентрации энергии «10 000 солнц».;Они сходятся в направлении кольцевой мишени на вершине центральной башни, которая имеет всего 40 см в диаметре.;restatement_m
