EDU_1;EDU_2;Relation
я живу в Иерусалиме;Добрый день, меня зовут Катерина,;elaboration_r
и работаю старшей (и единственной) медицинской сестрой в маленькой районной поликлинике.;я живу в Иерусалиме;joint_m
Но в сегодняшнем моем дне 24 ноября 2018 года не будет ни Иерусалима,;Добрый день, меня зовут Катерина,;contrast_m
где прошла бОльшая часть моей 48-летней жизни,;Но в сегодняшнем моем дне 24 ноября 2018 года не будет ни Иерусалима,;background_r
ни работы.;Но в сегодняшнем моем дне 24 ноября 2018 года не будет ни Иерусалима,;same-unit_m
В этом дне также не появятся другие составляющие моей повседневной реальности: семья, друзья и даже кошечка.;Но в сегодняшнем моем дне 24 ноября 2018 года не будет ни Иерусалима,;elaboration_r
Этот день я проведу одна,;В этом дне также не появятся другие составляющие моей повседневной реальности: семья, друзья и даже кошечка.;joint_m
и пройдет он в столице Австрии, Вене,;Этот день я проведу одна,;joint_m
куда я приехала на выставку Питера Брейгеля.;и пройдет он в столице Австрии, Вене,;purpose_r
Под катом 33 телефонофото.;и пройдет он в столице Австрии, Вене,;elaboration_r
Прошу прощения за качество,;Под катом 33 телефонофото.;evaluation_r
но я прилетела всего на полтора дня, без багажа и нормального фотоаппарата.;Прошу прощения за качество,;cause_r
Эх, как же нам, совам, тяжко живется в этом несовершенном мире с его ранними подъемами!;Просыпаюсь по будильнику.;evaluation_r
Но ничего не поделаешь,;Эх, как же нам, совам, тяжко живется в этом несовершенном мире с его ранними подъемами!;contrast_m
я прилетела в Вену вчера утром,;Так что каждый час на счету.;cause_r
а сегодня вечером уже улетаю.;я прилетела в Вену вчера утром,;contrast_m
Так что каждый час на счету.;Но ничего не поделаешь,;cause_r
На улице за окном еще не рассвело толком, горит фонарь.;Просыпаюсь по будильнику.;elaboration_r
Из зеркала напротив кровати на меня кто-то злобно таращится.;«Кто Вы, женщина? – спрашиваю я строго,;preparation_r
«Кто Вы, женщина? – спрашиваю я строго,;Вздохнув, начинаю реанимационные мероприятия: душ, умывание, немного боевой раскраски.;solutionhood_r
— что Вы себе позволяете;«Кто Вы, женщина? – спрашиваю я строго,;joint_m
и что прикажете с Вами делать?».;«Кто Вы, женщина? – спрашиваю я строго,;joint_m
Заодно мажу шею кремом с вольтареном,;Вздохнув, начинаю реанимационные мероприятия: душ, умывание, немного боевой раскраски.;joint_m
а то после вчерашнего сна в самолетном кресле ее слегка заклинило .;Заодно мажу шею кремом с вольтареном,;cause_r
Потом одеваюсь.;перед выходом это придется чистить.;preparation_r
Что бы я на себя ни надела,;перед выходом это придется чистить.;condition_r
Ведь дома у меня проживает абсолютно белое кошИчкО, но с черным хвостом и серой маской на морде, как у енота.;перед выходом это придется чистить.;cause_r
Такой оригинальный раскрас;Ведь дома у меня проживает абсолютно белое кошИчкО, но с черным хвостом и серой маской на морде, как у енота.;elaboration_r
позволяет ей злонамеренно линять на светлые вещи черными волосьями, а на темные – белыми.;Такой оригинальный раскрас;purpose_r
Что ж, липкая лента и щетки – наше все,;перед выходом это придется чистить.;evaluation_r
а кошачий пух и мех – не грязь, а аксессуар.;Что ж, липкая лента и щетки – наше все,;joint_m
Ну вот, я готова спускаться на завтрак.Тайм-чек.;перед выходом это придется чистить.;sequence_m
Пытаюсь сфотографировать себя в зеркале,;перед выходом это придется чистить.;sequence_m
но его извивы и формы моего тела явно находятся в противофазе.;Пытаюсь сфотографировать себя в зеркале,;contrast_m
Уж как получилось, извините.;но его извивы и формы моего тела явно находятся в противофазе.;evaluation_r
В холле отеля фотографируюсь с симпатичным молодым человеком.;Личность его установить не удалось,;preparation_r
Личность его установить не удалось,;перед выходом это придется чистить.;sequence_m
но мне почему-то кажется, что его зовут Теодор.;Личность его установить не удалось,;contrast_m
Как-то соответствует он этому имени.;но мне почему-то кажется, что его зовут Теодор.;evaluation_r
Завтрак.;Поэтому немного хлопьев и чашка чая.;preparation_r
Я не умею делать селфи;Поэтому немного хлопьев и чашка чая.;cause_r
(вы в этом еще убедитесь);Я не умею делать селфи;evaluation_r
и не умею завтракать.;Я не умею делать селфи;joint_m
Больше утром я в себя запихнуть не могу.;Поэтому немного хлопьев и чашка чая.;elaboration_r
оставляю его в отеле,;Собираю свой мини-чемодан,;sequence_m
выхожу в город.;Собираю свой мини-чемодан,;sequence_m
Рядом с моим отелем находится знаменитое венское кафе «Шперль»,;выхожу в город.;background_r
где я вчера обедала сразу после приезда.;Рядом с моим отелем находится знаменитое венское кафе «Шперль»,;background_r
М-м-м, какой у них запеченный камамбер с грушей и ветчиной!..;Рядом с моим отелем находится знаменитое венское кафе «Шперль»,;evaluation_r
Надеюсь, что успею сегодня туда забежать.;Рядом с моим отелем находится знаменитое венское кафе «Шперль»,;evaluation_r
Тем более что альтернативный вариант на другой стороне улицы меня совсем не прельщает своим названием))));Рядом с моим отелем находится знаменитое венское кафе «Шперль»,;contrast_m
Встречаю воинственно настроенное жЫвотное;Собираю свой мини-чемодан,;sequence_m
Перед музеем у меня остается немного времени,;Вокруг Вена понемногу готовится к Рождеству.;preparation_r
и я решаю порыскать по окрестным магазинам на предмет какой-нибудь обувки.;Перед музеем у меня остается немного времени,;joint_m
Вчера я была на Штефанплац,;Вокруг Вена понемногу готовится к Рождеству.;elaboration_r
там уже работает рождественский базар,;Вчера я была на Штефанплац,;elaboration_r
глинтвейн разливают,;там уже работает рождественский базар,;joint_m
пряниками кормят…;там уже работает рождественский базар,;joint_m
Тайм-чек;Вокруг Вена понемногу готовится к Рождеству.;sequence_m
Обувка найдена,;Вокруг Вена понемногу готовится к Рождеству.;sequence_m
оплачена;Обувка найдена,;sequence_m
и оставлена в магазине.;Обувка найдена,;sequence_m
Вернусь за ней после.;Обувка найдена,;sequence_m
Пора выдвигаться в сторону выставки.;Выставка приурочена к 450-летию со дня смерти Питера Брейгеля-старшего.;preparation_r
Скажу о ней буквально пару слов.;Пора выдвигаться в сторону выставки.;elaboration_r
И помимо собрания, которое постоянно хранится в Венском Музее истории искусств,;специально доставленные из других музеев.;background_r
на ней можно увидеть полотна,;специально доставленные из других музеев.;purpose_r
специально доставленные из других музеев.;Выставка приурочена к 450-летию со дня смерти Питера Брейгеля-старшего.;joint_m
Это по-настоящему уникальное событие,;Выставка приурочена к 450-летию со дня смерти Питера Брейгеля-старшего.;evaluation_r
ведь речь идет о бесценных шедеврах,;Это по-настоящему уникальное событие,;cause_r
а их крайне редко и неохотно перемещают с места на место, из страны в страну.;ведь речь идет о бесценных шедеврах,;elaboration_r
но решаю слегка перезагрузиться после забега по магазинам,;Захожу в музей,;contrast_m
передохнуть;но решаю слегка перезагрузиться после забега по магазинам,;joint_m
и подарить организму сразу много очень вкусных калорий.;но решаю слегка перезагрузиться после забега по магазинам,;joint_m
Интерьер музейного кафе располагает к мыслям о вечных ценностях...;Захожу в музей,;background_r
И вот я на выставке.;Захожу в музей,;sequence_m
Не буду утомлять вас фотографиями всех картин.;И вот я на выставке.;contrast_m
Тем более что мои любительские снимки не могут сравниться ни с качественными репродукциями,;Не буду утомлять вас фотографиями всех картин.;elaboration_r
ни с онлайн-каталогом,;Тем более что мои любительские снимки не могут сравниться ни с качественными репродукциями,;same-unit_m
который венский KHM недавно выложил в сеть.;ни с онлайн-каталогом,;background_r
Покажу две своих самых любимых .;Первая – Поклонение волхвов в снегу.;preparation_r
Эта картина, как и многие другие работы Брейгеля, иллюстрирует идею, что главное в жизни всегда неявно.;Первая – Поклонение волхвов в снегу.;evaluation_r
