EDU_1;EDU_2;Relation
После поездки в 2017 на Бали я вспомнил, что отдыхать в далеких жарких странах - это хорошо и приятно,;поэтому в 2018 полетели снова в теплые края, на Маврикий. В феврале;cause_r
поэтому в 2018 полетели снова в теплые края, на Маврикий. В феврале;есть, что посмотреть.;preparation_r
(только сейчас руки дошли написать!).;поэтому в 2018 полетели снова в теплые края, на Маврикий. В феврале;evaluation_r
В общем, прекрасное место!;поэтому в 2018 полетели снова в теплые края, на Маврикий. В феврале;evaluation_r
Остров не маленький,;есть, что посмотреть.;cause_r
Но и не большой,;чтобы нужно было лететь из одного конца в другой.;cause_r
чтобы нужно было лететь из одного конца в другой.;есть, что посмотреть.;contrast_m
Мы пожили в трех разных частях острова.;есть, что посмотреть.;elaboration_r
На востоке, в районе Trou dEau Douce, на западе около Flic en Flac, и на самом юго-западе в Le Morne.;Мы пожили в трех разных частях острова.;elaboration_r
Первая фотография - это как раз Ле Морн.;В глубине острова, как видно, ничего нет.;preparation_r
Самый лучший пляж,;Первая фотография - это как раз Ле Морн.;evaluation_r
километры песка,;Самый лучший пляж,;elaboration_r
очень мало людей.;километры песка,;joint_m
На берегу отель St.Regis,;В глубине острова, как видно, ничего нет.;joint_m
где мы и остановились.;На берегу отель St.Regis,;background_r
Дальше наверх (на север) после выступа начинается Lux Le Morne.;В глубине острова, как видно, ничего нет.;joint_m
Видно гору Le Morne Brabant.;Дальше наверх (на север) после выступа начинается Lux Le Morne.;background_r
На нее можно забраться с гидом,;Видно гору Le Morne Brabant.;elaboration_r
но об этом позже.;На нее можно забраться с гидом,;contrast_m
Начнем с первого пляжа.;Все пляжи Маврикия открыты для всех (прямо как в России, по закону!),;preparation_r
но местные жители на пляжи перед отелями почему-то не особенно заходят.;Все пляжи Маврикия открыты для всех (прямо как в России, по закону!),;contrast_m
Вездесущая охрана гоняет?;но местные жители на пляжи перед отелями почему-то не особенно заходят.;cause_r
При этом отели чистят песок,;и пляжи выглядят ухоженно.;cause_r
и пляжи выглядят ухоженно.;Все пляжи Маврикия открыты для всех (прямо как в России, по закону!),;joint_m
Пляж отеля Shangri La.;В 7-8 утра, конечно, никого не было.;preparation_r
Вода мелкая,;Пляж отеля Shangri La.;elaboration_r
до глубины не дойдешь.;Вода мелкая,;elaboration_r
А мне кажется, это самое лучшее время,;В 7-8 утра, конечно, никого не было.;contrast_m
чтобы прийти;А мне кажется, это самое лучшее время,;purpose_r
