EDU_1;EDU_2;Relation
Несколько месяцев назад ФСБ направила в «Яндекс» требование предоставить ключи;что за прошедшее время «Яндекс» так и не предоставил в спецслужбу ключи,;preparation_r
для дешифровки данных пользователей сервисов «Яндекс.Почта» и «Яндекс.Диск»,;Несколько месяцев назад ФСБ направила в «Яндекс» требование предоставить ключи;purpose_r
рассказали РБК источник на ИТ-рынке и собеседник, близкий к «Яндексу».;Несколько месяцев назад ФСБ направила в «Яндекс» требование предоставить ключи;attribution_r
Оба собеседника РБК утверждают,;что за прошедшее время «Яндекс» так и не предоставил в спецслужбу ключи,;attribution_r
хотя по закону на это отводится не более десяти дней.;что за прошедшее время «Яндекс» так и не предоставил в спецслужбу ключи,;concession_r
Ранее;что за прошедшее время «Яндекс» так и не предоставил в спецслужбу ключи,;background_r
из-за отказа поделиться ключами;в России по решению суда был заблокирован мессенджер Telegram.;cause_r
в России по решению суда был заблокирован мессенджер Telegram.;Ранее;same-unit_m
«Яндекс.Почта» и «Яндекс.Диск» находятся в реестре организаторов распространения информации (ОРИ), то есть интернет-площадок, на которых пользователи могут обмениваться сообщениями.;с 20 июля 2016 года Центр оперативно-технических мероприятий ФСБ может потребовать от любого сервиса из реестра ОРИ передать ему «информацию,;preparation_r
Согласно так называемому закону Яровой,;с 20 июля 2016 года Центр оперативно-технических мероприятий ФСБ может потребовать от любого сервиса из реестра ОРИ передать ему «информацию,;attribution_r
необходимую для декодирования принимаемых, передаваемых, доставляемых и (или) обрабатываемых электронных сообщений пользователей сети интернет»...;с 20 июля 2016 года Центр оперативно-технических мероприятий ФСБ может потребовать от любого сервиса из реестра ОРИ передать ему «информацию,;purpose_r
По словам источника РБК на ИТ-рынке,;что ФСБ слишком широко трактует норму «закона Яровой».;attribution_r
в «Яндексе» считают,;что ФСБ слишком широко трактует норму «закона Яровой».;attribution_r
что ФСБ слишком широко трактует норму «закона Яровой».;с 20 июля 2016 года Центр оперативно-технических мероприятий ФСБ может потребовать от любого сервиса из реестра ОРИ передать ему «информацию,;evaluation_r
«Спецслужба требует от компании предоставить сессионные ключи,;что ФСБ слишком широко трактует норму «закона Яровой».;elaboration_r
которые, по сути, дают доступ не только, например, к сообщениям в почте,;«Спецслужба требует от компании предоставить сессионные ключи,;elaboration_r
но и позволяют анализировать весь трафик от пользователей к находящимся в реестре ОРИ сервисам «Яндекса».;которые, по сути, дают доступ не только, например, к сообщениям в почте,;joint_m
Не говоря уже о том, что дешифровка всего трафика в рамках пользовательской сессии несет значительные риски в плане безопасности»,;«Спецслужба требует от компании предоставить сессионные ключи,;elaboration_r
— говорит он.;«Спецслужба требует от компании предоставить сессионные ключи,;attribution_r
Информацию про то, что ФСБ требует от компании именно сессионные ключи,;«Спецслужба требует от компании предоставить сессионные ключи,;background_r
подтвердил и второй собеседник РБК, близкий к интернет-холдингу.;Информацию про то, что ФСБ требует от компании именно сессионные ключи,;attribution_r
Сессионный ключ — это ключ шифрования, который используется только;«В случае с «Яндекс.Почта» он вырабатывается,;preparation_r
для одного соединения между пользователем и сервером, то есть одной сессии,;Сессионный ключ — это ключ шифрования, который используется только;purpose_r
пояснил бывший разработчик The Tor Project Леонид Евдокимов.;Сессионный ключ — это ключ шифрования, который используется только;attribution_r
когда пользователь только заходит на страницу mail.yandex.ru,;«В случае с «Яндекс.Почта» он вырабатывается,;condition_r
а прекращает свое действие;«В случае с «Яндекс.Почта» он вырабатывается,;contrast_m
в зависимости от настроек через какое-то время,;а прекращает свое действие;condition_r
после того как пользователь либо закроет вкладку «Яндекс.Почта»,;в зависимости от настроек через какое-то время,;condition_r
либо полностью закроет браузер,;после того как пользователь либо закроет вкладку «Яндекс.Почта»,;joint_m
либо выключит компьютер»,;после того как пользователь либо закроет вкладку «Яндекс.Почта»,;joint_m
— говорит он.;«В случае с «Яндекс.Почта» он вырабатывается,;attribution_r
