EDU_1;EDU_2;Relation
Популярная идея микробиома, косметики с про/пребиотиками не обошла меня стороной,;поэтому я не удержалась от покупки.;cause_r
поэтому я не удержалась от покупки.;Для себя выбрала пребиотики.;preparation_r
Что из этого вышло,;читайте под катом.;cause_r
читайте под катом.;Для себя выбрала пребиотики.;joint_m
Био-тоник с пребиотиками Идеал Chocolatte для проблемной кожи;Тоник изготовлен на основе гидролатов сосны, иссопа и шалфея.;preparation_r
В него включен комплекс лизатов лакто/бифидо/пропионовых бактерий. Все.;Тоник изготовлен на основе гидролатов сосны, иссопа и шалфея.;evidence_r
Состав максимально прост и лаконичен.;В него включен комплекс лизатов лакто/бифидо/пропионовых бактерий. Все.;evaluation_r
Производитель сообщает,;что возможно выпадение осадка.;antithesis_r
что возможно выпадение осадка.;Тоник изготовлен на основе гидролатов сосны, иссопа и шалфея.;elaboration_r
предотвращать рост патогенных бактерий,;Этот тоник призван нормализовать микрофлору кожи,;joint_m
которые вызывают воспалительные процессы.;предотвращать рост патогенных бактерий,;elaboration_r
Его преимущество заключается в хорошем составе:;Этот тоник призван нормализовать микрофлору кожи,;joint_m
гидролаты сосны и шалфея имеют антисептические и антибактериальные свойства,;Его преимущество заключается в хорошем составе:;evidence_r
оказывают противогрибковое воздействие.;гидролаты сосны и шалфея имеют антисептические и антибактериальные свойства,;joint_m
Гидролат иссопа хорош для кожи, склонной к аллергии и раздражениям,;гидролаты сосны и шалфея имеют антисептические и антибактериальные свойства,;joint_m
имеет противовоспалительное, успокаивающее действие.;Гидролат иссопа хорош для кожи, склонной к аллергии и раздражениям,;joint_m
Пребиотики выравнивают микрофлору кожи,;гидролаты сосны и шалфея имеют антисептические и антибактериальные свойства,;joint_m
предотвращают рост патогенных бактерий.;Пребиотики выравнивают микрофлору кожи,;joint_m
Распылитель хороший,;мелкодисперсный.;evaluation_r
мелкодисперсный.;Тоник находится в бутылке из плотного пластика.;joint_m
Тоник водичковой текстуры, прозрачный,;Тоник находится в бутылке из плотного пластика.;joint_m
но в нем плавают микрочастички,;Тоник водичковой текстуры, прозрачный,;contrast_m
похожие на частички растений.;но в нем плавают микрочастички,;comparison_m
Выпадает небольшой осадок.;Всегда встряхиваю перед применением.;cause_r
Всегда встряхиваю перед применением.;Тоник водичковой текстуры, прозрачный,;elaboration_r
Орошаю им лицо из распылителя сразу после умывания;Всегда встряхиваю перед применением.;sequence_m
или протираю ватным диском.;Орошаю им лицо из распылителя сразу после умывания;joint_m
Запах практически отсутствует.;Тоник находится в бутылке из плотного пластика.;joint_m
Обычно я использовала этот тоник в тандеме с кремом,;поэтому не могу сказать, что он как-то особенно повлиял на мою кожу.;cause_r
Хуже не сделал точно.;поэтому не могу сказать, что он как-то особенно повлиял на мою кожу.;evaluation_r
Могу отметить, что красноты стало меньше.;поэтому не могу сказать, что он как-то особенно повлиял на мою кожу.;evidence_r
Если не нанести после тоника крем или другой уход,;мою чувствительную комбикожу начинает стягивать.;condition_r
мою чувствительную комбикожу начинает стягивать.;поэтому не могу сказать, что он как-то особенно повлиял на мою кожу.;elaboration_r
По эффекту не нашла различий с чистым гидролатом иссопа, шалфея или сосны.;поэтому не могу сказать, что он как-то особенно повлиял на мою кожу.;comparison_m
Все 3 у меня были в разные периоды жизни.;По эффекту не нашла различий с чистым гидролатом иссопа, шалфея или сосны.;background_r
Объем: 100 мл Срок годности: 12 мес. с даты производства 200₽цена 7/10оценка 30 дней, 2р/в деньиспользование;поэтому не могу сказать, что он как-то особенно повлиял на мою кожу.;elaboration_r
​Гель-крем для лица БИОАКТИВ с пребиотиком Chocolatte;Самым интересным продуктом марки для меня стал гель-крем для лица Био-актив с 5% содержанием пребиотика Biolin P.;preparation_r
Самым интересным продуктом марки для меня стал гель-крем для лица Био-актив с 5% содержанием пребиотика Biolin P.;Biolin P — это смесь натуральных полисахаридов: инулин (Inulin),;preparation_r
который получают из корня цикория,;Biolin P — это смесь натуральных полисахаридов: инулин (Inulin),;background_r
и глюко-олигосахаридов (Alpha-glucan oligosaccharide),;Biolin P — это смесь натуральных полисахаридов: инулин (Inulin),;same-unit_m
которые получают из сахарной свеклы.;и глюко-олигосахаридов (Alpha-glucan oligosaccharide),;background_r
Для удобства;выложу полный состав здесь.;purpose_r
выложу полный состав здесь.;Biolin P — это смесь натуральных полисахаридов: инулин (Inulin),;elaboration_r
Состав: вода родниковая, аргановое масло, Biolin® (инулин, альфа-глюкан олигосахарид), сквалан, коньяковый глюкоманнан, д-пантенол, лецитин, AMISOL TRIO™ (фосфолипиды, фитостеролы, гликолипиды, глицин сои, витамин F), витамины А и Е, шаромикс 705, концентрат коллоидного серебра.;выложу полный состав здесь.;evidence_r
Гель находится в бутылочке из плотного пластика,;Biolin P — это смесь натуральных полисахаридов: инулин (Inulin),;elaboration_r
дозатор помповый,;Гель находится в бутылочке из плотного пластика,;joint_m
удобный.;дозатор помповый,;evaluation_r
Выдает нужное количество крема.;дозатор помповый,;elaboration_r
Одного нажатия хватает на лицо и шею.;Выдает нужное количество крема.;evidence_r
немного желейная,;Текстура у этого гель-крема очень необычная,;elaboration_r
держит форму.;немного желейная,;joint_m
Масло в составе не ощущается,;Текстура у этого гель-крема очень необычная,;joint_m
зато есть ощущение, что присутствует муцин улитки,;Масло в составе не ощущается,;contrast_m
потому что консистенция крема какая-то тягучая.;зато есть ощущение, что присутствует муцин улитки,;cause_r
Если говорить открыто,;я бы сказала «сопливая».;condition_r
я бы сказала «сопливая».;зато есть ощущение, что присутствует муцин улитки,;evaluation_r
При этом она легкая,;я бы сказала «сопливая».;joint_m
хорошо распределяется,;При этом она легкая,;joint_m
впитывается быстро, буквально за секунды.;При этом она легкая,;joint_m
Аромат специфический, травяной с отголосками чего-то молочного.;Текстура у этого гель-крема очень необычная,;joint_m
;Текстура у этого гель-крема очень необычная,;elaboration_r
Марка позиционирует этот крем,;как восстанавливающий естественный баланс кожи и оптимальный уровень pH, защищающий кожу от раздражающих факторов внешней среды, устраняющий сухость, шелушения, покраснения, зуд и акне.;attribution_r
как восстанавливающий естественный баланс кожи и оптимальный уровень pH, защищающий кожу от раздражающих факторов внешней среды, устраняющий сухость, шелушения, покраснения, зуд и акне.;Я пользовалась кремом на протяжении 1.5 месяцев;background_r
У меня проблемная кожа, акне в ремиссии, постакне, чувствительность.;как восстанавливающий естественный баланс кожи и оптимальный уровень pH, защищающий кожу от раздражающих факторов внешней среды, устраняющий сухость, шелушения, покраснения, зуд и акне.;joint_m
После умывания всегда бывают покраснения.;У меня проблемная кожа, акне в ремиссии, постакне, чувствительность.;evidence_r
и могу отметить несколько важных особенностей:;Я пользовалась кремом на протяжении 1.5 месяцев;joint_m
1. Крем недостаточно хорошо увлажняет мою комбикожу в холодное время года.;Я пользовалась кремом на протяжении 1.5 месяцев;elaboration_r
Если пользоваться только им и тоником,;то через несколько часов появляется желание нанести увлажняющий крем.;condition_r
то через несколько часов появляется желание нанести увлажняющий крем.;1. Крем недостаточно хорошо увлажняет мою комбикожу в холодное время года.;evidence_r
2. Кожа стала меньше краснеть,;1. Крем недостаточно хорошо увлажняет мою комбикожу в холодное время года.;joint_m
реагировать на негативные окружающие факторы (погода, холод, ветер, косметические средства).;2. Кожа стала меньше краснеть,;joint_m
3. Не могу сказать, что биолин как-то подействовал на мое акне,;1. Крем недостаточно хорошо увлажняет мою комбикожу в холодное время года.;joint_m
потому что сейчас у меня прыщей особо нет,;3. Не могу сказать, что биолин как-то подействовал на мое акне,;cause_r
но этот гель-крем не сделал мою кожу хуже,;3. Не могу сказать, что биолин как-то подействовал на мое акне,;contrast_m
не забил поры,;но этот гель-крем не сделал мою кожу хуже,;evidence_r
не спровоцировал высыпания.;не забил поры,;joint_m
Уже большой плюс.;но этот гель-крем не сделал мою кожу хуже,;evaluation_r
Думаю, что этот крем подошел бы жирной проблемной коже с акне и чувствительностью в теплое время года.;Я пользовалась кремом на протяжении 1.5 месяцев;evaluation_r
