EDU_1;EDU_2;Relation
потому что а) задача обойтись совсем-совсем без сахара не ставилась;В заголовок я вынесла слово почти,;cause_r
— я не выступающий спортсмен;потому что а) задача обойтись совсем-совсем без сахара не ставилась;elaboration_r
и не планировала сбрасывать вес;— я не выступающий спортсмен;joint_m
(вообще, как вы помните, я не против сахара);потому что а) задача обойтись совсем-совсем без сахара не ставилась;background_r
б) сахар содержится в очень многих даже НЕсладких продуктах;потому что а) задача обойтись совсем-совсем без сахара не ставилась;joint_m
— он выступает консервантом;б) сахар содержится в очень многих даже НЕсладких продуктах;elaboration_r
или оттеняет вкус каких-то блюд/продуктов.;— он выступает консервантом;joint_m
А мне не хочется отказываться, например, от вкусной маминой консервации из кабачков или сладкого перца по этой причине.;б) сахар содержится в очень многих даже НЕсладких продуктах;contrast_m
Зачем я решила провести этот эксперимент:;Я не верю во всяческие чудо-марафоны типа сколькототамдней без сахара и жесткие ограничения.;solutionhood_r
сахар - это лишние калории из быстрых углеводов,;Почему бы просто не перестать покупать вот это все?;cause_r
а магазинные сладости обычно содержат как непомерное его количество, так и еще кучу неполезных ингредиентов.;сахар - это лишние калории из быстрых углеводов,;joint_m
Почему бы просто не перестать покупать вот это все?;Зачем я решила провести этот эксперимент:;elaboration_r
Привычка не успевает сформироваться,;Я не верю во всяческие чудо-марафоны типа сколькототамдней без сахара и жесткие ограничения.;evidence_r
потому откат почти гарантирован,;Привычка не успевает сформироваться,;cause_r
стоит только снова купить что-то запретное;потому откат почти гарантирован,;condition_r
(а соблазн-то есть,;Привычка не успевает сформироваться,;elaboration_r
чем больше ограничений;— тем морально тяжелее).;condition_r
— тем морально тяжелее).;(а соблазн-то есть,;elaboration_r
Постепенная минимизация каких-то продуктов в рационе в этом плане гораздо эффективнее;Я не верю во всяческие чудо-марафоны типа сколькототамдней без сахара и жесткие ограничения.;contrast_m
— понемногу меняется само восприятие каких-то вкусов,;со временем перестанет нравиться.;cause_r
и то что раньше казалось вкусняшкой,;со временем перестанет нравиться.;condition_r
со временем перестанет нравиться.;Постепенная минимизация каких-то продуктов в рационе в этом плане гораздо эффективнее;elaboration_r
(бывают исключения,;От чего я решила отказаться в первую очередь: сахар в чае и кофе магазинная выпечка и сладости с сахаром;elaboration_r
но очень редко).;(бывают исключения,;contrast_m
Сладости я оставила только без сахара и органический шоколад в очень умеренных дозах;От чего я решила отказаться в первую очередь: сахар в чае и кофе магазинная выпечка и сладости с сахаром;contrast_m
(чтоб не так хотелось убивать людей)));Сладости я оставила только без сахара и органический шоколад в очень умеренных дозах;purpose_r
Как оказалось,;Сладости я оставила только без сахара и органический шоколад в очень умеренных дозах;elaboration_r
при желании;можно найти массу сладостей;condition_r
можно найти массу сладостей;Как оказалось,;same-unit_m
либо вообще без добавления подсластителей, либо с качественными сахзамами.;можно найти массу сладостей;condition_r
Десерты и выпечку стараюсь есть только самодельные,;От чего я решила отказаться в первую очередь: сахар в чае и кофе магазинная выпечка и сладости с сахаром;joint_m
куда добавляю сахарозаменитель на натуральной основе или фрукты/сухофрукты;Десерты и выпечку стараюсь есть только самодельные,;elaboration_r
для сладости.;куда добавляю сахарозаменитель на натуральной основе или фрукты/сухофрукты;purpose_r
В выпечке обычную муку заменяю на цельнозерновую, овсяную, льняную.;Десерты и выпечку стараюсь есть только самодельные,;elaboration_r
На фрукты и ягоды я никаких ограничений не ставила - зачем?;По сравнению с обычными сладостями и выпечкой они весьма низкокалорийны,;solutionhood_r
а съесть больше 200-300 граммов каких-нибудь ягод у меня все равно не получается.;По сравнению с обычными сладостями и выпечкой они весьма низкокалорийны,;joint_m
Единственные исключения - бананы и виноград.;По сравнению с обычными сладостями и выпечкой они весьма низкокалорийны,;contrast_m
Но первые мне успевают надоесть за зиму,;и много их не съешь,;cause_r
и много их не съешь,;Единственные исключения - бананы и виноград.;contrast_m
а виноград я просто не очень люблю.;и много их не съешь,;joint_m
Зато с фруктами и ягодами вы получаете много витаминов и клетчатки.;По сравнению с обычными сладостями и выпечкой они весьма низкокалорийны,;contrast_m
Для сравнения;— по калорийности 300 граммов ягод;purpose_r
