EDU_1;EDU_2;Relation
«Доктор,;Вот по такому запросу и понятно, почему раньше в любой уважающей себя клинике пластической хирургии обязательно работал психиатр.;preparation_r
когда я встаю на четвереньки,;у меня отвисают нижние веки!»;condition_r
у меня отвисают нижние веки!»;«Доктор,;same-unit_m
Из реальных запросов к пластическому хирургу.;«Доктор,;elaboration_r
Вот по такому запросу и понятно, почему раньше в любой уважающей себя клинике пластической хирургии обязательно работал психиатр.;Потому решила сама немного про это написать.;cause_r
Это я по теме поста у Яны miumau про маму, которая так и не увидела, что дочь нуждается в пластике.;Вот по такому запросу и понятно, почему раньше в любой уважающей себя клинике пластической хирургии обязательно работал психиатр.;elaboration_r
Когда-то в старших классах я сама уговорила подругу на пластику носа.;Она была внешне очень хорошо сложена,;preparation_r
Она была внешне очень хорошо сложена,;Потому решила сама немного про это написать.;evidence_r
все в лице пропорционально, кроме кончика носа.;Она была внешне очень хорошо сложена,;joint_m
Который всегда оставлял странное впечатление:;все в лице пропорционально, кроме кончика носа.;elaboration_r
как будто кто-то небрежно надрезал нос посередине;и все вот так заросло. Как бы почти два носа.;cause_r
и все вот так заросло. Как бы почти два носа.;Который всегда оставлял странное впечатление:;comparison_m
Пустяк вроде,;Она была внешне очень хорошо сложена,;elaboration_r
но на школьных танцах ее практически не приглашали.;Пустяк вроде,;contrast_m
И меня тогда больше всего зацепило, что ребята, старались взглядом как бы избегать ее лица.;Пустяк вроде,;joint_m
Кстати, ни травли, ни каких-то дразнилок в ее адрес тоже никогда не было.;Вот и посеяла ей идею сделать пластику.;cause_r
Но я тогда очень хотела ей помочь,;Кстати, ни травли, ни каких-то дразнилок в ее адрес тоже никогда не было.;contrast_m
мне было неуютно, что мимо нее проходят вся эта подростковая круговерть с влюбленностями и первыми поцелуями.;Но я тогда очень хотела ей помочь,;joint_m
Вот и посеяла ей идею сделать пластику.;Пустяк вроде,;elaboration_r
говорила, что ее дочь и так полюбят,;Ее мама ругалась на нас обоих,;joint_m
что «судьба и на печке найдет»,;говорила, что ее дочь и так полюбят,;joint_m
что недостаток у нее пустяшный.;говорила, что ее дочь и так полюбят,;joint_m
Но маму уломали доехать с дочкой к врачу.;Ее мама ругалась на нас обоих,;contrast_m
