EDU_1;EDU_2;Relation
если сравнивать с второй половиной прошлого века.;Что касается лекарств, коими пользуют пациентов психиатрических клиник, в их разработке заметно некоторое затишье,;comparison_m
события помчались галопом:;Тогда, особенно после открытия аминазина, первого в череде нейролептиков, и ипрониазида, первого среди антидепрессантов,;sequence_m
делали всё новые и новые,;события помчались галопом:;elaboration_r
применяли,;делали всё новые и новые,;joint_m
копили опыт,;делали всё новые и новые,;joint_m
боролись с появившимися побочными эффектами.;делали всё новые и новые,;joint_m
Но главное было сделано:;Потому и на смену старым нейролептикам и антидепрессантам пришли их новые поколения.;cause_r
психически больные пациенты перестали быть постоянными обитателями психиатрических клиник.;Но главное было сделано:;elaboration_r
Дальше — больше:;Но главное было сделано:;sequence_m
стало много внимания уделяться тому,;Дальше — больше:;elaboration_r
чтобы лечение переносилось как можно легче и незаметнее.;стало много внимания уделяться тому,;purpose_r
Нет, выпуск лекарств не прекратился,;А потом всё понемногу затихло.;contrast_m
да и в разработке тоже кое-что имеется.;Нет, выпуск лекарств не прекратился,;joint_m
Просто нет той ретивости.;А потом всё понемногу затихло.;evaluation_r
Отчасти это объясняется тем, что фармкомпаниям не очень-то и выгодно разрабатывать препараты для тех, кто (в массе своей, конечно) не будет в состоянии за них платить;А потом всё понемногу затихло.;cause_r
— ведь психиатрия всегда была дотационной отраслью медицины.;Отчасти это объясняется тем, что фармкомпаниям не очень-то и выгодно разрабатывать препараты для тех, кто (в массе своей, конечно) не будет в состоянии за них платить;cause_r
Ну ладно ещё антидепрессанты — их покупают охотнее,;Отчасти это объясняется тем, что фармкомпаниям не очень-то и выгодно разрабатывать препараты для тех, кто (в массе своей, конечно) не будет в состоянии за них платить;elaboration_r
да и социальный срез побогаче в целом будет.;Ну ладно ещё антидепрессанты — их покупают охотнее,;joint_m
А вот с нейролептиками сложнее.;Ну ладно ещё антидепрессанты — их покупают охотнее,;comparison_m
Другая причина — сейчас учёные, фармакологи и медики приблизились к порогу своих знаний о нейромедиаторах и того, как на них действуют эти группы лекарств.;А потом всё понемногу затихло.;joint_m
Надо учить матчасть дальше,;Другая причина — сейчас учёные, фармакологи и медики приблизились к порогу своих знаний о нейромедиаторах и того, как на них действуют эти группы лекарств.;elaboration_r
