EDU_1;EDU_2;Relation
– искать что-то положительное там,;Наверно это профессиональная деформация;elaboration_r
где окружающие видят только «щастье» из  известных 4х букв.;– искать что-то положительное там,;contrast_m
Однако, по крайней мере тактически, так легче адаптироваться к внешней, весьма агрессивной среде.;Наверно это профессиональная деформация;contrast_m
Ну и приятный бонус в долговременной перспективе;Наверно это профессиональная деформация;joint_m
– приятно осознавать, насколько был прав…;Ну и приятный бонус в долговременной перспективе;elaboration_r
Всёпропальщиков тоже можно понять.;Теперь  стадо профессиональных попрошаек, с песнями и плясками, радостно откочевало в англосаксонские загоны;cause_r
Их  такое публичное и громогласное «всё пропало» - это не декларация незыблемой позиции, а призыв к окружающим приступать к убеждению,;Всёпропальщиков тоже можно понять.;elaboration_r
что не всё так плохо,;Их  такое публичное и громогласное «всё пропало» - это не декларация незыблемой позиции, а призыв к окружающим приступать к убеждению,;elaboration_r
могло быть и хуже;что не всё так плохо,;joint_m
и вообще  - радуйся что живой…;что не всё так плохо,;joint_m
Геополитическая катастрофа социалистического блока и развал СССР,;Всёпропальщиков тоже можно понять.;joint_m
несмотря на личные трагедии миллионов ни в чём не повинных людей,;Геополитическая катастрофа социалистического блока и развал СССР,;concession_r
развеяла иллюзии как по поводу «наших западных партнёров» так и многочисленных «небратьев» ,;Геополитическая катастрофа социалистического блока и развал СССР,;same-unit_m
избавила от многочисленных «союзников»-захребетников,;Геополитическая катастрофа социалистического блока и развал СССР,;joint_m
весьма комфортно устроившихся на российской шее и небрежно поплёвывающих оттуда в руку дающую.;избавила от многочисленных «союзников»-захребетников,;background_r
где их уже ничего не спасёт от судьбы коренных жителей США.;Теперь  стадо профессиональных попрошаек, с песнями и плясками, радостно откочевало в англосаксонские загоны;elaboration_r
Это ежедневно подтверждается демографическими отчётами, больше похожими на сводки боевых потерь во время военных действий.;Теперь  стадо профессиональных попрошаек, с песнями и плясками, радостно откочевало в англосаксонские загоны;evidence_r
Четверть века назад,;25 лет прошло;background_r
когда началось наступление на русский язык на всех окраинах бывшего СССР,;Четверть века назад,;background_r
я предлагал всячески приветствовать этот процесс,;Четверть века назад,;same-unit_m
который принудительно загоняет молодёжь гонористых титульных наций в монолингвальное состояние.;Четверть века назад,;elaboration_r
и можно уже констатировать, что окраинные националисты честно сделали своих детей неконкурентоспособными на российском рынке,;25 лет прошло;joint_m
так и не потерявшем привлекательность,;и можно уже констатировать, что окраинные националисты честно сделали своих детей неконкурентоспособными на российском рынке,;elaboration_r
не получив у «наших западных партнёров» и сотой доли  тех преференций, которые они имели в России.;так и не потерявшем привлекательность,;condition_r
И уж куда им вход точно заказан – так это в правящую элиту.;25 лет прошло;joint_m
На Западе, оказывается, своих элит хватает…;И уж куда им вход точно заказан – так это в правящую элиту.;evaluation_r
Про собственную национальную идентичность,  за которую так боролись «небратья» с Россией, у «наших западных партнёров» они вообще  не вспоминают.;25 лет прошло;joint_m
Англосаксонский проект  никакой другой идентичности, кроме собственной, не предусматривает.;Про собственную национальную идентичность,  за которую так боролись «небратья» с Россией, у «наших западных партнёров» они вообще  не вспоминают.;contrast_m
Без всякой помощи «коварной России»,;25 лет прошло;joint_m
исключительно усилиями собственных националистических элит,;подмандатное титульное население в рамках англосаксонской цивилизации уверенно совершает переход  государствообразующих наций в прикольную этнографическую редкость.;condition_r
подмандатное титульное население в рамках англосаксонской цивилизации уверенно совершает переход  государствообразующих наций в прикольную этнографическую редкость.;Без всякой помощи «коварной России»,;same-unit_m
С чем небратьев можно поздравить.;Без всякой помощи «коварной России»,;evaluation_r
Сама Россия, впервые за последнее столетие,;В результате в начале ХХI века активность российского государства демонстрирует образец прагматичности.;cause_r
жалуясь на отсутствие государственной идеологии, впервые строит свою геополитику;Сама Россия, впервые за последнее столетие,;condition_r
опираясь не на умозрительные идеалистические конструкции, а на самые базовые потребности, которые правильно было бы называть инстинктами.;Сама Россия, впервые за последнее столетие,;condition_r
Не на отвоевании Константинополя, которого домогались Романовы, ни на построении социализма в Африке,;В результате в начале ХХI века активность российского государства демонстрирует образец прагматичности.;elaboration_r
а на контроле над месторождениями углеводородов и логистикой  сосредоточены усилия современной российской элиты.;Не на отвоевании Константинополя, которого домогались Романовы, ни на построении социализма в Африке,;contrast_m
Мотив полностью приземлённый;Никакой идеи.;joint_m
и циничный. Строго в соответствии с марксистской теорией капитализма.;Мотив полностью приземлённый;joint_m
Но посмотрите, как корёжит при этом “колыбель буржуазии” – цивилизацию англосаксов.;Никакой идеи.;contrast_m
Как им не нравится эти в доску капиталистические поползновения России в Сирии, Венесуэле, Германии, Китае!;Но посмотрите, как корёжит при этом “колыбель буржуазии” – цивилизацию англосаксов.;joint_m
А как  писал классик;скорее всего ты всё делаешь правильно…;attribution_r
– если твой враг тебя проклинает,;скорее всего ты всё делаешь правильно…;condition_r
скорее всего ты всё делаешь правильно…;Но посмотрите, как корёжит при этом “колыбель буржуазии” – цивилизацию англосаксов.;evidence_r
Капитализм, он ведь тоже имеет свою логику развития, которую вполне квалифицированно описал Маркс.;В полном соответствии с этой логикой компрадорская буржуазия Росси 90х  сегодня вытесняется другой, более зубастой,;preparation_r
которая  уже смотрит на Запад еще снизу вверх, но уже без былого почитания, а скорее как хищник,;В полном соответствии с этой логикой компрадорская буржуазия Росси 90х  сегодня вытесняется другой, более зубастой,;elaboration_r
почуявший, что гегемон слабеет и скоро сам вполне может стать кормом.;которая  уже смотрит на Запад еще снизу вверх, но уже без былого почитания, а скорее как хищник,;elaboration_r
Сам капитализм, как общественно-экономическая формация, тоже находится при смерти,;В полном соответствии с этой логикой компрадорская буржуазия Росси 90х  сегодня вытесняется другой, более зубастой,;joint_m
но эту уже другая тема.;Сам капитализм, как общественно-экономическая формация, тоже находится при смерти,;contrast_m
однако  это не должно мешать гордиться победами местных олигархов над иностранными,;К социальной справедливости внутри самой России всё вышесказанное не имеет никакого отношения,;contrast_m
как не мешает гордиться Суворовым его крайне сложные отношения с народными восстаниями (Пугачёв) и национально освободительными движениями (Польша);однако  это не должно мешать гордиться победами местных олигархов над иностранными,;comparison_m
Кстати, насчёт Суворова в частности и истории вообще.;К социальной справедливости внутри самой России всё вышесказанное не имеет никакого отношения,;joint_m
Наконец то в России нет вычеркнутых времён, про которые не принято вспоминать.;Кстати, насчёт Суворова в частности и истории вообще.;elaboration_r
И это хорошо!;Наконец то в России нет вычеркнутых времён, про которые не принято вспоминать.;evaluation_r
Это правильно.;И это хорошо!;joint_m
Взаимосвязь событий и непрерывность исторических процессов – необходимое условие их адекватного восприятия.;Кстати, насчёт Суворова в частности и истории вообще.;evidence_r
