EDU_1;EDU_2;Relation
Процесс разработки связан, в основном, с извлечением, получением и обработкой данных из разных источников, таких как базы данных, файлы, API и т.д.;В рамках этой статьи я буду рассматривать язык PHP для того,;preparation_r
Очень много времени разработчики на организацию, получение, перемещение и обработку данных.;Процесс разработки связан, в основном, с извлечением, получением и обработкой данных из разных источников, таких как базы данных, файлы, API и т.д.;elaboration_r
чтобы, как минимум, я сам понимал, о чём говорю.;В рамках этой статьи я буду рассматривать язык PHP для того,;purpose_r
PHP — язык простой;В рамках этой статьи я буду рассматривать язык PHP для того,;elaboration_r
для понимания большинству;PHP — язык простой;purpose_r
и, я думаю, что у программистов, работающих на других языках, не возникнет проблем с пониманием данного материала.;PHP — язык простой;joint_m
Можно было бы просто абстрактно описать о структурах данных,;PHP — язык простой;elaboration_r
но хочется более осязаемого материала.;Можно было бы просто абстрактно описать о структурах данных,;contrast_m
Чаще всего для представления данных в PHP используют массив.;и поэтому требуются более подходящие структуры данных.;preparation_r
Однако в некоторых случаях массивы не подходят;Чаще всего для представления данных в PHP используют массив.;contrast_m
для решения задач.;Однако в некоторых случаях массивы не подходят;purpose_r
Где-то не хватает производительности,;и поэтому требуются более подходящие структуры данных.;cause_r
где-то слишком много памяти “кушает”,;Где-то не хватает производительности,;joint_m
и поэтому требуются более подходящие структуры данных.;Библиотека SPL — является частью ядра(начиная с пятой версии PHP);solutionhood_r
и содержит набор интерфейсов, классов структур данных, итераторов и функций,;Библиотека SPL — является частью ядра(начиная с пятой версии PHP);joint_m
с помощью которых можно значительно упростить себе жизнь;и содержит набор интерфейсов, классов структур данных, итераторов и функций,;purpose_r
и повысить качество кода.;с помощью которых можно значительно упростить себе жизнь;joint_m
Какие же есть структуры данных в этой вашей SPL?;— SplDoublyLinkedList;preparation_r
— Двусвязные спискиSplStack;— SplDoublyLinkedList;joint_m
— СтекSplQueue;— SplDoublyLinkedList;joint_m
— ОчередьSplHeap;— SplDoublyLinkedList;joint_m
— КучаSplMaxHeap — Сортировка кучи по убыванию;— SplDoublyLinkedList;joint_m
— SplMinHeap — Сортировка кучи по возрастанию;— SplDoublyLinkedList;joint_m
— SplPriorityQueue — Приоритетные очереди;— SplDoublyLinkedList;joint_m
— SplFixedArray — Массив с ограниченной длиной;— SplDoublyLinkedList;joint_m
— SplObjectStorage — Хранилище объектов;— SplDoublyLinkedList;joint_m
SplDoublyLinkedList;Двусвязный список позволяет эффективно обходить;preparation_r
SplDoublyLinkedList — двусвязный список.;Двусвязный список позволяет эффективно обходить;solutionhood_r
Каждый узел такого списка хранит ссылку на предыдущий и на следующий за ним узел.;SplDoublyLinkedList — двусвязный список.;elaboration_r
Представьте, что вы находитесь в очереди;Каждый узел такого списка хранит ссылку на предыдущий и на следующий за ним узел.;elaboration_r
и при этом можете видеть только человека перед вами и позади вас.;Представьте, что вы находитесь в очереди;joint_m
Это аналогия отношения связи между элементами в SplDoublyLinkedList.;Представьте, что вы находитесь в очереди;comparison_m
Вставка элемента в список соответствует ситуации,;Это аналогия отношения связи между элементами в SplDoublyLinkedList.;elaboration_r
когда кто-то влез в очередь,;Вставка элемента в список соответствует ситуации,;condition_r
а вы вдруг забыли, кто стоял перед вами;когда кто-то влез в очередь,;contrast_m
(и этот кто-то забыл о вас).;а вы вдруг забыли, кто стоял перед вами;joint_m
