EDU_1;EDU_2;Relation
Многие стали спрашивать почему я заспамил весь твиттер электробусами,;Электробусы и троллейбусы — профильная для меня штука,;preparation_r
предлагают с этим прекратить.;Многие стали спрашивать почему я заспамил весь твиттер электробусами,;joint_m
Сегодня от нескольких знакомых читателей получил такую жалобу:;Многие стали спрашивать почему я заспамил весь твиттер электробусами,;evidence_r
TXT-;Сегодня от нескольких знакомых читателей получил такую жалобу:;elaboration_r
я интересуюсь транспортом;Электробусы и троллейбусы — профильная для меня штука,;elaboration_r
и вообще урбанистический магистр.;я интересуюсь транспортом;joint_m
Но глупостей в городе делается много,;Электробусы и троллейбусы — профильная для меня штука,;contrast_m
бредятина с электробусами важна;Но глупостей в городе делается много,;joint_m
ещё потому, что это прям хрестоматийный пример,;бредятина с электробусами важна;evidence_r
показывающий, из-за чего в нашей стране все проблемы получаются.;ещё потому, что это прям хрестоматийный пример,;elaboration_r
Самодурство и глупость одного начальника.;Вся тема с уничтожением троллейбусов и введением футуристичных электробусов это полностью на 100% инициатива только Собянина.;preparation_r
Вся тема с уничтожением троллейбусов и введением футуристичных электробусов это полностью на 100% инициатива только Собянина.;Тут в этой теме всё:;elaboration_r
Даже Ликсутов был против, не говоря о профильных руководителях,;Вся тема с уничтожением троллейбусов и введением футуристичных электробусов это полностью на 100% инициатива только Собянина.;contrast_m
работники Дептранса,;Даже Ликсутов был против, не говоря о профильных руководителях,;joint_m
многие из которых пришли туда работать,;работники Дептранса,;elaboration_r
чтобы улучшать город,;многие из которых пришли туда работать,;purpose_r
стыдливо опускают глаза;работники Дептранса,;same-unit_m
при разговоре о троллейбусах,;стыдливо опускают глаза;condition_r
В результате уничтожается ценная и важная инфраструктура,;Вся тема с уничтожением троллейбусов и введением футуристичных электробусов это полностью на 100% инициатива только Собянина.;joint_m
которую такие города, как Берлин, сейчас только думают строить,;В результате уничтожается ценная и важная инфраструктура,;elaboration_r
а такие, как Лондон, — о ней мечтают,;которую такие города, как Берлин, сейчас только думают строить,;comparison_m
Всё это стоит уже сейчас 12 миллиардов рублей;Вся тема с уничтожением троллейбусов и введением футуристичных электробусов это полностью на 100% инициатива только Собянина.;joint_m
и не имеет никакого смысла.;Всё это стоит уже сейчас 12 миллиардов рублей;contrast_m
Это целый год работы десяти тысяч человек с зарплатой 100,000 рублей просто выброшен в унитаз.;Всё это стоит уже сейчас 12 миллиардов рублей;evidence_r
Это ~12,5 лет работы персонала института Склифосовского, например.;Это целый год работы десяти тысяч человек с зарплатой 100,000 рублей просто выброшен в унитаз.;contrast_m
Просто вот так раз и на ветер,;Всё это стоит уже сейчас 12 миллиардов рублей;evaluation_r
Всё это будет стоить намного дороже,;Вся тема с уничтожением троллейбусов и введением футуристичных электробусов это полностью на 100% инициатива только Собянина.;joint_m
если уничтожить троллейбус;Всё это будет стоить намного дороже,;condition_r
и накупить этих хреномутей,;если уничтожить троллейбус;contrast_m
и нам же это потом разгребать,;Всё это будет стоить намного дороже,;sequence_m
когда власть станет адекватной,;и нам же это потом разгребать,;cause_r
Всё медийное пространство зачищено,;Вся тема с уничтожением троллейбусов и введением футуристичных электробусов это полностью на 100% инициатива только Собянина.;joint_m
рациональный подход к совершенно обычному хозяйственному вопросу отстаиваю один я,;Всё медийное пространство зачищено,;joint_m
Дептранс скупает блогеров,;Вся тема с уничтожением троллейбусов и введением футуристичных электробусов это полностью на 100% инициатива только Собянина.;joint_m
крутит репортажи по ТВ,;Дептранс скупает блогеров,;joint_m
закупает крупнейшую дизайн-студию;Дептранс скупает блогеров,;joint_m
для дизайна;закупает крупнейшую дизайн-студию;purpose_r
— на пиар глупости и замыливание темы;тратится куча времени и сил,;purpose_r
тратится куча времени и сил,;Дептранс скупает блогеров,;elaboration_r
Но сейчас все находят миллион причин, почему это неважно.;Вся тема с уничтожением троллейбусов и введением футуристичных электробусов это полностью на 100% инициатива только Собянина.;joint_m
Вопрос мелкий,;Но сейчас все находят миллион причин, почему это неважно.;elaboration_r
портить отношения с мэрией не хочется,;Вопрос мелкий,;joint_m
не хочется напрямую критиковать,;Вопрос мелкий,;joint_m
не хочется задавать такие вопросы.;Вопрос мелкий,;joint_m
Если и я на это забью,;то все будут молчать.;condition_r
На одной чаше куча бабла на пиар-бюджет никому не нужной хреномути,;то все будут молчать.;evaluation_r
на другой какой-то общественный интерес с непонятными троллейбусами и экономикой.;На одной чаше куча бабла на пиар-бюджет никому не нужной хреномути,;contrast_m
И ведь в стране всё так. Никакой экспертной дискуссии, рациональной политики, никаких решений, основанных на фактах и на цифрах.;На одной чаше куча бабла на пиар-бюджет никому не нужной хреномути,;evaluation_r
Ничего из того, чему учат урбанистического магистра в университете Глазго.;И ведь в стране всё так. Никакой экспертной дискуссии, рациональной политики, никаких решений, основанных на фактах и на цифрах.;elaboration_r
Сплошное самодурство, враньё, продажность и пустой пиар.;И ведь в стране всё так. Никакой экспертной дискуссии, рациональной политики, никаких решений, основанных на фактах и на цифрах.;contrast_m
Поэтому жизнь с каждым годом становится всё хуже и страшнее.;Сплошное самодурство, враньё, продажность и пустой пиар.;evaluation_r
Электробус хорош;то все будут молчать.;joint_m
ещё тем, что бред этой истории очевиден,;лежит на поверхности, среди экспертов консенсус.;cause_r
лежит на поверхности, среди экспертов консенсус.;Электробус хорош;joint_m
Он просто не едет,;Электробус хорош;evidence_r
а когда едет,;то дороже во много раз.;condition_r
то дороже во много раз.;Он просто не едет,;joint_m
Но все куплены;Электробус хорош;contrast_m
и никто не хочет вписываться.;Но все куплены;joint_m
А я вот буду.;— хорошо.;preparation_r
Отобьём троллейбус;— хорошо.;condition_r
Это будет хорошее и важное дело,;— хорошо.;evaluation_r
город станет лучше с более чистым воздухом и более экономичным транспортом.;Это будет хорошее и важное дело,;joint_m
Не отобьём;— покажем, как дела такие делаются,;condition_r
— покажем, как дела такие делаются,;— хорошо.;joint_m
и объясним, как их надо делать;— покажем, как дела такие делаются,;joint_m
и почему действующая власть это не может.;— покажем, как дела такие делаются,;joint_m
Вы зря думаете, что все знают всё про нынешнюю власть.;— хорошо.;joint_m
На самом деле у многих иллюзия, что мэрия Москвы, например, городом управляет хорошо;Вы зря думаете, что все знают всё про нынешнюю власть.;contrast_m
и становится всё в городе лучше.;На самом деле у многих иллюзия, что мэрия Москвы, например, городом управляет хорошо;joint_m
Людям это всё нужно будет объяснять,;Вы зря думаете, что все знают всё про нынешнюю власть.;elaboration_r
