EDU_1;EDU_2;Relation
Текст моего выступления на внутренней конференции в Контуре.;О менеджерах и тестировщиках.;preparation_r
О менеджерах и тестировщиках.;У нас - все очень любят контур, коллег и проект.;preparation_r
Ссылка на презентацию;О менеджерах и тестировщиках.;joint_m
Я недавно работаю в контуре, всего год.;У нас - все очень любят контур, коллег и проект.;background_r
Но до сих пор у меня не проходит ощущение новизны,;Я недавно работаю в контуре, всего год.;contrast_m
как будто я только что пришел месяц.;Но до сих пор у меня не проходит ощущение новизны,;comparison_m
Гуда не взгляни - везде необычное. Непонятное.;Но до сих пор у меня не проходит ощущение новизны,;evaluation_r
Я еще ни в одной компании этого не видел.;У нас - все очень любят контур, коллег и проект.;evaluation_r
Когда спрашиваешь о работе;люди начинают рассказывать не о том, что они кладут кирпичи,;condition_r
люди начинают рассказывать не о том, что они кладут кирпичи,;Я еще ни в одной компании этого не видел.;elaboration_r
а о том, что строят красивое здание.;люди начинают рассказывать не о том, что они кладут кирпичи,;contrast_m
Я так не умею.;люди начинают рассказывать не о том, что они кладут кирпичи,;evaluation_r
Кроме очевидных проблем это дает некоторые преимущества.;У нас - все очень любят контур, коллег и проект.;joint_m
Пока я еще не влюбился в это великолепие окончательно,;я могу заметить что-нибудь интересное;condition_r
я могу заметить что-нибудь интересное;Кроме очевидных проблем это дает некоторые преимущества.;elaboration_r
и сравнить.;я могу заметить что-нибудь интересное;joint_m
Собственно, этим и хотелось бы поделиться.;Итак, конфликт.;preparation_r
Я считаю, что нашел конфликт между менеджером и тестировщиком;Собственно, этим и хотелось бы поделиться.;elaboration_r
и сейчас рассмотрю его. С каждой стороны.;Я считаю, что нашел конфликт между менеджером и тестировщиком;sequence_m
Возможно, у меня даже есть решение.;Я считаю, что нашел конфликт между менеджером и тестировщиком;evaluation_r
1. Матерым тестерам мало платят.;Итак, конфликт.;elaboration_r
2. Опытным тестерам вообще-то не за что платить много;1. Матерым тестерам мало платят.;contrast_m
Я думаю, что эту проблему можно решить.;коллизия ожиданий, требований, диалога и немного квалификации.;solutionhood_r
коллизия ожиданий, требований, диалога и немного квалификации.;Итак, конфликт.;evaluation_r
