EDU_1;EDU_2;Relation
отреагировала на днях на мою возвышенную речь об экологичности нашего производства собеседница, представляющая отдел закупок большого авиаперевозчика.;«Компании делают что-то хорошее только там, где они делают что-то плохое», —;attribution_r
— «Это такая «отмывка совести», по большому счёту».;«Компании делают что-то хорошее только там, где они делают что-то плохое», —;evaluation_r
Распространённое и, увы, подкреплённое практикой взаимодействия производственных предприятий с местными сообществами мнение.;«Компании делают что-то хорошее только там, где они делают что-то плохое», —;evaluation_r
А ещё — очень удобное,;Распространённое и, увы, подкреплённое практикой взаимодействия производственных предприятий с местными сообществами мнение.;joint_m
позволяющее заведомо обесценивать все, что корпорации делают сверх требований законодательства или отраслевых стандартов — например, экологических.;А ещё — очень удобное,;purpose_r
За маркировку по экостандартам «первого уровня», охватывающим весь жизненный цикл продукта, как инструмент повышения доверия ратовали сегодня на комитете по #КСО Ассоциации менеджеров коллеги из #Opticom, крупнейшего производителя расходных офисных материалов.;Мало того, что существующие «зелёные стандарты» никак не отражают такую существенную часть производственного цикла, как, например, использование предприятиями возобновляемой энергии или переработанных (вторичных) материалов в упаковке,;preparation_r
О скепсисе ведущих мировых экспертов относительно способности систем маркировки и прослеживаемости как-то восстанавливать разрушенную веру потребителей в бренды писала здесь уже не раз;За маркировку по экостандартам «первого уровня», охватывающим весь жизненный цикл продукта, как инструмент повышения доверия ратовали сегодня на комитете по #КСО Ассоциации менеджеров коллеги из #Opticom, крупнейшего производителя расходных офисных материалов.;background_r
(например, здесь;О скепсисе ведущих мировых экспертов относительно способности систем маркировки и прослеживаемости как-то восстанавливать разрушенную веру потребителей в бренды писала здесь уже не раз;attribution_r
Мало того, что существующие «зелёные стандарты» никак не отражают такую существенную часть производственного цикла, как, например, использование предприятиями возобновляемой энергии или переработанных (вторичных) материалов в упаковке,;(О принципах этичного отношения к воде,;solutionhood_r
они часто необоснованно перетягивают внимание и брендов, и покупателей на «безопасность» формулы продукта для здоровья человека в ущерб проблемам безопасности производства этого продукта и утилизации его отходов для планеты.;Мало того, что существующие «зелёные стандарты» никак не отражают такую существенную часть производственного цикла, как, например, использование предприятиями возобновляемой энергии или переработанных (вторичных) материалов в упаковке,;joint_m
