EDU_1;EDU_2;Relation
И вот смотрите, как забавно получается.;что даже мне понятно, что там применима поговорка;preparation_r
Минские соглашения прописаны так своеобразно,;что даже мне понятно, что там применима поговорка;condition_r
«Закон что дышло,;что даже мне понятно, что там применима поговорка;elaboration_r
как повернёшь,;так и вышло».;cause_r
так и вышло».;«Закон что дышло,;elaboration_r
И на протяжении ряда лет их успешно поворачивали так,;что Россия сидела под санкциями,;cause_r
что Россия сидела под санкциями,;что даже мне понятно, что там применима поговорка;elaboration_r
а наши ВСУ потихоньку отжимали территорию и отправляли на тот свет сепаров.;что Россия сидела под санкциями,;joint_m
И главное, всё правильно было.;что Россия сидела под санкциями,;evaluation_r
Всё в полном соответствии с Минскими договорённостями.;И главное, всё правильно было.;joint_m
И так это всё замечательно работало,;что многие неглупые мои знакомые хвалили даже бывшего президента Кучму даже;cause_r
— дескать, смотри, какой эффективный переговорщик,;что многие неглупые мои знакомые хвалили даже бывшего президента Кучму даже;elaboration_r
видишь как всё замечательно складывается.;— дескать, смотри, какой эффективный переговорщик,;joint_m
Даже меня убедили.;что многие неглупые мои знакомые хвалили даже бывшего президента Кучму даже;contrast_m
Почти заставили поверить, что Леонид Данилович — патриот;Даже меня убедили.;elaboration_r
и вместе с другими достойными людьми отстаивал интересы Украины в Минске.;Почти заставили поверить, что Леонид Данилович — патриот;joint_m
А теперь мы видим, что, кажется, Леонид Данилович всё-таки скорее не патриот,;что многие неглупые мои знакомые хвалили даже бывшего президента Кучму даже;contrast_m
а всё-таки скорее эффективный переговорщик.;А теперь мы видим, что, кажется, Леонид Данилович всё-таки скорее не патриот,;contrast_m
Успешно выполняющий ровно то, что ему поручили.;А теперь мы видим, что, кажется, Леонид Данилович всё-таки скорее не патриот,;elaboration_r
При Порошенко ему поручали отстаивать интересы Украины;— и всё было хорошо.;condition_r
При Зеленском ему, я так понимаю, поручили договариваться о прекращении огня и снятии блокады.;И снова всё хорошо. У отдельно взятого Леонида Даниловича Кучмы, и ещё некоторых высокопоставленных лиц.;condition_r
И снова всё хорошо. У отдельно взятого Леонида Даниловича Кучмы, и ещё некоторых высокопоставленных лиц.;— и всё было хорошо.;joint_m
Украине, правда, как-то не очень,;Надо идти на компромиссы.;cause_r
но... ну сами посудите, не могут же все быть счастливы?;Украине, правда, как-то не очень,;contrast_m
Надо идти на компромиссы.;Сегодня компромисс будет такой:;solutionhood_r
Сегодня компромисс будет такой:;— и всё было хорошо.;contrast_m
мы будем кормить Донбасс,;Сегодня компромисс будет такой:;elaboration_r
выплачивать ему репарации,;мы будем кормить Донбасс,;joint_m
они будут в нас стрелять,;мы будем кормить Донбасс,;joint_m
а мы отвечать не будем,;мы будем кормить Донбасс,;contrast_m
чтобы не провоцировать.;а мы отвечать не будем,;purpose_r
И решительно непонятно, как же так вышло.;а мы отвечать не будем,;evaluation_r
Почему вот всё было скорее хорошо,;Понятно, что инициатива прекратить огонь в ответ — это, по сути, обречь нашу армию на уничтожение. В первую очередь на моральное. Потом на физическое.;preparation_r
и какое-то время всё было скорее хорошо,;Почему вот всё было скорее хорошо,;joint_m
а теперь вдруг раз — и как-то становится совсем не хорошо.;Почему вот всё было скорее хорошо,;contrast_m
А прямо скажем, жопа какая-то на горизонте виднеется.;а теперь вдруг раз — и как-то становится совсем не хорошо.;evaluation_r
Потому что я точно знаю, как это будет.;Понятно, что инициатива прекратить огонь в ответ — это, по сути, обречь нашу армию на уничтожение. В первую очередь на моральное. Потом на физическое.;cause_r
Их будут обстреливать,;Потому что я точно знаю, как это будет.;elaboration_r
а уважаемые переговорщики с той стороны будут разводить руками;Их будут обстреливать,;contrast_m
и говорить: «ЭТО НЕ МЫ». Или: «ДА НЕ БЫЛО ТАКОГО».;а уважаемые переговорщики с той стороны будут разводить руками;joint_m
Или может: «ЭТО ВСУ ОБСТРЕЛИВАЮТ САМИ СЕБЯ».;а уважаемые переговорщики с той стороны будут разводить руками;joint_m
В принципе, ровно то же, что с той стороны говорят пять лет.;Их будут обстреливать,;elaboration_r
Только раньше мы давали им адекватный ответ какой-то, бывало что и с запасом. На дипломатическом фронте. И другим разрешённым калибром.;В принципе, ровно то же, что с той стороны говорят пять лет.;contrast_m
А теперь, значит, новая концепция.;Понятно, что инициатива прекратить огонь в ответ — это, по сути, обречь нашу армию на уничтожение. В первую очередь на моральное. Потом на физическое.;contrast_m
Мы теперь провоцировать не будем,;А теперь, значит, новая концепция.;elaboration_r
а будем строить мосты,;Мы теперь провоцировать не будем,;contrast_m
