EDU_1;EDU_2;Relation
Потеря близкого человека - настоящая беда.;Латвия, в которой я живу - маленькая страна,;evaluation_r
Латвия, в которой я живу - маленькая страна,;К счастью, многие находятся сами,;preparation_r
но каждый год у нас пропадает без вести много людей.;Латвия, в которой я живу - маленькая страна,;contrast_m
кого-то находит полиция,;К счастью, многие находятся сами,;joint_m
некоторые так и остаются в списках пропавших без вести.;К счастью, многие находятся сами,;contrast_m
Но иногда возникает необходимость искать человека всем миром-;К счастью, многие находятся сами,;contrast_m
например, когда кто-то заблудился в лесу.;Но иногда возникает необходимость искать человека всем миром-;elaboration_r
В Латвии есть волонтерская организация, добровольцы которой занимаются такими поисками.;Но иногда возникает необходимость искать человека всем миром-;elaboration_r
На сайте организации я заполнила анкету-заявку,;В Латвии есть волонтерская организация, добровольцы которой занимаются такими поисками.;elaboration_r
меня приняли кандидатом в волонтеры,;На сайте организации я заполнила анкету-заявку,;sequence_m
и через несколько дней пригласили на тренировку;На сайте организации я заполнила анкету-заявку,;sequence_m
по поиску потерявшихся в лесу людей.;и через несколько дней пригласили на тренировку;purpose_r
Тренировка проходила в лесу под Ригой, на заброшенном военном полигоне.;Приехало довольно много новичков - человек 50.;preparation_r
Сначала каждый из нас должен был представиться;Приехало довольно много новичков - человек 50.;sequence_m
и вкратце рассказать о себе.;Сначала каждый из нас должен был представиться;joint_m
Потом нам объяснили задачу - в лесу спрятаны потеряшки, которых нам предстоит найти.;Приехало довольно много новичков - человек 50.;sequence_m
Первыми на маршрут выходят кинологи с поисковыми собаками.;Приехало довольно много новичков - человек 50.;sequence_m
Сегодня приехали две собаки - акита Юлэ и бордер-колли Джей.;Первыми на маршрут выходят кинологи с поисковыми собаками.;elaboration_r
Когда поисковая собака находит в лесу человека или предмет,;она лаем обозначает свою находку;condition_r
она лаем обозначает свою находку;Первыми на маршрут выходят кинологи с поисковыми собаками.;elaboration_r
и ложится рядом с ней.;она лаем обозначает свою находку;joint_m
Конечно, собака ищет не человека, а поощрение, которое ей положено за находку.;она лаем обозначает свою находку;contrast_m
Для Юлэ это лакомство, а для Джея - любимая игрушка.;Конечно, собака ищет не человека, а поощрение, которое ей положено за находку.;elaboration_r
На фотографии Юлэ.;Для Юлэ это лакомство, а для Джея - любимая игрушка.;elaboration_r
Пока собаки работают,;нас разбивают на группы;condition_r
нас разбивают на группы;Перво-наперво нас всех обрабатывают средством от клещей;preparation_r
и выдают карты, где для каждой группы обозначен квадрат поиска.;нас разбивают на группы;joint_m
К каждой группе прикрепляется опытный инструктор.;нас разбивают на группы;elaboration_r
и напоминают, что желательно иметь с собой  питьевую воду,;Перво-наперво нас всех обрабатывают средством от клещей;joint_m
потому что главная наша задача - вернуться домой невредимыми.;и напоминают, что желательно иметь с собой  питьевую воду,;purpose_r
Потом каждому выдают ярко-красную нарукавную повязку и шест с красным флажком -;Перво-наперво нас всех обрабатывают средством от клещей;sequence_m
участники поисков должны видеть друг друга;Потом каждому выдают ярко-красную нарукавную повязку и шест с красным флажком -;elaboration_r
и иметь опознавательный знак.;участники поисков должны видеть друг друга;joint_m
Нас выводят на исходную позицию;Перво-наперво нас всех обрабатывают средством от клещей;sequence_m
и распределяют группы по участкам.;Нас выводят на исходную позицию;joint_m
Чтобы поски были эффективными,;прочесывать лес надо цепью.;purpose_r
прочесывать лес надо цепью.;Нас выстраивают шеренгой.;cause_r
Нас выстраивают шеренгой.;Перво-наперво нас всех обрабатывают средством от клещей;sequence_m
Надо запомнить своего соседа слева и соседа справа.;Нас выстраивают шеренгой.;elaboration_r
И впредь каждый должен сторого придерживаться своего места в шеренге;И тут оказывается, что идти цепью не тк-то просто!;preparation_r
и соблюдать дистанцию.;И впредь каждый должен сторого придерживаться своего места в шеренге;joint_m
Наконец, собаки закончили свою работу в лесу,;И впредь каждый должен сторого придерживаться своего места в шеренге;joint_m
и нам дают команду начинать движение.;Наконец, собаки закончили свою работу в лесу,;sequence_m
Идти надо медленно,;И тут оказывается, что идти цепью не тк-то просто!;elaboration_r
внимательно осматривая все вокруг себя,;Идти надо медленно,;condition_r
и при этом нельзя ни обгонять своих товарищей,;Идти надо медленно,;contrast_m
ни отставать от них .;и при этом нельзя ни обгонять своих товарищей,;joint_m
Если кто-то отстал хоть на несколько метров,;вся шеренга останавливается;condition_r
вся шеренга останавливается;и при этом нельзя ни обгонять своих товарищей,;elaboration_r
и ждет.;вся шеренга останавливается;joint_m
Иначе можно пропустить что-то важное!;и при этом нельзя ни обгонять своих товарищей,;contrast_m
Фиксировать надо любой предмет, которого не должно быть в лесу - будь то конфетный фантик, носовой платок или отпечаток обуви.;Иначе можно пропустить что-то важное!;elaboration_r
Так как мы идем по заброшенному воленному полигону,;у нас на пути множество естественных и искусственных препятствий - ям и горок, старых блиндажей и ангаров.;cause_r
у нас на пути множество естественных и искусственных препятствий - ям и горок, старых блиндажей и ангаров.;осматривает его человек, на чьей линии этот блиндаж находится.;preparation_r
Все это надо надо внимательно осматривать;— человек может быть и в яме, и на крыше сарая.;cause_r
— человек может быть и в яме, и на крыше сарая.;осматривает его человек, на чьей линии этот блиндаж находится.;solutionhood_r
Но каждый должен идти строго по своей линии.;— человек может быть и в яме, и на крыше сарая.;contrast_m
Если на пути у кого-то, к примеру, блиндаж,;осматривает его человек, на чьей линии этот блиндаж находится.;condition_r
Остальные стоят на своих местах;осматривает его человек, на чьей линии этот блиндаж находится.;joint_m
и ждут, пока закончится осмотр.;Остальные стоят на своих местах;joint_m
Потом все вместе начинают движение дальше.;осматривает его человек, на чьей линии этот блиндаж находится.;sequence_m
А на этой фотографии всеобщая радость - соседняя группа нашла своего потеряшку;осматривает его человек, на чьей линии этот блиндаж находится.;elaboration_r
Я все время переживала,;что наш потеряшка окажется на моей линии,;evaluation_r
что наш потеряшка окажется на моей линии,;Человек сидел на дереве (вокруг одни сосны, а тут вдруг клен);preparation_r
и я его не увижу.;что наш потеряшка окажется на моей линии,;contrast_m
Собственно, так и получилось.;что наш потеряшка окажется на моей линии,;elaboration_r
и был практически невидим среди листьев.;Человек сидел на дереве (вокруг одни сосны, а тут вдруг клен);joint_m
Он потом рассказывал, что я смотрела на него в упор;Человек сидел на дереве (вокруг одни сосны, а тут вдруг клен);joint_m
— и не видела!;Он потом рассказывал, что я смотрела на него в упор;contrast_m
Наверное, я так и прошла бы мимо,;Он потом рассказывал, что я смотрела на него в упор;elaboration_r
но его боковым зрение заметил мой сосед;Наверное, я так и прошла бы мимо,;contrast_m
— отслуживший в армии парень.;но его боковым зрение заметил мой сосед;background_r
Сказал- армейская привычка,;шел;evaluation_r
шел;но его боковым зрение заметил мой сосед;elaboration_r
и высматривал снайпера.;шел;joint_m
Я, конечно, расстороилась,;люди идут в лес за грибами;preparation_r
но на разборе полетов все меня утешали;Я, конечно, расстороилась,;contrast_m
и сказали, что в упор действительно практически невозможно заметить человека в листве,;но на разборе полетов все меня утешали;joint_m
сбоку его видно лучше.;и сказали, что в упор действительно практически невозможно заметить человека в листве,;comparison_m
И вот что странно -;люди идут в лес за грибами;evaluation_r
люди идут в лес за грибами;Пожалуйста, надевайте что-то яркое,;solutionhood_r
и одеваются чуть не в камуфляж,;люди идут в лес за грибами;joint_m
превращаясь в человека-невидимку.;и одеваются чуть не в камуфляж,;condition_r
Но такая одежда хороша лишь тогда,;люди идут в лес за грибами;contrast_m
когда надо в лесу незаметно пописать.;Но такая одежда хороша лишь тогда,;condition_r
когда идете в лес,;Пожалуйста, надевайте что-то яркое,;condition_r
особенно на детей и пожилых родственников!;Пожалуйста, надевайте что-то яркое,;elaboration_r
Не теряйте друг друга!;Пожалуйста, надевайте что-то яркое,;joint_m
