EDU_1;EDU_2;Relation
Меня зовут Дарья,;В этом вступительном посте хочу рассказать о своих волосах, об их изменениях за последние полгода, о методах окрашивания, об уходе за ними.;preparation_r
и я новенький автор,;Меня зовут Дарья,;joint_m
банально, не находите?);Меня зовут Дарья,;evaluation_r
и я люблю ухаживать за волосами.;Меня зовут Дарья,;joint_m
А так же красить их, будь-то травами(хна и басма) или же перманентным красителем\прямым пигментом.;Меня зовут Дарья,;joint_m
А так же пройдусь по актуальному уходу.;В этом вступительном посте хочу рассказать о своих волосах, об их изменениях за последние полгода, о методах окрашивания, об уходе за ними.;joint_m
Времена хны и басмы;Я обладательница негустых, средне-русых волос.;preparation_r
Я обладательница негустых, средне-русых волос.;Около трех лет я красилась хной и басмой раздельным способом.;background_r
Если выражаться парикмахерским языком,;то 6-7 угт.;condition_r
то 6-7 угт.;Я обладательница негустых, средне-русых волос.;elaboration_r
То есть слишком темный оттенок,;то 6-7 угт.;restatement_m
чтобы поиграть на них яркими цветами без осветления\обесцвечивания;То есть слишком темный оттенок,;purpose_r
или же получить ярко-медный от хны без тех же манипуляций.;чтобы поиграть на них яркими цветами без осветления\обесцвечивания;joint_m
Такой метод,;Около трех лет я красилась хной и басмой раздельным способом.;elaboration_r
где ты сначала красишь волосы хной,;Такой метод,;elaboration_r
потом смываешь,;где ты сначала красишь волосы хной,;sequence_m
подсушиваешь;где ты сначала красишь волосы хной,;sequence_m
и красишь поверх этого басмой,;где ты сначала красишь волосы хной,;sequence_m
дает возможность со временем, а иногда и сразу получить красивый черный цвет волос.;Такой метод,;same-unit_m
Почему я пользовалась травяными красителями?;Мне нравился аромат хны;solutionhood_r
Мне нравился аромат хны;Около трех лет я красилась хной и басмой раздельным способом.;joint_m
и совершенно не нравился запах басмы,;Мне нравился аромат хны;contrast_m
но я обожаю черный цвет.;Мне нравился аромат хны;contrast_m
Черный цвет на века,;Мне нравился аромат хны;evaluation_r
который будет с тобой до конца твоих дней;Черный цвет на века,;elaboration_r
или пока ты не срежешь его));который будет с тобой до конца твоих дней;joint_m
точнее любила,;Хну люблю ,;elaboration_r
потому что сейчас я не на травяных красителях,;точнее любила,;cause_r
качественную, с мельчайшим помолом и интенсивным выделением пигмента.;Хну люблю ,;same-unit_m
Как правило, это либо хна для мехенди,;Хну люблю ,;elaboration_r
которая максимальна в вышеперечисленных свойствах,;Как правило, это либо хна для мехенди,;elaboration_r
либо хна,;Как правило, это либо хна для мехенди,;same-unit_m
которую можно найти в аюрведических салонах и таких же интернет-магазинах.;либо хна,;elaboration_r
Что до басмы, здесь те же критерии.;Хну люблю ,;comparison_m
На фото хна брендов: Lady Henna, INDI BIRD, Nupur, Aroma-Zone, Hathi, Prem Dulhan, Kokila, период использования 2017-2018 года, на данный момент у меня нет этих средств в обиходе. Басма брендов: Kajal, Khadi, INDI BIRD, период использования те же 2017-2018 года, сейчас не использую.;Хну люблю ,;elaboration_r
и превращают в веник.;Многие думают, что хна, басма и прочие травы сушат волосы;joint_m
С таким же успехом можно говорить о том, что обесцвечивание портит волосы;Многие думают, что хна, басма и прочие травы сушат волосы;comparison_m
и превращает в тот же веник, только другого цвета));С таким же успехом можно говорить о том, что обесцвечивание портит волосы;joint_m
Да, конечно, если вы не ухаживаете за волосами,;то даже натуральные волосы превратятся в невообразимое нечто,;condition_r
то даже натуральные волосы превратятся в невообразимое нечто,;Многие думают, что хна, басма и прочие травы сушат волосы;elaboration_r
которое можно только срезать;то даже натуральные волосы превратятся в невообразимое нечто,;elaboration_r
или закератинить,;которое можно только срезать;joint_m
а потом… тоже срезать.;которое можно только срезать;joint_m
За любыми волосами нужен уход.;Многие думают, что хна, басма и прочие травы сушат волосы;evaluation_r
Кому-то достаточно шампуня, кондиционера и одной несмывашки+масочка на длину 1 раз в неделю,;За любыми волосами нужен уход.;elaboration_r
а у кого-то шампунь+маска+кондей после маски+трехступенчатый несмываемый уход и обязательная укладка феном,;Кому-то достаточно шампуня, кондиционера и одной несмывашки+масочка на длину 1 раз в неделю,;comparison_m
иначе волосы будут выглядеть совсем не должным образом.;а у кого-то шампунь+маска+кондей после маски+трехступенчатый несмываемый уход и обязательная укладка феном,;cause_r
Я, если можно так выразиться, адепт профессионального ухода за волосами.;В период окрашивания травами у меня был облегченный, но увлажняющий уход.;preparation_r
Волосы натуральные,;В период окрашивания травами у меня был облегченный, но увлажняющий уход.;elaboration_r
сверху покрыты травяными пигментами,;Волосы натуральные,;joint_m
не нуждаются в таких компонентах, которые как воздух необходимы волосам, подверженным химическому окрашиванию.;Волосы натуральные,;joint_m
Костяк моего тогдашнего ухода: шампунь, маска, масляная несмывашка.;В период окрашивания травами у меня был облегченный, но увлажняющий уход.;elaboration_r
Сушка феном,;Костяк моего тогдашнего ухода: шампунь, маска, масляная несмывашка.;joint_m
поскольку я не любитель влажных от волос маек и тяжелых тюрбанов из мокрого полотенца.;Сушка феном,;cause_r
На фото средства времен лета 2018г: питательная маска с маслом монои Kaaral Maraes, увлажняющая маска с алоэ-вера Kaaral Hydra, еще одна маска с алоэ Ollin Full Forse, масло Kerastase Elixir Ultime для окрашенных волос, восстанавливающий шампунь Kaaral Purify Reale. Сейчас у меня осталась только маска Kaaral Maraes, это литр просто нескончаем.;В период окрашивания травами у меня был облегченный, но увлажняющий уход.;elaboration_r
