EDU_1;EDU_2;Relation
ФБ гудит.;Фонд Волонтеры в помощь детям-сиротам помогает семье с 2012 года;preparation_r
Подопечных фонда Волонтеры в помощь детям-сиротам лишили родительских прав на четверых детей;ФБ гудит.;cause_r
и даже сделал в 2013 ремонт в квартире.;Фонд Волонтеры в помощь детям-сиротам помогает семье с 2012 года;sequence_m
Поскольку мама и папа - выпускники детского дома,;и не приспособлены к жизни по причине, в которой не виноваты,;cause_r
и не приспособлены к жизни по причине, в которой не виноваты,;мы помогаем им наладить быт, в первую очередь, ради детей,;cause_r
мы помогаем им наладить быт, в первую очередь, ради детей,;Фонд Волонтеры в помощь детям-сиротам помогает семье с 2012 года;cause_r
чтобы они не оказались в интернате,;мы помогаем им наладить быт, в первую очередь, ради детей,;purpose_r
как это произошло с их родителями.;чтобы они не оказались в интернате,;comparison_m
Казалось бы, вот оно счастье.;мы помогаем им наладить быт, в первую очередь, ради детей,;evaluation_r
Быт семье наладили,;живи,;cause_r
живи,;Казалось бы, вот оно счастье.;elaboration_r
радуйся,;живи,;joint_m
расти детей.;живи,;joint_m
Прошло шесть лет.;На данный момент в ней живут, помимо людей, еще и около 50 животных: 20 собак, 24 кошки, многочисленные кролики и несчитанные полчища тараканов.;preparation_r
Квартира не просто вернулась в исходное состояние бомжатника,;Прошло шесть лет.;elaboration_r
но и обзавелась четвероногими обитателями.;Квартира не просто вернулась в исходное состояние бомжатника,;joint_m
Как это выглядит, можно посмотреть в передаче Мужское и женское;и порадоваться, что дерьмо с потолка капает не у вас, а у кого-то другого.;condition_r
и порадоваться, что дерьмо с потолка капает не у вас, а у кого-то другого.;На данный момент в ней живут, помимо людей, еще и около 50 животных: 20 собак, 24 кошки, многочисленные кролики и несчитанные полчища тараканов.;elaboration_r
Или в сюжете Вестей.;и порадоваться, что дерьмо с потолка капает не у вас, а у кого-то другого.;joint_m
Он короче,;Или в сюжете Вестей.;elaboration_r
но алкоголизм родителей,;Он короче,;contrast_m
упомянутый в репортаже,;но алкоголизм родителей,;elaboration_r
не подтверждают сотрудники и волонтеры фонда.;но алкоголизм родителей,;same-unit_m
Впрочем, сама Надя (мать семейства) сформулировала это в эфире Мужского и женского как ну он не каждый день пьет.;но алкоголизм родителей,;evaluation_r
Запахи через экран, на наше счастье, не передаются,;но алкоголизм родителей,;evaluation_r
да и хруст тараканов, падающих с потолка, тоже остался за кадром.;Запахи через экран, на наше счастье, не передаются,;joint_m
На фоне скандала с девочкой-маугли, найденной в Москве, соседям семьи удалось дожать органы,;и родителей прав лишили.;cause_r
и родителей прав лишили.;Старшая девочка сейчас учится на ветеринара,;preparation_r
18 ей исполнится в самом ближайшем будущем.;Старшая девочка сейчас учится на ветеринара,;elaboration_r
Лишение прав родителей дает  ей новые перспективы:;Старшая девочка сейчас учится на ветеринара,;elaboration_r
статус сироты предполагает хорошую социальную помощь;Лишение прав родителей дает  ей новые перспективы:;elaboration_r
и шанс претендовать на свое жилье,;статус сироты предполагает хорошую социальную помощь;same-unit_m
если признать совместное проживание с родителями невозможным;и шанс претендовать на свое жилье,;condition_r
из-за санитарного состояния квартиры.;если признать совместное проживание с родителями невозможным;cause_r
Правда, последнее поставит под вопрос возможность вернуть в дом младших братьев.;если признать совместное проживание с родителями невозможным;contrast_m
Но общественность требует,;Лишение прав родителей дает  ей новые перспективы:;contrast_m
негодует;Но общественность требует,;joint_m
и возмущается.;Но общественность требует,;joint_m
Ведь главное в жизни любовь,;Но общественность требует,;cause_r
а не какая-то там чистота.;Ведь главное в жизни любовь,;contrast_m
Этот случай ничем не отличался бы от десятков других таких же,;Что же осталось вне поля зрения общественности,;preparation_r
если бы не один аспект, о котором почему-то никто так и не заговорил,;Этот случай ничем не отличался бы от десятков других таких же,;condition_r
хотя он очевиден.;если бы не один аспект, о котором почему-то никто так и не заговорил,;concession_r
Что же осталось вне поля зрения общественности,;Что же, буду первой, кто заговорит.;solutionhood_r
хотя журналисты добросовестно это показали;Что же осталось вне поля зрения общественности,;concession_r
и описали?;хотя журналисты добросовестно это показали;joint_m
И именно об этом почему-то пока все молчат.;Что же осталось вне поля зрения общественности,;joint_m
Автор этого комментария дал мне его;Что же, буду первой, кто заговорит.;elaboration_r
на условиях анонимности,;Автор этого комментария дал мне его;condition_r
хотя живет за несколько сотен километров от Москвы.;Автор этого комментария дал мне его;concession_r
Но он все равно опасается как за свою безопасность, так и за жизнь своих животных.;Автор этого комментария дал мне его;contrast_m
(передержка - место, куда волонтеры-зоозащитники привозят подобранное ими животное,;****** - То, что я увидел на видео из данной квартиры, в среде зоозащитников называется черная передержка.;elaboration_r
если не могут взять его к себе,;(передержка - место, куда волонтеры-зоозащитники привозят подобранное ими животное,;condition_r
и где оно находится все то время,;(передержка - место, куда волонтеры-зоозащитники привозят подобранное ими животное,;joint_m
пока ему ищется постоянное место пребывания.;и где оно находится все то время,;condition_r
для содержания животного на передержке;пока ему ищется постоянное место пребывания.;purpose_r
обычно организуется сбор средств в социальных сетях.;(передержка - место, куда волонтеры-зоозащитники привозят подобранное ими животное,;elaboration_r
человек, дающий свои реквизиты;обычно организуется сбор средств в социальных сетях.;elaboration_r
для сбора;человек, дающий свои реквизиты;purpose_r
называется финансовый куратор,;человек, дающий свои реквизиты;same-unit_m
он может иметь до нескольких десятков животных на кураторстве.;человек, дающий свои реквизиты;elaboration_r
Отчеты... Ну, тут все как у людей.;человек, дающий свои реквизиты;joint_m
Либо они есть в полном объеме и с огромным уважением к тем, кто не прошел мимо,;Отчеты... Ну, тут все как у людей.;elaboration_r
либо дал денег;Либо они есть в полном объеме и с огромным уважением к тем, кто не прошел мимо,;joint_m
и давай, до свидания,;либо дал денег;contrast_m
подавись своими 500 рублями. - прим. мое);и давай, до свидания,;joint_m
Остается вопрос, почему сами зоозащитники, которые снабжали данную семью животными, закрывали глаза на то, что это ад для животных.;У собак и у кошек есть базовые потребности кроме еды.;preparation_r
Это любовь и внимание хозяев, личное пространство, потребность в физических и умственных нагрузках.;У собак и у кошек есть базовые потребности кроме еды.;elaboration_r
Всего этого животные были лишены в данной семье.;У собак и у кошек есть базовые потребности кроме еды.;elaboration_r
Соседи свидетельствуют, что глава семьи выгуливал двух собак (из 20 - прим. мое).;У собак и у кошек есть базовые потребности кроме еды.;evidence_r
Остальные отправлялись на самовыгул,;Соседи свидетельствуют, что глава семьи выгуливал двух собак (из 20 - прим. мое).;joint_m
но большинство в принципе не покидало стен этого собачьего ада.;Остальные отправлялись на самовыгул,;contrast_m
Так почему молчат зоозащитники, которые готовы сожрать живьем любого, кто по их мнению плохо обращается с животным?;У собак и у кошек есть базовые потребности кроме еды.;evaluation_r
Например, потерял в новогоднюю ночь;Так почему молчат зоозащитники, которые готовы сожрать живьем любого, кто по их мнению плохо обращается с животным?;evidence_r
или же предпочел гуманную эвтаназию возрастного пса с тяжелыми травмами вместо протезирования раздробленных лап.;Например, потерял в новогоднюю ночь;joint_m
— Мое мнение - данная передержка была очень дешевой, фактически за корм,;Волонтеры от зоозащиты;preparation_r
но деньги на эту передержку кураторы животных собирали по полной программе.;— Мое мнение - данная передержка была очень дешевой, фактически за корм,;joint_m
(далее я буду называть их только зоошиза;Волонтеры от зоозащиты;elaboration_r
— потому что только шиза могла отправлять животных на данную передержку);(далее я буду называть их только зоошиза;cause_r
пользовались психическими особенностями женщины.;Волонтеры от зоозащиты;same-unit_m
Эти психические особенности имеют название - хордерство. Собирательство животных.;Волонтеры от зоозащиты;elaboration_r
Кстати данный таракан в голове у хозяйки передержки подтверждают и волонтеры фонда Отказники, которые курировали семью.;Волонтеры от зоозащиты;elaboration_r
Правда в своих текстах в защиту семьи они представляют Надежду как сердобольную спасительницу.;Кстати данный таракан в голове у хозяйки передержки подтверждают и волонтеры фонда Отказники, которые курировали семью.;contrast_m
Но нет.;Правда в своих текстах в защиту семьи они представляют Надежду как сердобольную спасительницу.;contrast_m
Это не спасение и не помощь животным.;Но нет.;evidence_r
Это издевательство над ними, над их природой.;Это не спасение и не помощь животным.;contrast_m
Это психическое заболевание - брать в дом больше животных,;Это издевательство над ними, над их природой.;joint_m
чем ты можешь обеспечить не только едой, но и пространством, и вниманием.;Это психическое заболевание - брать в дом больше животных,;comparison_m
В США и Западной Европе собак бы просто изъяли у человека с полицией.;Волонтеры от зоозащиты;comparison_m
И после следили бы ,;В США и Западной Европе собак бы просто изъяли у человека с полицией.;sequence_m
чтобы данная семья никогда не завела бы ни одно животное.;И после следили бы ,;purpose_r
А собак попытались бы социализировать.;В США и Западной Европе собак бы просто изъяли у человека с полицией.;joint_m
А если социализация оказалась бы невозможной;— гуманно усыпили.;condition_r
— гуманно усыпили.;А собак попытались бы социализировать.;contrast_m
Потому что нельзя пристраивать животных, которые не выходили на улицу несколько лет подряд. Которые привыкли справлять нужду в квартире.;— гуманно усыпили.;cause_r
— Но мы живем в России.;Собаки при этом окусываются;cause_r
И у нас зоошиза вытаскивает этих собак с передержки;Собаки при этом окусываются;cause_r
и уже пристраивает.;И у нас зоошиза вытаскивает этих собак с передержки;joint_m
— они боятся людей,;Собаки при этом окусываются;cause_r
боятся улицы...;— они боятся людей,;joint_m
В общем ближайшие пару месяцев всем добрым людям, желающим помочь беспородным собакам я рекомендую избегать локации Балашиха на Авито.;Собаки при этом окусываются;evaluation_r
Более того, рекомендую не брать кота в мешке,;В общем ближайшие пару месяцев всем добрым людям, желающим помочь беспородным собакам я рекомендую избегать локации Балашиха на Авито.;joint_m
а ездить;Более того, рекомендую не брать кота в мешке,;contrast_m
и знакомиться с собакой.;а ездить;joint_m
Смотреть как гуляет на поводке,;а ездить;joint_m
напрашиваться в квартиру к пристраивающему;Смотреть как гуляет на поводке,;joint_m
и пить там чай не менее двух часов,;Смотреть как гуляет на поводке,;joint_m
пристально наблюдая за собакой.;и пить там чай не менее двух часов,;condition_r
И если за эти два часа собака сходит в туалет в квартире;— разворачиваться;condition_r
— разворачиваться;Более того, рекомендую не брать кота в мешке,;joint_m
и уходить;— разворачиваться;joint_m
(это актуально для щенков старше 8 мес;— после этого возраста собака в состоянии терпеть до улицы).;cause_r
— после этого возраста собака в состоянии терпеть до улицы).;— разворачиваться;evidence_r
Собаки из этого собачьего ада скорее всего никогда не научатся ходить в туалет на улице.;— разворачиваться;elaboration_r
У них годами закреплялось поведение, что туалет - это в квартире.;Собаки из этого собачьего ада скорее всего никогда не научатся ходить в туалет на улице.;cause_r
Либо им потребуется серьезная коррекция поведения с участием кинолога.;Собаки из этого собачьего ада скорее всего никогда не научатся ходить в туалет на улице.;joint_m
Фото сделано в 4 месяца,;Например вот щенок из этого скрина. Щенок из собачьего ада в Балашихе Голдик.;elaboration_r
новое фото возможности сделать нет, по словам куратора.;Фото сделано в 4 месяца,;joint_m
И я понимаю почему.;новое фото возможности сделать нет, по словам куратора.;cause_r
В квартире его фотографировать нельзя;— там филиал помойки.;cause_r
— там филиал помойки.;И я понимаю почему.;elaboration_r
А на улице эта собака будет ползать на брюхе от страха.;— там филиал помойки.;joint_m
Кобелю между прочим сейчас два года.;Например вот щенок из этого скрина. Щенок из собачьего ада в Балашихе Голдик.;elaboration_r
Это фактически приговор.;Кобелю между прочим сейчас два года.;evaluation_r
Он никогда не станет собакой-компаньоном.;Это фактически приговор.;elaboration_r
— Вот только зоошиза не расскажет потенциальным хозяевам, что у собачки проблемы,;поэтому лучше просто не брать беспородных собак из Балашихи ближайший год.;cause_r
поэтому лучше просто не брать беспородных собак из Балашихи ближайший год.;Кстати интересно, что в судьбе собак с этой передержки активное участие принимает Виктория Павленко,;preparation_r
которая широко известна тем, что украла лабрадора-поводыря.;Кстати интересно, что в судьбе собак с этой передержки активное участие принимает Виктория Павленко,;elaboration_r
В Балашихе тоже есть два лабрадора, которых отказались отдать породной команде помощи.;Так что всем заводчикам и владельцам лабрадоров рекомендую внимательно посмотреть видео;cause_r
Предполагаю, что эти лабрадоры были украдены.;В Балашихе тоже есть два лабрадора, которых отказались отдать породной команде помощи.;evaluation_r
Кражи породистых собак - это самый надежный бизнес зоошизы;— на породистых подают лучше.;cause_r
— на породистых подают лучше.;Предполагаю, что эти лабрадоры были украдены.;elaboration_r
Так что всем заводчикам и владельцам лабрадоров рекомендую внимательно посмотреть видео;— возможно у вас получится опознать знакомую собаку;cause_r
— возможно у вас получится опознать знакомую собаку;Кстати интересно, что в судьбе собак с этой передержки активное участие принимает Виктория Павленко,;elaboration_r
и спасти ее из этого ада.;— возможно у вас получится опознать знакомую собаку;joint_m
Сергей, заводчик КО, владелец питомника;Кстати интересно, что в судьбе собак с этой передержки активное участие принимает Виктория Павленко,;attribution_r
Вокруг закона Об ответственном обращении с животными кипит борьба между активистами кинологического движения и зоорадикалами.;***** Замечу, что у Сергея есть основания опасаться за свою безопасность.;elaboration_r
Последние недавно от слов перешли к делу;Вокруг закона Об ответственном обращении с животными кипит борьба между активистами кинологического движения и зоорадикалами.;elaboration_r
и прострелили лобовое стекло на машине одной из активисток.;Последние недавно от слов перешли к делу;joint_m
Сборы на животных это такой же криминальный бизнес, как и сборы на больных детей.;Вокруг закона Об ответственном обращении с животными кипит борьба между активистами кинологического движения и зоорадикалами.;elaboration_r
И главный его плюс для спасателей - полное отсутствие интереса у органов правопорядка к тому, что творится в этой сфере.;Сборы на животных это такой же криминальный бизнес, как и сборы на больных детей.;elaboration_r
За правами детей хоть и со скрипом, но следят врачи и органы опеки.;рано или поздно на пороге нарисуется чиновник;cause_r
Так что если только собирать деньги,;рано или поздно на пороге нарисуется чиновник;condition_r
но не лечить ребенка;Так что если только собирать деньги,;contrast_m
и не кормить его,;но не лечить ребенка;joint_m
рано или поздно на пороге нарисуется чиновник;Сборы на животных это такой же криминальный бизнес, как и сборы на больных детей.;evidence_r
и начнет задавать неприятные вопросы.;рано или поздно на пороге нарисуется чиновник;joint_m
Собаки и кошки никому не интересны,;рано или поздно на пороге нарисуется чиновник;contrast_m
пока их дерьмо не начнет протекать к соседям.;Собаки и кошки никому не интересны,;condition_r
И, в отличие от выгодной деточки выгодных собачек можно насобирать по обочинам в любой момент,;Собаки и кошки никому не интересны,;joint_m
если старые сдохнут.;И, в отличие от выгодной деточки выгодных собачек можно насобирать по обочинам в любой момент,;condition_r
это издевательство как над членами ее семьи и соседями, так и над друзьями нашими меньшими.;Именно зоошиза - зоорадикалы пользуются болезнью Надежды и ее неспособностью осознать, что пятьдесят животных в доме это не любовь,;joint_m
Ее дочь уже по уши в этом бизнесе и в сотрудничестве с этими людьми,;Именно зоошиза - зоорадикалы пользуются болезнью Надежды и ее неспособностью осознать, что пятьдесят животных в доме это не любовь,;background_r
а муж получил первую судимость за кражу четырех овчарок из питомника.;Ее дочь уже по уши в этом бизнесе и в сотрудничестве с этими людьми,;joint_m
Волонтеры пишут о последнем с умилением,;Именно зоошиза - зоорадикалы пользуются болезнью Надежды и ее неспособностью осознать, что пятьдесят животных в доме это не любовь,;elaboration_r
но работник питомника всегда может договориться на пет-щенка,;Волонтеры пишут о последнем с умилением,;contrast_m
и уж четырех собак;но работник питомника всегда может договориться на пет-щенка,;joint_m
для любви;красть точно не обязательно.;purpose_r
