EDU_1;EDU_2;Relation
€100 000 телеканалу «Дождь» от Евросоюза (расследование);В этом плане цель моих публикаций;preparation_r
Получать;В этом плане цель моих публикаций;solutionhood_r
или не получать финансовые средства от западных правительственных или околоправительственных структур;Получать;contrast_m
в условиях информационного давления на Россию;Получать;condition_r
– это выбор самого СМИ.;Получать;same-unit_m
В конце концов, оценка работы на машину антироссийской пропаганды лежит в плоскости не уголовного права, а таких категорий как нравственность, порядочность, патриотизм.;Получать;elaboration_r
не в том, чтобы закрыть СМИ;В этом плане цель моих публикаций;purpose_r
(хотя если законы нарушаются,;наказание должно быть неотвратимым),;condition_r
наказание должно быть неотвратимым),;не в том, чтобы закрыть СМИ;concession_r
а в том, чтобы все общество, аудитория того или иного издания обладала всей полнотой информации об источниках его доходов.;не в том, чтобы закрыть СМИ;contrast_m
И уж тем более подозрительно,;В этом плане цель моих публикаций;evaluation_r
когда средство массовой информации не просто получает деньги из-за рубежа,;И уж тем более подозрительно,;cause_r
но и делает все,;когда средство массовой информации не просто получает деньги из-за рубежа,;joint_m
чтобы об этом никто ни в коем случае не узнал.;но и делает все,;purpose_r
Собственно, мое последнее расследование было посвящено как раз таки истории с «Дождем».;И уж тем более подозрительно,;elaboration_r
Как вы помните, реакция представителей телеканала на опубликованное расследование была из разряда;Сегодня, я опубликую уникальные в своем роде доказательства о транзакциях телеканалу от государственной структуры Европейского союза.;preparation_r
«ничего не знаем,;Как вы помните, реакция представителей телеканала на опубликованное расследование была из разряда;elaboration_r
ничего не получаем».;«ничего не знаем,;joint_m
Подобные заявления звучали и в предыдущие года.;Как вы помните, реакция представителей телеканала на опубликованное расследование была из разряда;background_r
Причем в год воссоединения с Крымом и событий на Юго-Востоке Украины;Сегодня, я опубликую уникальные в своем роде доказательства о транзакциях телеканалу от государственной структуры Европейского союза.;elaboration_r
(полагаю, не нужно отдельно останавливаться на рассказе о тональности и подаче информационных материалов по этим темам на «Дожде»,;все всё прекрасно знают).;cause_r
все всё прекрасно знают).;Причем в год воссоединения с Крымом и событий на Юго-Востоке Украины;elaboration_r
Посмотрев внимательно в Интернете систему финансовой транспарентности Европейской комиссии (органа исполнительной власти ЕС);выяснилось, что в 2014 году телеканал «Дождь» получил 99 990 евро от Генерального директората по вопросам развития и сотрудничества ЕС.;condition_r
выяснилось, что в 2014 году телеканал «Дождь» получил 99 990 евро от Генерального директората по вопросам развития и сотрудничества ЕС.;Причем в год воссоединения с Крымом и событий на Юго-Востоке Украины;elaboration_r
здесь;выяснилось, что в 2014 году телеканал «Дождь» получил 99 990 евро от Генерального директората по вопросам развития и сотрудничества ЕС.;attribution_r
Ссылка не ведет к отчету напрямую,;здесь;elaboration_r
необходимо ввести RAIN TV CHANNEL в предложенном поисковике).;Ссылка не ведет к отчету напрямую,;elaboration_r
На какие же цели выделялись бюджетные средства Европейского Союза?;Привожу дословный перевод предмета контракта:;solutionhood_r
«Русскоязычному телеканалу/веб-сайту;Привожу дословный перевод предмета контракта:;elaboration_r
для освещения отношений между Россией и Евросоюзом;«Русскоязычному телеканалу/веб-сайту;purpose_r
с акцентом на финансируемых ЕС проектах, реализуемых в России».;«Русскоязычному телеканалу/веб-сайту;condition_r
Сумма к получению,;«Русскоязычному телеканалу/веб-сайту;elaboration_r
как уже указывалось выше,;Сумма к получению,;background_r
составляет 99 990 евро,;Сумма к получению,;same-unit_m
а год выделения указан 2014.;Сумма к получению,;elaboration_r
Однако, может речь идет о какой-то другой коммерческой организации с аналогичным названием?;Отнюдь – ИНН компании, указанный в документе на сайте Еврокомиссии совпадает с таковым у «Дождя» в выписке из реестра ЕГРЮЛ.;solutionhood_r
Отнюдь – ИНН компании, указанный в документе на сайте Еврокомиссии совпадает с таковым у «Дождя» в выписке из реестра ЕГРЮЛ.;Примечательная деталь –;preparation_r
