EDU_1;EDU_2;Relation
Постановка ноги во время пробежек;Сейчас затронем базовые и очень важные правила.;preparation_r
Очень важный элемент.;Постановка ноги во время пробежек;evaluation_r
Несоблюдение правил постановки стопы грозит получением травм, неэффективностью тренировки.;Очень важный элемент.;cause_r
Большая тема.;Постановка ноги во время пробежек;evaluation_r
Сейчас затронем базовые и очень важные правила.;необходимо учиться бегать с полной стопы.;preparation_r
Если Вы только начинаете,;необходимо учиться бегать с полной стопы.;condition_r
необходимо учиться бегать с полной стопы.;Первое, на что нужно обратить внимание - это положение центра тяжести относительно ступни.;preparation_r
Первое, на что нужно обратить внимание - это положение центра тяжести относительно ступни.;Постановка стопы,;preparation_r
во время приземления;должна находиться строго под центром тяжести.;condition_r
должна находиться строго под центром тяжести.;Постановка стопы,;same-unit_m
Это позволить вам сохранять максимальную амартизационную функцию как ступни, так и коленного сустава.;Постановка стопы,;purpose_r
Что будет происходить,;В этом случае, вы будете втыкаться в землю;solutionhood_r
если стопы;Что будет происходить,;condition_r
во время приземления;будет впереди центра тяжести?;condition_r
будет впереди центра тяжести?;если стопы;same-unit_m
и сила;В этом случае, вы будете втыкаться в землю;joint_m
противодействующая силе тяжести;и сила;elaboration_r
будет выталкивать вас обратно под этим же углом.;и сила;same-unit_m
Плюс к этому вы дополнительно нагружаете коленный сустав,;что со временем приведет к болезненности;cause_r
что со временем приведет к болезненности;В этом случае, вы будете втыкаться в землю;joint_m
во время пробежки.;что со временем приведет к болезненности;condition_r
Еще важный момент,;после отталкивания старайтесь максимально быстро подтягивать голень толчковой ноги к ягодице.;evaluation_r
Это позволит как можно меньше находиться на опоре,;что заставит увеличить вашу скорость.;cause_r
что заставит увеличить вашу скорость.;после отталкивания старайтесь максимально быстро подтягивать голень толчковой ноги к ягодице.;purpose_r
Помните правильная техника это залог здорового и экономично бега,;после отталкивания старайтесь максимально быстро подтягивать голень толчковой ноги к ягодице.;evaluation_r
при котором вы получаете удовольствие, а не изнурение.;Помните правильная техника это залог здорового и экономично бега,;condition_r
На что должно приходиться приземление;необходимо страраться бегать с полной стопы.;solutionhood_r
во время бега;На что должно приходиться приземление;condition_r
— на пятку или носок?;На что должно приходиться приземление;same-unit_m
Если Вы только начинаете,;необходимо страраться бегать с полной стопы.;condition_r
необходимо страраться бегать с полной стопы.;постановка стопы может быть с пятки.;preparation_r
Можно бежать и с пятки, и с передней части стопы.;необходимо страраться бегать с полной стопы.;contrast_m
Вопрос в подготовке опорно-двигательного аппарата.;Можно бежать и с пятки, и с передней части стопы.;condition_r
При темпе бега более 5 минут на км,;постановка стопы может быть с пятки.;condition_r
ПРИ ЭТОМ ПЯТКА НЕ ДОЛЖНА ВТЫКАТЬСЯ В ЗЕМЛЮ!;постановка стопы может быть с пятки.;elaboration_r
Легкий,;постановка стопы может быть с пятки.;elaboration_r
без лишних нагрузок,;Легкий,;condition_r
перекат стопы с пятки на переднюю часть ступни.;Легкий,;same-unit_m
Во время приземления,;стопа должна быть почти в ровном положении,;condition_r
стопа должна быть почти в ровном положении,;Легкий,;sequence_m
лишь слегка отклонившись на пятку.;стопа должна быть почти в ровном положении,;elaboration_r
Приземление должно быть мягким.;стопа должна быть почти в ровном положении,;elaboration_r
С пятки плавно переносим центр тяжести на носок;Легкий,;sequence_m
и делаем, не менее плавный, толчок.;Легкий,;sequence_m
При темпе бега менее 5 минут на км,;рекомендуется приземляться на полную стопу или на переднюю ее часть.;condition_r
рекомендуется приземляться на полную стопу или на переднюю ее часть.;постановка стопы может быть с пятки.;comparison_m
Но в таком случае, ступня должна быть подготовлена.;рекомендуется приземляться на полную стопу или на переднюю ее часть.;contrast_m
Это достигается укрепляющими упражнениями.;Но в таком случае, ступня должна быть подготовлена.;elaboration_r
Иначе будут перегружаться икроножная и камбаловидная мышцы.;рекомендуется приземляться на полную стопу или на переднюю ее часть.;contrast_m
Большинство подготовленных бегунов приземляются на внешнюю сторону передней части ступни в первый момент контакта с землей,;рекомендуется приземляться на полную стопу или на переднюю ее часть.;elaboration_r
далее происходит перекат на полную переднюю часть и сам толчок.;Большинство подготовленных бегунов приземляются на внешнюю сторону передней части ступни в первый момент контакта с землей,;sequence_m
