EDU_1;EDU_2;Relation
Например в спорт, или еще во что-то, где можно либо заниматься как хобби,;Некоторые дети в очень раннем возрасте впрягаются во что-то очень так по-серьезному.;elaboration_r
либо впрягаешься сразу как профессионал, и там и расходы, и вложения, и амбиции.;Например в спорт, или еще во что-то, где можно либо заниматься как хобби,;contrast_m
И сразу целятся в какую-то высшую лигу.;либо впрягаешься сразу как профессионал, и там и расходы, и вложения, и амбиции.;elaboration_r
Это мо жет быть и приготовление еды, балет или какая-то наука, много чего.;И сразу целятся в какую-то высшую лигу.;elaboration_r
Кстати, часто говорят, что на это родители детей толкают.;Мол, сначала какой-то тренер заметил, что у ребенка потенциал.;preparation_r
Потом донес эту мысль до родителей.;Мол, сначала какой-то тренер заметил, что у ребенка потенциал.;sequence_m
Потом они все вместе начали ребенка толкать,;Мол, сначала какой-то тренер заметил, что у ребенка потенциал.;sequence_m
хвалить,;Потом они все вместе начали ребенка толкать,;joint_m
водить.;Потом они все вместе начали ребенка толкать,;joint_m
И вот он уже шесть раз в неделю бегает,;Мол, сначала какой-то тренер заметил, что у ребенка потенциал.;sequence_m
катается,;И вот он уже шесть раз в неделю бегает,;joint_m
танцует,;И вот он уже шесть раз в неделю бегает,;joint_m
вот уже выступает за местную сборную на региональном конкурсе.;Мол, сначала какой-то тренер заметил, что у ребенка потенциал.;sequence_m
Вот он уже целится в спецшколу,;Мол, сначала какой-то тренер заметил, что у ребенка потенциал.;sequence_m
где учебы по другим предметам будет самый минимум,;Вот он уже целится в спецшколу,;elaboration_r
зато 4 часа тренировок в день (или репетиций, или специальных занятий).;где учебы по другим предметам будет самый минимум,;contrast_m
Но бывает и так, что ребенок сам!;Никто его не заставлял,;preparation_r
Никто его не заставлял,;И вот представьте себе такую ситуацию, что он уже начал участвовать в каких-то соревнованиях местного масштаба.;background_r
не тянул,;Никто его не заставлял,;joint_m
не подгонял.;Никто его не заставлял,;joint_m
Сам где-то попробовал,;Никто его не заставлял,;contrast_m
начало хорошо получаться, лучше других.;Сам где-то попробовал,;sequence_m
Получил похвалу от тренера.;Сам где-то попробовал,;sequence_m
начал еще больше и дальше, и.т.д.;Сам где-то попробовал,;sequence_m
Вот уже все хобби побросал ради этого.;И вот представьте себе такую ситуацию, что он уже начал участвовать в каких-то соревнованиях местного масштаба.;elaboration_r
Вот уже и школа начала прихрамывать.;Вот уже все хобби побросал ради этого.;joint_m
Но в этом деле зато - расцвет.;Вот уже все хобби побросал ради этого.;contrast_m
И тут вам становится отчетливо ясно, что чемпионоим он не будет.;И вот представьте себе такую ситуацию, что он уже начал участвовать в каких-то соревнованиях местного масштаба.;contrast_m
Наверное даже профессионалом не будет.;И тут вам становится отчетливо ясно, что чемпионоим он не будет.;elaboration_r
Или будет;Наверное даже профессионалом не будет.;joint_m
— но всегда в лиге самых слабых.;Или будет;contrast_m
Т.е. он заметно сильнее всех других детей.;И не надо ему в спецшколу!;cause_r
Но заметно слабее всех, с кем бьется в своих профессиональных кругах.;Т.е. он заметно сильнее всех других детей.;contrast_m
И тем более в спецвуз!;И не надо ему в спецшколу!;joint_m
И не надо ему надеяться на олимпиаду;— не попадет он туда;cause_r
— не попадет он туда;И не надо ему в спецшколу!;joint_m
(и тренеры это тоже видят;— не попадет он туда;evaluation_r
и знают).;(и тренеры это тоже видят;joint_m
Надо бы, чтобы он это делал, как хобби, и не более.;И не надо ему в спецшколу!;contrast_m
Но ведь не остановишь?!;Надо бы, чтобы он это делал, как хобби, и не более.;contrast_m
А что делать?;А вы не верите,;solutionhood_r
Верить в своего ребенка?;А что делать?;joint_m
вы реалист;А вы не верите,;cause_r
и начали видеть очевидные факты;вы реалист;joint_m
— не тянет;и начали видеть очевидные факты;elaboration_r
и не вытянет.;— не тянет;joint_m
Данных каких-то не хватает.;— не тянет;cause_r
Причем настолько,;что энтузиазмом не компенсируются.;condition_r
что энтузиазмом не компенсируются.;Данных каких-то не хватает.;elaboration_r
Можно бы подумать об альтернативной карьере.;А вы не верите,;comparison_m
Ну скажем - если кому-то нет дороги станцевать соло на сцене Большого Театра;— можно еще где-то танцевать,;condition_r
— можно еще где-то танцевать,;Можно бы подумать об альтернативной карьере.;elaboration_r
где умение требуется, и немало - всякие там шоу и.т.д.;— можно еще где-то танцевать,;elaboration_r
Но ребенок ваш заражен снобизмом коллег,;и считает всякие шоу - низшим развлечением для тех, кто на лучшее не способен,;cause_r
и считает всякие шоу - низшим развлечением для тех, кто на лучшее не способен,;— можно еще где-то танцевать,;contrast_m
а сам себя таки видит на той самойсуене.;и считает всякие шоу - низшим развлечением для тех, кто на лучшее не способен,;contrast_m
И вот что?;Говорить ему: ОК, ты все сможешь,;preparation_r
Говорить ему: ОК, ты все сможешь,;Жизнь сама покажет,;solutionhood_r
ты справишься?;Говорить ему: ОК, ты все сможешь,;joint_m
Или, пока маленький, просто сделать одолжение;Так ведь можно сильно испортить отношения.;solutionhood_r
и забрать из секции,;Или, пока маленький, просто сделать одолжение;joint_m
не разрешать больше столько заниматься.;Или, пока маленький, просто сделать одолжение;joint_m
Заставить учиться в школе,;Или, пока маленький, просто сделать одолжение;contrast_m
урезать тренировки;Заставить учиться в школе,;joint_m
и на всем этом поставить точку?;Заставить учиться в школе,;joint_m
Так ведь можно сильно испортить отношения.;Говорить ему: ОК, ты все сможешь,;comparison_m
И надо же как-то поддерживать ребенка своего.;Так ведь можно сильно испортить отношения.;joint_m
Пытаться перенаправить внимание?;Говорить ему: ОК, ты все сможешь,;comparison_m
А как ты его перенаправишь,;Пытаться перенаправить внимание?;contrast_m
когда человек так увлечен каким-то делом?;А как ты его перенаправишь,;condition_r
Дать ребенку сделать свои ошибки самостоятельно.;Жизнь сама покажет,;condition_r
В том смысле, что пусть бьется,;Дать ребенку сделать свои ошибки самостоятельно.;restatement_m
сколько сможет.;В том смысле, что пусть бьется,;condition_r
что он может;Жизнь сама покажет,;elaboration_r
или не может.;что он может;joint_m
А вдруг потом будут рыдания на тему;Жизнь сама покажет,;contrast_m
Ой, я 18 лет потратил только на это,;я ничего другого не умею,;cause_r
я ничего другого не умею,;А вдруг потом будут рыдания на тему;elaboration_r
теперь у меня даже нормального школьного образования нету;я ничего другого не умею,;elaboration_r
ну и плюс вообще трагедия;А вдруг потом будут рыдания на тему;joint_m
из-за неудачи?;ну и плюс вообще трагедия;cause_r
А может быть вообще все будет иначе,;Жизнь сама покажет,;comparison_m
и он сам потом как-то решит сменить направление.;А может быть вообще все будет иначе,;joint_m
И никаких трагедий не будет?;А может быть вообще все будет иначе,;evaluation_r
И вы будете радоваться,;А может быть вообще все будет иначе,;evaluation_r
что не слезли;И вы будете радоваться,;cause_r
и не вмешались?;что не слезли;joint_m
Или, пока ребенок делает, то что делает,;просто пытаться фоном продвигать идею, что варианты бывают разные,;condition_r
просто пытаться фоном продвигать идею, что варианты бывают разные,;можно на любом этапе передумать,;cause_r
на одном свет клином не сошелся,;просто пытаться фоном продвигать идею, что варианты бывают разные,;joint_m
можно на любом этапе передумать,;Жизнь сама покажет,;comparison_m
начать другое.;можно на любом этапе передумать,;joint_m
ничего страшного и.т.д.? :-);можно на любом этапе передумать,;evaluation_r
