EDU_1;EDU_2;Relation
Есть такая штука под названием Highway revolt. Дорожная революция.;Такое бывало много где;preparation_r
Это когда в развитых странах общества доходили до того, что они не готовы больше терпеть строительства адских огромных монстроидальных магистралей через города и жилые районы;и начинали протестовать.;cause_r
и начинали протестовать.;Есть такая штука под названием Highway revolt. Дорожная революция.;elaboration_r
и заканчивалось прекращением подобного строительства и часто демонтажом уже построенных шоссе.;Такое бывало много где;joint_m
Это всё происходит по двум причинам.;Такое бывало много где;cause_r
Во-первых, невозможно устроить комфортную городскую среду, когда у тебя под окном десятиполосное шоссе.;Это всё происходит по двум причинам.;elaboration_r
Так жить нельзя.;Во-первых, невозможно устроить комфортную городскую среду, когда у тебя под окном десятиполосное шоссе.;evaluation_r
Во-вторых,;Во-первых, невозможно устроить комфортную городскую среду, когда у тебя под окном десятиполосное шоссе.;joint_m
в 1962 году экономистом в США открыто,;и теперь общеизвестно,;background_r
и теперь общеизвестно,;к увеличению количества пробок.;attribution_r
что строительство широких дорог, особенно бессветофорных и ведущих в центр (но и других тоже), приводит;к увеличению количества пробок.;cause_r
к увеличению количества пробок.;Во-вторых,;same-unit_m
Тогда это, кстати, назвали «фундаментальным законом дорожных пробок». В 1962 году!;Во-вторых,;elaboration_r
Это контринтуитивно,;Во-вторых,;elaboration_r
но это так.;Это контринтуитивно,;contrast_m
Больше дорог;— больше пробок.;cause_r
— больше пробок.;Это контринтуитивно,;evidence_r
Шире дороги в центр;— больше пробок в центре (и везде).;cause_r
— больше пробок в центре (и везде).;— больше пробок.;joint_m
В разные годы разные страны приходили к этому выводу,;Учитывая два обстоятельства выше, понятно, что строить монстроидальные шоссе не нужно.;contrast_m
и всегда сначала было общество, которое начинало протестовать,;В разные годы разные страны приходили к этому выводу,;sequence_m
и потом уже шли правительства.;В разные годы разные страны приходили к этому выводу,;sequence_m
Правительствам с этим трудно, даже адекватным.;и потом уже шли правительства.;evaluation_r
Потому что строительные и автомобильные лобби сильны,;Правительствам с этим трудно, даже адекватным.;cause_r
и заблуждения,;Потому что строительные и автомобильные лобби сильны,;joint_m
что если построить ещё дорог,;то всё поедет,;condition_r
то всё поедет,;и заблуждения,;elaboration_r
сильны.;и заблуждения,;same-unit_m
Эти настроения поменять сложно.;Правительствам с этим трудно, даже адекватным.;evaluation_r
Но надо пробовать;и мы объявляем начало дорожной революции в России.;cause_r
и мы объявляем начало дорожной революции в России.;Эти настроения поменять сложно.;contrast_m
Хватит адских магистралей — всё.;и мы объявляем начало дорожной революции в России.;evaluation_r
Время их демонтировать.;Хватит адских магистралей — всё.;elaboration_r
Я долго думал, как стартовать эту повестку;и вот пришёл хороший момент — выборы в Мосгордуму.;solutionhood_r
и вот пришёл хороший момент — выборы в Мосгордуму.;Возьмём;preparation_r
Мы возьмём самый адский, самый пострадавший от строительства монстроидальных шоссе округ Москвы, округ №8,;Возьмём;solutionhood_r
где находятся районы Сокол, Войковский, Коптево и Аэропорт.;Мы возьмём самый адский, самый пострадавший от строительства монстроидальных шоссе округ Москвы, округ №8,;elaboration_r
и проведём там полноценную Горпроектовскую кампанию,;Возьмём;joint_m
которая вся будет основываться на требовании демонтажа бессмысленных и вредных магистралей, которые там понастроили — большой Ленинградки и Северо-Западной хорды.;и проведём там полноценную Горпроектовскую кампанию,;elaboration_r
Ситуация там просто катастрофическая.;которая вся будет основываться на требовании демонтажа бессмысленных и вредных магистралей, которые там понастроили — большой Ленинградки и Северо-Западной хорды.;evaluation_r
Посмотрите на это:;Ситуация там просто катастрофическая.;evidence_r
Что это, блин, такое?;Это всё срочно надо демонтировать.;solutionhood_r
Кому пришло в голову накрутить такое в жилом районе?;Что это, блин, такое?;joint_m
Там всю жизнь был бульвар, трамвай, светофорные переходы.;Кому пришло в голову накрутить такое в жилом районе?;elaboration_r
А это что такое?;Что это, блин, такое?;joint_m
И главное зачем?;Что это, блин, такое?;joint_m
Чтобы оно всё приехало в центр,;а мы там потом поднимали цену платной парковки до 800 рублей,;purpose_r
а мы там потом поднимали цену платной парковки до 800 рублей,;Что это, блин, такое?;joint_m
чтобы оно туда не ехало?;а мы там потом поднимали цену платной парковки до 800 рублей,;purpose_r
Смотрите какой адище.;Это всё срочно надо демонтировать.;evidence_r
Как тут вообще можно жить?;Смотрите какой адище.;evaluation_r
Это город для людей называется?;18-полосная магистраль и ещё 3 ряда паркингов!;solutionhood_r
Вы с ума сошли!;18-полосная магистраль и ещё 3 ряда паркингов!;evaluation_r
Что это вообще такое?;Немедленно всё закопать;solutionhood_r
Безумие.;Немедленно всё закопать;cause_r
Немедленно всё закопать;18-полосная магистраль и ещё 3 ряда паркингов!;elaboration_r
необходимо, оставить 3 полосы в каждую сторону,;Немедленно всё закопать;joint_m
трамвай посередине вернуть;Немедленно всё закопать;joint_m
и сделать там бульварчик.;Немедленно всё закопать;joint_m
Как вообще можно тут жить?;Немедленно всё закопать;evaluation_r
Ленинградка была такой.;18-полосная магистраль и ещё 3 ряда паркингов!;evaluation_r
Прогресс пошёл назад в Москве,;мы устроили какой-то ад вместо города;cause_r
мы устроили какой-то ад вместо города;Ленинградка была такой.;contrast_m
