EDU_1;EDU_2;Relation
Что происходит с контактом,;Это и есть состояние ответственности за себя.;solutionhood_r
если вы признаете себя собой,;Что происходит с контактом,;condition_r
свои проявления естественными,;если вы признаете себя собой,;joint_m
не испытывая за них стыда и вины?;Что происходит с контактом,;condition_r
Вы не тратите время на то,;Это и есть состояние ответственности за себя.;elaboration_r
чтобы помучить себя тем, что вы плохая или плохой.;Вы не тратите время на то,;purpose_r
Вы сразу ищете взаимосвязи:;Вы не тратите время на то,;contrast_m
так, я сейчас расстроилась,;Вы сразу ищете взаимосвязи:;elaboration_r
прогневалась,;так, я сейчас расстроилась,;joint_m
захотела обесценить,;так, я сейчас расстроилась,;joint_m
нуждалась в похвале имярек;так, я сейчас расстроилась,;joint_m
– почему?;Вы сразу ищете взаимосвязи:;same-unit_m
Что происходило со мной в контакте?;Вы сразу ищете взаимосвязи:;elaboration_r
Почему сложился именно такой контакт?;То есть,;preparation_r
принимая себя собой, и свои проявления следствием ваших внутренних процессов и следствием того, что произошло в контакте,;вы чувствуете себя нормальным, порядочным, живым, несовершенным, ценным несмотря ни на что,;condition_r
вы чувствуете себя нормальным, порядочным, живым, несовершенным, ценным несмотря ни на что,;То есть,;sequence_m
даже если вы совершили оплошность в контакте, человеком.;То есть,;condition_r
В таком состоянии вы можете прояснять,;То есть,;elaboration_r
слушать,;В таком состоянии вы можете прояснять,;joint_m
слышать,;В таком состоянии вы можете прояснять,;joint_m
искать решение,;В таком состоянии вы можете прояснять,;joint_m
потому что вы не тратите время на то,;В таком состоянии вы можете прояснять,;cause_r
чтобы справиться с виной, ужасом, стыдом и так далее.;потому что вы не тратите время на то,;purpose_r
Вы способны нести ответственность за себя и за то, что вы вносите в контакт.;В таком состоянии вы можете прояснять,;elaboration_r
Если вы признаете свои процессы естественными,;вам намного легче принимать процессы близкого вам человека.;condition_r
и вкладываетесь, скорее, в то, чтобы найти причину,;Если вы признаете свои процессы естественными,;joint_m
а не в то, чтобы себя закопать,;и вкладываетесь, скорее, в то, чтобы найти причину,;contrast_m
Особенно если этот человек – ваш ребенок.;вам намного легче принимать процессы близкого вам человека.;elaboration_r
Чуть сложнее обстоит дело с равными, с партнерами, еще сложнее – с родителями, и с теми, на кого вы проецируете своих родителей и проецируете свои детские нужды.;вам намного легче принимать процессы близкого вам человека.;comparison_m
Но даже с этими людьми,;Чуть сложнее обстоит дело с равными, с партнерами, еще сложнее – с родителями, и с теми, на кого вы проецируете своих родителей и проецируете свои детские нужды.;contrast_m
после недолгого внутреннего процесса отделения,;вы можете принимать их инаковость;cause_r
вы можете принимать их инаковость;Но даже с этими людьми,;same-unit_m
и размышлять, как с этими особенностями и инаковостью обойтись.;Но даже с этими людьми,;joint_m
…Со всеми моими детьми,;«Мама, прости, что задаю тебе уточняющие вопросы.;preparation_r
которые уже достигли такого возраста, когда они могут и способны ощущать и принимать отдельность,;…Со всеми моими детьми,;background_r
мы много и часто говорим об отличиях.;…Со всеми моими детьми,;same-unit_m
