EDU_1;EDU_2;Relation
Отвержение кажется;то отвержение со стороны мамы это катастрофа.;preparation_r
(или даже является);Отвержение кажется;evaluation_r
непереносимым тогда,;Отвержение кажется;same-unit_m
когда произошло слияние.;Отвержение кажется;cause_r
Если вы - младенец,;то отвержение со стороны мамы это катастрофа.;condition_r
У младенца еще нет никаких ресурсов,;то отвержение со стороны мамы это катастрофа.;evidence_r
чтобы выжить одному.;У младенца еще нет никаких ресурсов,;purpose_r
Его единственный шанс - это привязанность к нему мамы.;У младенца еще нет никаких ресурсов,;elaboration_r
Залог выживания - сохранение этого мы,;Его единственный шанс - это привязанность к нему мамы.;elaboration_r
и в нём нет отдельных меня и мамы,;Залог выживания - сохранение этого мы,;contrast_m
у которой есть жизнь, никак не связанная с моей;и в нём нет отдельных меня и мамы,;elaboration_r
(ведь осознание того, что у мамы есть другая жизнь и люди, к которым она тоже может быть привязана,;порождает тревогу.;cause_r
порождает тревогу.;у которой есть жизнь, никак не связанная с моей;evidence_r
Мама может думать больше о них, чем обо мне.;порождает тревогу.;joint_m
Она может меня бросить и оставить).;порождает тревогу.;joint_m
Мы - единый организм.;Залог выживания - сохранение этого мы,;elaboration_r
В нем хорошо, тихо, спокойно.;Мы - единый организм.;elaboration_r
Энергии не очень много,;В нем хорошо, тихо, спокойно.;elaboration_r
но зачем она,;Энергии не очень много,;contrast_m
когда так тепло и сытно...;но зачем она,;condition_r
Свернутся калачиком,;Энергии не очень много,;elaboration_r
прижаться к мягкому и теплому телу,;Свернутся калачиком,;joint_m
слышать биение сердца матери,;Свернутся калачиком,;joint_m
ощущать молоко в желудке и на губах...;Свернутся калачиком,;joint_m
Я - это ты,;В нем хорошо, тихо, спокойно.;joint_m
и ты - это я.;Я - это ты,;joint_m
Нет больше ничего.;Я - это ты,;contrast_m
Мы можем телесно вырасти,;И этот младенец может вцепиться в того, кто по какой-то причине напоминает человека, способного избавить от тревоги брошенности.;cause_r
но какая-то часть нашей души (по разным причинам) может остаться младенческой, отчаянно ищущей восстановления мы.;Мы можем телесно вырасти,;contrast_m
Того, кто полностью, целиком будет удовлетворять все наши потребности в тепле, любви, нежности.;И этот младенец может вцепиться в того, кто по какой-то причине напоминает человека, способного избавить от тревоги брошенности.;joint_m
И еще - всегда будет рядом...;И этот младенец может вцепиться в того, кто по какой-то причине напоминает человека, способного избавить от тревоги брошенности.;joint_m
Я боюсь быть отвергнутым значит;И этот младенец может вцепиться в того, кто по какой-то причине напоминает человека, способного избавить от тревоги брошенности.;elaboration_r
я не научился еще жить автономно.;Я боюсь быть отвергнутым значит;restatement_m
Я по-прежнему ищу того или ту, кто вернет мне то блаженное и полубессознательное состояние любви и постоянного присутствия рядом.;Я боюсь быть отвергнутым значит;elaboration_r
Родители могут вцепиться в своих детей,;Таким человеком может быть кто угодно.;evidence_r
требуя от них всепоглощающей любви и отречения от своей жизни.;Родители могут вцепиться в своих детей,;cause_r
Любой парень или девушка, появившиеся у выросших детей - смертельная угроза.;Родители могут вцепиться в своих детей,;joint_m
Ревнивые супруги в этом мало чем отличаются от таких родителей.;Родители могут вцепиться в своих детей,;comparison_m
Ты, и только ты единственный/единственная, кто может дать мне всё, что мне нужно - это общее ощущение людей, стремящихся к психологическому слиянию с теми, кто, как кажется, может заменить утраченную связь с тем, кто всегда рядом и удовлетворяет все желания.;Таким человеком может быть кто угодно.;elaboration_r
Да, в обмен на эту связь и ощущение безопасности теряешь свободу;Ты, и только ты единственный/единственная, кто может дать мне всё, что мне нужно - это общее ощущение людей, стремящихся к психологическому слиянию с теми, кто, как кажется, может заменить утраченную связь с тем, кто всегда рядом и удовлетворяет все желания.;evaluation_r
