EDU_1;EDU_2;Relation
Букинг позволяет написать отзыв об отеле;Это должно уберечь;cause_r
только после подтвержденного проживания в нем.;Букинг позволяет написать отзыв об отеле;condition_r
и уберегает от сверхположительных нахваливаний владельцев и поливания грязью конкурентов.;Это должно уберечь;joint_m
Но, как выяснилось, купить можно всё, в том числе и эти отзывы.;Это должно уберечь;contrast_m
Жилье в Лиссабоне мы выбирали в диапазоне до 55 евро/ночь для 2х человек,;Поэтому когда я на Букинге увидел Гестхауз практически на Маркиз Помбал с балконом, кухонным уголком и своими удобствами, чуть дороже 40 евро при невозвратной брони –;cause_r
сперва смотрели отдельные квартиры на Эйрбнб.;Жилье в Лиссабоне мы выбирали в диапазоне до 55 евро/ночь для 2х человек,;sequence_m
Но в центре были только варианты со входом с улицы, на первом или полуподвальном этаже, или совсем грустные по обстановке.;Жилье в Лиссабоне мы выбирали в диапазоне до 55 евро/ночь для 2х человек,;contrast_m
Поэтому когда я на Букинге увидел Гестхауз практически на Маркиз Помбал с балконом, кухонным уголком и своими удобствами, чуть дороже 40 евро при невозвратной брони –;выбор был сделан в его пользу.;cause_r
Тем более, что у нас был удачный опыт бронирования таких квартир в Варшаве (отдельная квартира в хостеле) и в Люблине (просто отдельная квартира в доме).;выбор был сделан в его пользу.;evidence_r
Что-то похожее мы рассматривали и в Берлине,;Тем более, что у нас был удачный опыт бронирования таких квартир в Варшаве (отдельная квартира в хостеле) и в Люблине (просто отдельная квартира в доме).;evidence_r
но потом нашли квартиру.;Что-то похожее мы рассматривали и в Берлине,;sequence_m
В общем, ничего не предвещало неожиданности.;выбор был сделан в его пользу.;evaluation_r
с сотрудниками была нормальная переписка по техническим вопросам:;За первую ночь (из восьми) деньги были сняты на следующий день после бронирования,;joint_m
первая карта не прошла,;с сотрудниками была нормальная переписка по техническим вопросам:;evidence_r
мы уточняли, как нас встретят;первая карта не прошла,;joint_m
и как найти отель.;мы уточняли, как нас встретят;joint_m
С нас сразу сняли деньги за оставшиеся ночи,;В отель мы добрались около полуночи.;sequence_m
а потом показали номер.;С нас сразу сняли деньги за оставшиеся ночи,;sequence_m
В нем из обещанного был только балкон…;а потом показали номер.;elaboration_r
Удобства общие,;В нем из обещанного был только балкон…;joint_m
кухня одна на всех.;Удобства общие,;joint_m
Скорей всего, мы не первые,;В отель мы добрались около полуночи.;evaluation_r
кто офигевал от увиденного,;Скорей всего, мы не первые,;elaboration_r
т.к. на ресепшне была распечатка страницы букинга с подчёркнутыми общими удобствами.;Скорей всего, мы не первые,;cause_r
На утро я поговорил с владельцем,;и поэтому я на них рассчитываю.;background_r
который экспрессивно объяснил, что рядом Риц, Шератон и прочие отели с удобствами в номере и ценой от 100 евро,;На утро я поговорил с владельцем,;elaboration_r
и это Лиссабон,;который экспрессивно объяснил, что рядом Риц, Шератон и прочие отели с удобствами в номере и ценой от 100 евро,;joint_m
в котором не бывает цен по 40 евро за номер с удобствами в номере в таком месте,;и это Лиссабон,;elaboration_r
и это должно было быть понятно;в котором не бывает цен по 40 евро за номер с удобствами в номере в таком месте,;joint_m
при бронировании.;и это должно было быть понятно;condition_r
Я объяснял, что на Букинге написано наличие кухни и туалета в описании номера,;и поэтому я на них рассчитываю.;cause_r
Владелец сказал, что у него вообще нет номеров с удобствами,;и поэтому я на них рассчитываю.;contrast_m
т.е. переселить нас даже за доплату некуда.;Владелец сказал, что у него вообще нет номеров с удобствами,;restatement_m
Ему;Владелец сказал, что у него вообще нет номеров с удобствами,;elaboration_r
во время нашего разговора;дозвониться до букинга не удалось.;condition_r
дозвониться до букинга не удалось.;Ему;same-unit_m
и начал смотреть варианты Эйрбнб,;По итогам я написал жалобу в букинг;joint_m
которых было очень мало.;и начал смотреть варианты Эйрбнб,;evaluation_r
В середине дня я дозвонился до букинга;По итогам я написал жалобу в букинг;sequence_m
и объяснил ситуацию,;В середине дня я дозвонился до букинга;sequence_m
на что мне ответили, что свяжутся с отелем;В середине дня я дозвонился до букинга;sequence_m
и предложат решение.;на что мне ответили, что свяжутся с отелем;joint_m
После первого шока мы посмотрели на отель –;По итогам я написал жалобу в букинг;sequence_m
он был не просто чистый,;После первого шока мы посмотрели на отель –;elaboration_r
а можно сказать вылизанный.;он был не просто чистый,;elaboration_r
На кухне все было чисто,;После первого шока мы посмотрели на отель –;evidence_r
было много утвари,;На кухне все было чисто,;joint_m
можно было готовить,;На кухне все было чисто,;joint_m
как мы и планировали.;можно было готовить,;elaboration_r
Вечером мне перезвонил Букинг;мы решили принять предложение.;solutionhood_r
и сказал, что они не могут ничего компенсировать через владельца,;Вечером мне перезвонил Букинг;joint_m
т.к. в описании номера присутствуют общие удобства.;Вечером мне перезвонил Букинг;cause_r
А потом сам хозяин предложил мне скидку от себя лично;Вечером мне перезвонил Букинг;sequence_m
с условием, что я напишу хороший отзыв про отель.;А потом сам хозяин предложил мне скидку от себя лично;condition_r
