EDU_1;EDU_2;Relation
Триалетский хребет, его северный склон, уникальное место.;В Дзамском ущелье,;preparation_r
Чуть ли не каждая река, несущая свои воды с вершин Триалети в Куру, обзавелась своим монастырём, зачастую и не одним.;Триалетский хребет, его северный склон, уникальное место.;elaboration_r
называемом порой краем монастырей,;В Дзамском ущелье,;elaboration_r
притаился комплекс Кинцвиси, в ущелье реки Тана - всем известный Атенский сион,;В Дзамском ущелье,;same-unit_m
к Тедзамскому относятся храм в Эртацминда и Рконский монастырь,;притаился комплекс Кинцвиси, в ущелье реки Тана - всем известный Атенский сион,;joint_m
и, наконец, в Кавтурском ущелье расположен Кватахеви - обитель, впечатлившая меня, возможно, сильнее всех остальных мест, затерянных в многочисленных закоулках хребта.;притаился комплекс Кинцвиси, в ущелье реки Тана - всем известный Атенский сион,;joint_m
Грузия, Кавчурское ущелье, Магаалант Эклесия;В Дзамском ущелье,;elaboration_r
тянущейся вдоль Куры;Поездка началась с Армазской дороги (Гори-Кавтисхеви-Мцхета),;elaboration_r
и дублирующей автобан.;тянущейся вдоль Куры;joint_m
Дорога в хорошем состоянии,;Поездка началась с Армазской дороги (Гори-Кавтисхеви-Мцхета),;elaboration_r
её вполне можно рассматривать как альтернативу основной трассе,;Дорога в хорошем состоянии,;evaluation_r
если захочется разнообразия.;её вполне можно рассматривать как альтернативу основной трассе,;condition_r
Только смотреть на ней особо нечего,;Дорога в хорошем состоянии,;contrast_m
за исключением, пожалуй, находящегося немного в стороне Метехского храма.;Только смотреть на ней особо нечего,;concession_r
Остальные достопримечательности требуют углубления и съезда в сторону;Дорога в хорошем состоянии,;elaboration_r
или имеют второстепенное значение.;Остальные достопримечательности требуют углубления и съезда в сторону;joint_m
Проехав село Кавтисхеви,;сворачиваем с основной дороги;condition_r
сворачиваем с основной дороги;Поездка началась с Армазской дороги (Гори-Кавтисхеви-Мцхета),;sequence_m
и держим направление в сторону Цинарехи.;сворачиваем с основной дороги;sequence_m
Дорога между двумя селами огибает складку земной поверхности, образовавшую небольшую гору, на которой ведется (или велась) добыча известняка и его обжиг.;сворачиваем с основной дороги;elaboration_r
Печи;так что сами по себе являются памятником грузинской мелкой промышленности времен Российской империи.;cause_r
для отжига,;Печи;purpose_r
вполне может быть, построены еще в XIX веке,;Печи;same-unit_m
так что сами по себе являются памятником грузинской мелкой промышленности времен Российской империи.;Дорога между двумя селами огибает складку земной поверхности, образовавшую небольшую гору, на которой ведется (или велась) добыча известняка и его обжиг.;elaboration_r
Наперегонки с поездом. Железная дорога от Тбилиси до самого Хашури тянется вдоль Куры, периодически меняя берега. Уплисцихе, между прочим, где-то на той стороне. Грузия, Кавчурское ущелье  Печи для получения извести. Грузия, Кавчурское ущелье;Дорога между двумя селами огибает складку земной поверхности, образовавшую небольшую гору, на которой ведется (или велась) добыча известняка и его обжиг.;elaboration_r
лежащим у подножия лесистого склона хребта,;За селом Цинарехи,;background_r
дорога уже неразлучно петляет вдоль левого берега реки Кавтура.;За селом Цинарехи,;same-unit_m
И становится очевидно, что мы поднимаемся в гору.;За селом Цинарехи,;evaluation_r
Примерно в двух километрах от центра Цинарехи находится церковный комплекс князей Магаладзе,;За селом Цинарехи,;elaboration_r
но заедем мы туда на обратном пути.;Примерно в двух километрах от центра Цинарехи находится церковный комплекс князей Магаладзе,;contrast_m
Грузия, Кавчурское ущелье;За селом Цинарехи,;elaboration_r
От комплекса до монастыря Кватахеви 4 км.;В середине этого отрезка сооружен мост,;background_r
свернув на который,;мы ненадолго прощаемся с рекой Кавтура;cause_r
мы ненадолго прощаемся с рекой Кавтура;В середине этого отрезка сооружен мост,;elaboration_r
и продолжаем движение сквозь живописный лес соседнего ущелья.;мы ненадолго прощаемся с рекой Кавтура;joint_m
Основная же дорога уходит куда-то на юг к селу Ботиси,;В середине этого отрезка сооружен мост,;comparison_m
на ней можно увидеть развалины давно заброшенных домов, судя по всему, построенных в древности.;Основная же дорога уходит куда-то на юг к селу Ботиси,;elaboration_r
Есть ли жизнь в Ботиси;Основная же дорога уходит куда-то на юг к селу Ботиси,;evaluation_r
— непонятно,;Есть ли жизнь в Ботиси;evaluation_r
но видно, что дорогой иногда пользуются.;Есть ли жизнь в Ботиси;contrast_m
Сюда мы еще вернемся.;Основная же дорога уходит куда-то на юг к селу Ботиси,;evaluation_r
Дорога к Кватахеви (снято на обратном пути). Грузия, Кавчурское ущелье, Кватахеви;В середине этого отрезка сооружен мост,;elaboration_r
Кватахеви появляется довольно эффектно;Территория монастыря огорожена стеной, на вид имеющей возраст в несколько столетий.;preparation_r
— среди деревьев начинает проглядывать внушительный купол собора.;Кватахеви появляется довольно эффектно;elaboration_r
В стену врезан современный проход, до которого через ущелье переброшен пешеходный мост.;Территория монастыря огорожена стеной, на вид имеющей возраст в несколько столетий.;joint_m
Изначально в монастырь входили через ворота, расположенные ровно на противоположной стороне стены со стороны горного склона.;В стену врезан современный проход, до которого через ущелье переброшен пешеходный мост.;background_r
Там и сейчас автомобильный въезд и сторожевая башня, в которой теперь голубятня.;В стену врезан современный проход, до которого через ущелье переброшен пешеходный мост.;elaboration_r
Могу предположить, что в зимнее время со стороны горы наносит прилично снега,;поэтому для удобства соорудили современный проход.;cause_r
и ворота бывают завалены,;Могу предположить, что в зимнее время со стороны горы наносит прилично снега,;joint_m
поэтому для удобства соорудили современный проход.;Там и сейчас автомобильный въезд и сторожевая башня, в которой теперь голубятня.;evaluation_r
Впрочем, внешний вид эта перестройка не испортила, а даже наоборот.;Там и сейчас автомобильный въезд и сторожевая башня, в которой теперь голубятня.;evaluation_r
Приехала туристическая группа. Грузия, Кавчурское ущелье, Кватахеви  Мостик, ведущий ко входу в монастырь. Грузия, Кавчурское ущелье, Кватахеви;Территория монастыря огорожена стеной, на вид имеющей возраст в несколько столетий.;elaboration_r
Монастырь в честь Успения Пресвятой Богородицы был основан на рубеже XII—XIII веков,;Ква по-грузински означает камень, хеви - ущелье,;preparation_r
во всяком случае в этот период о нем появляются первые упоминания в летописях.;Монастырь в честь Успения Пресвятой Богородицы был основан на рубеже XII—XIII веков,;elaboration_r
И даже какое-то время имел славу главного культового сооружения в Картли.;Монастырь в честь Успения Пресвятой Богородицы был основан на рубеже XII—XIII веков,;joint_m
то есть Кватахеви можно перевести как каменистое ущелье.;Ква по-грузински означает камень, хеви - ущелье,;restatement_m
Вообще, река Кавтура известна узкими ущельями, прорезанными в скале,;Ква по-грузински означает камень, хеви - ущелье,;background_r
и даже имеет небольшие водопады, находящиеся в основном вверх по течению - в местах совсем глухих и заповедных...;Вообще, река Кавтура известна узкими ущельями, прорезанными в скале,;joint_m
Здание основного храма имеет два портала, один на юге, второй на западе (основной).;Украшение изобилует лепниной, особенно вокруг окон и купола,;preparation_r
Украшение изобилует лепниной, особенно вокруг окон и купола,;Ква по-грузински означает камень, хеви - ущелье,;joint_m
восточный фасад украшен большим витиеватым крестом.;Украшение изобилует лепниной, особенно вокруг окон и купола,;joint_m
Эта, со слов настоятеля, рубашка храма покрыта более поздними орнаментами, предположительно XVII века,;Украшение изобилует лепниной, особенно вокруг окон и купола,;elaboration_r
она заметно отличается по цвету.;Эта, со слов настоятеля, рубашка храма покрыта более поздними орнаментами, предположительно XVII века,;evidence_r
К XVII веку относятся и более поздние постройки комплекса, такие как колокольня.;Эта, со слов настоятеля, рубашка храма покрыта более поздними орнаментами, предположительно XVII века,;sequence_m
Монастырь подвергся сильному разрушению во время одного из набегов Тамерлана (около 1400 года).;Про то, что на каменном полу, под коврами, находятся вгоревшие от топившегося жира следы человеческих костей, в которых легко различаются позвонки и тазобедренные суставы, не упоминается ни в одном отчете о монастыре.;preparation_r
Тогда в главном здании были заживо сожжены 300 человек, среди которых монахи и миряне.;Монастырь подвергся сильному разрушению во время одного из набегов Тамерлана (около 1400 года).;elaboration_r
Про то, что на каменном полу, под коврами, находятся вгоревшие от топившегося жира следы человеческих костей, в которых легко различаются позвонки и тазобедренные суставы, не упоминается ни в одном отчете о монастыре.;Ква по-грузински означает камень, хеви - ущелье,;joint_m
Предположу, что это место показывают далеко не всем,;Про то, что на каменном полу, под коврами, находятся вгоревшие от топившегося жира следы человеческих костей, в которых легко различаются позвонки и тазобедренные суставы, не упоминается ни в одном отчете о монастыре.;evaluation_r
либо не считают его чем-то из ряда вон выходящим.;Предположу, что это место показывают далеко не всем,;joint_m
Но лично для меня эти отпечатки остались главным впечатлением от всей поездки,;поэтому по возможности, находясь в Кватахеви, попросите заглянуть под ковры.;cause_r
поэтому по возможности, находясь в Кватахеви, попросите заглянуть под ковры.;Предположу, что это место показывают далеко не всем,;contrast_m
Фотографировать, к сожалению, не позволили,;поэтому по возможности, находясь в Кватахеви, попросите заглянуть под ковры.;elaboration_r
что, наверное, правильно...;Фотографировать, к сожалению, не позволили,;evaluation_r
Есть легенда, что пол покрывали новыми плитами,;Про то, что на каменном полу, под коврами, находятся вгоревшие от топившегося жира следы человеческих костей, в которых легко различаются позвонки и тазобедренные суставы, не упоминается ни в одном отчете о монастыре.;elaboration_r
следы специально замазывали,;Есть легенда, что пол покрывали новыми плитами,;joint_m
но они все равно проступали.;следы специально замазывали,;contrast_m
Значительно позже все сгоревшие были причислены к лику святых как Кватахевские мученики.;Про то, что на каменном полу, под коврами, находятся вгоревшие от топившегося жира следы человеческих костей, в которых легко различаются позвонки и тазобедренные суставы, не упоминается ни в одном отчете о монастыре.;elaboration_r
В том же пожаре, кстати, погибли фрески.;Значительно позже все сгоревшие были причислены к лику святых как Кватахевские мученики.;elaboration_r
Храм был восстановлен стараниями царя Александра I Великого (1390-1445).;Значительно позже все сгоревшие были причислены к лику святых как Кватахевские мученики.;sequence_m
В 30-х годах XVIII века, после частых набегов лезгин, монастырь на годы закрывался,;Значительно позже все сгоревшие были причислены к лику святых как Кватахевские мученики.;sequence_m
а его сокровища прятали в близлежащих пещерах.;В 30-х годах XVIII века, после частых набегов лезгин, монастырь на годы закрывался,;joint_m
В 1799 году лезгины в последний раз опустошили Кватахеви,;Значительно позже все сгоревшие были причислены к лику святых как Кватахевские мученики.;sequence_m
причем нанесенный ими ущерб был настолько значителен,;что монастырская жизнь прекратилась на десятилетия.;cause_r
что монастырская жизнь прекратилась на десятилетия.;В 1799 году лезгины в последний раз опустошили Кватахеви,;condition_r
Храм был восстановлен лишь в 1854 году;Значительно позже все сгоревшие были причислены к лику святых как Кватахевские мученики.;sequence_m
при поддержке князя Ивана Тархан-Моуравова.;Храм был восстановлен лишь в 1854 году;condition_r
Для историков место будет интересно также и тем, что в нем покоятся останки некоей царицы. А для паломников - мощами Ионна Крестителя и чудодейственной иконой, к которой обращаются те, кто не может забеременеть.;Значительно позже все сгоревшие были причислены к лику святых как Кватахевские мученики.;evaluation_r
Северный фасад. Грузия, Кавчурское ущелье, Кватахеви  Южный фасад. Грузия, Кавчурское ущелье, Кватахеви  Восточный фасад. Грузия, Кавчурское ущелье, Кватахеви  Декор. Грузия, Кавчурское ущелье, Кватахеви  Грузия, Кавчурское ущелье, Кватахеви  Купол. Грузия, Кавчурское ущелье, Кватахеви  Западный вход. Грузия, Кавчурское ущелье, Кватахеви;Ква по-грузински означает камень, хеви - ущелье,;elaboration_r
Нарушил запрет;Северный фасад. Грузия, Кавчурское ущелье, Кватахеви  Южный фасад. Грузия, Кавчурское ущелье, Кватахеви  Восточный фасад. Грузия, Кавчурское ущелье, Кватахеви  Декор. Грузия, Кавчурское ущелье, Кватахеви  Грузия, Кавчурское ущелье, Кватахеви  Купол. Грузия, Кавчурское ущелье, Кватахеви  Западный вход. Грузия, Кавчурское ущелье, Кватахеви;evaluation_r
и привез один кадр.;Нарушил запрет;joint_m
Как видите, ничего особенного здесь нет.;Нарушил запрет;evaluation_r
Самое впечатляющее покрыто коврами.;Как видите, ничего особенного здесь нет.;contrast_m
Монастырь,;В нем хранилось;preparation_r
как было принято в то время,;выполнял и просветительские функции.;background_r
выполнял и просветительские функции.;Монастырь,;same-unit_m
и было переписано множество рукописей.;В нем хранилось;joint_m
Где-то в сокровищницах Кватахеви еще со времен средневековья были спрятаны ювелирные изделия,;В нем хранилось;joint_m
часть которых, якобы, была приобретена Государственным Историческим музеем в Москве,;Где-то в сокровищницах Кватахеви еще со времен средневековья были спрятаны ювелирные изделия,;background_r
где и выставляется по сей день.;часть которых, якобы, была приобретена Государственным Историческим музеем в Москве,;sequence_m
Колокольня и трапезная с кельями. Грузия, Кавчурское ущелье, Кватахеви  Лестница на второй этаж. Грузия, Кавчурское ущелье, Кватахеви;В нем хранилось;elaboration_r
Над входом также сооружена келья.;Главный вход с монастырским джипом.;joint_m
Слева здание, бывшее, похоже, в далеком прошлом колокольней или выполнявшее роль сторожевой.;Главный вход с монастырским джипом.;joint_m
Сейчас здесь голубятня.;Слева здание, бывшее, похоже, в далеком прошлом колокольней или выполнявшее роль сторожевой.;elaboration_r
Грузия, Кавчурское ущелье, Кватахеви  Голубятня. Грузия, Кавчурское ущелье, Кватахеви  И сами голуби. Грузия, Кавчурское ущелье, Кватахеви  Жертвенный барашек. Грузия, Кавчурское ущелье, Кватахеви  Очень старая верба. Грузия, Кавчурское ущелье, Кватахеви;Главный вход с монастырским джипом.;elaboration_r
Можно взглянуть на монастырь и снаружи, со стороны не парадного входа,;Главный вход с монастырским джипом.;joint_m
где и заканчивается дорога к Кватахеви.;Можно взглянуть на монастырь и снаружи, со стороны не парадного входа,;elaboration_r
Там хозяйственная часть: дрова, стройматериалы и т.д.;Можно взглянуть на монастырь и снаружи, со стороны не парадного входа,;elaboration_r
Грузия, Кавчурское ущелье, Кватахеви Нашел отличное видео. Снято с квадрокоптера. Автору спасибо.;Можно взглянуть на монастырь и снаружи, со стороны не парадного входа,;elaboration_r
Осмотрев монастырь;мы вернулись к мосту через реку,;condition_r
(много времени это не заняло,;Осмотрев монастырь;elaboration_r
потому что дул неприятный ветер),;(много времени это не заняло,;cause_r
мы вернулись к мосту через реку,;Монахи из Кватахеви,;preparation_r
съехали на основную дорогу,;мы вернулись к мосту через реку,;sequence_m
и направились на юг на поиски неких загадочных развалин.;мы вернулись к мосту через реку,;sequence_m
На разных картах это малоизученное место, практически забытое и никому не известное, представлено то в виде монастыря, то в виде церковного комплекса, то в виде крепости.;мы вернулись к мосту через реку,;elaboration_r
Название также меняется от источника к источнику: Тавкавти, Тавкавта, а порой и просто Кавта.;На разных картах это малоизученное место, практически забытое и никому не известное, представлено то в виде монастыря, то в виде церковного комплекса, то в виде крепости.;elaboration_r
посовещавшись,;сказали нам, что до развалин мы не дойдем:;condition_r
сказали нам, что до развалин мы не дойдем:;Монахи из Кватахеви,;same-unit_m
во-первых, вечереет,;Монахи из Кватахеви,;cause_r
а, во-вторых, до них топать 8 км в гору.;во-первых, вечереет,;joint_m
Я ответил, что по моим источникам;Монахи из Кватахеви,;contrast_m
(нацарапал крошки в интернете),;Я ответил, что по моим источникам;elaboration_r
Тавкавти находится недалеко от дороги, ведущей в село Ботиси.;Я ответил, что по моим источникам;same-unit_m
(Так, например, это место обозначено на Викимапии,;Я ответил, что по моим источникам;elaboration_r
но там часто бывают серьезные ошибки.;(Так, например, это место обозначено на Викимапии,;contrast_m
Однако, указанные координаты подтверждаются информацией с сайта mygeorgia.ge.;то по прямой от Кватахеви до Тавкавти всего 2 км.);attribution_r
Если ей верить,;то по прямой от Кватахеви до Тавкавти всего 2 км.);condition_r
то по прямой от Кватахеви до Тавкавти всего 2 км.);(Так, например, это место обозначено на Викимапии,;contrast_m
Братья это предположение отвергли.;Монахи из Кватахеви,;sequence_m
А мы все же решили попробовать,;Братья это предположение отвергли.;contrast_m
но проехать удалось не больше пятисот метров,;А мы все же решили попробовать,;contrast_m
дальше дорога оказалась не проходимой,;но проехать удалось не больше пятисот метров,;cause_r
к тому же уже лишившиеся листвы кусты, разросшиеся на обочинах, и так достаточно поцарапали машину.;дальше дорога оказалась не проходимой,;joint_m
Вывод такой: до Тавкавти можно добраться только пешком,;А мы все же решили попробовать,;evidence_r
и на всякий случай стоит иметь немного свободного времени в запасе,;Вывод такой: до Тавкавти можно добраться только пешком,;joint_m
вдруг монахи;и на всякий случай стоит иметь немного свободного времени в запасе,;cause_r
