EDU_1;EDU_2;Relation
Тут все будет конечно не так готично как в случае доктора Джекила,;Ну смотрите.;preparation_r
потому пера Стивенсона не потребуется,;Тут все будет конечно не так готично как в случае доктора Джекила,;cause_r
хватит и моего.;потому пера Стивенсона не потребуется,;cause_r
Но тут все тоже очень и очень странно,;Тут все будет конечно не так готично как в случае доктора Джекила,;contrast_m
хотя местами, напротив, очень смешно.;Но тут все тоже очень и очень странно,;concession_r
Сначала про суд.;Это самый странный процесс такого рода в новейшей истории России,;preparation_r
я берусь утверждать это совершенно определенно.;Это самый странный процесс такого рода в новейшей истории России,;evaluation_r
И дело даже не в том, что на взятке взяли с поличным;Это самый странный процесс такого рода в новейшей истории России,;elaboration_r
и довели до суда чиновника такого уровня.;И дело даже не в том, что на взятке взяли с поличным;joint_m
Этот процесс изобилует странностями, которые быть может скоро войдут у учебники, а может - какую занятную беллетристику.;И дело даже не в том, что на взятке взяли с поличным;contrast_m
Притом - что самое удивительное - странной взбалмошной и нервной в этом процессе выглядит прокуратура.;Этот процесс изобилует странностями, которые быть может скоро войдут у учебники, а может - какую занятную беллетристику.;elaboration_r
Потому как подсудимые бывает чудят,;Притом - что самое удивительное - странной взбалмошной и нервной в этом процессе выглядит прокуратура.;evaluation_r
защита порой любит выхватить кролика из цилиндра;Потому как подсудимые бывает чудят,;joint_m
или вытряхнуть какую иную живность из рукава.;Потому как подсудимые бывает чудят,;joint_m
Прокурорские же обычно спокойны;Потому как подсудимые бывает чудят,;contrast_m
и невозмутимы как скалы.;Прокурорские же обычно спокойны;joint_m
Порой скучны.;Прокурорские же обычно спокойны;joint_m
Порой слабоваты в риторике.;Прокурорские же обычно спокойны;joint_m
Но чтобы так чудить?;Небывало.;solutionhood_r
Небывало.;Прокурорские же обычно спокойны;contrast_m
И вот.;Небывало.;contrast_m
— чего раньше не было никогда,;Про внезапно обнародованную прослушку переговоров двух очень больших дядек;contrast_m
