EDU_1;EDU_2;Relation
В мае компания LG анонсировала свой новый флагманский смартфон под названием G7 ThinQ.;С технической точки зрения LG G7 ThinQ является одним из самых мощных смартфонов на рынке.;background_r
Среди главных достоинств аппарата стоит выделить платформу Qualcomm Snapdragon 845, 6,1-дюймовый дисплей с разрешением 3120 × 1440 и вырезом в районе верхней грани, отличную двойную камеру, а также стеклянный влагозащищенный корпус.;С технической точки зрения LG G7 ThinQ является одним из самых мощных смартфонов на рынке.;elaboration_r
Но хватит ли этого,;Среди главных достоинств аппарата стоит выделить платформу Qualcomm Snapdragon 845, 6,1-дюймовый дисплей с разрешением 3120 × 1440 и вырезом в районе верхней грани, отличную двойную камеру, а также стеклянный влагозащищенный корпус.;contrast_m
чтобы составить достойную конкуренцию крепко обосновавшимся на вершине Samsung Galaxy S9, iPhone X или Huawei P20 Pro?;Но хватит ли этого,;purpose_r
Комплект поставки;Помимо самого смартфона, в комплекте вы найдете зарядное устройство, USB Type-C кабель, гарнитуру, инструмент для извлечения лотка с SIM-картами, а также документацию.;preparation_r
В целом, комплект поставки стандартен;Помимо самого смартфона, в комплекте вы найдете зарядное устройство, USB Type-C кабель, гарнитуру, инструмент для извлечения лотка с SIM-картами, а также документацию.;evaluation_r
и не отличается от большинства других смартфонов компании.;В целом, комплект поставки стандартен;joint_m
Дизайн;В компании LG всегда любили экспериментировать с дизайном.;preparation_r
В компании LG всегда любили экспериментировать с дизайном.;и создали смартфон, выполненный в привычном для всех дизайне 2018 года.;background_r
Модель G4 выделялась среди остальных смартфонов экстравагантной кожаной спинкой,;В компании LG всегда любили экспериментировать с дизайном.;evidence_r
G5 был наделен модульной конструкцией,;Модель G4 выделялась среди остальных смартфонов экстравагантной кожаной спинкой,;sequence_m
а G6 стал родоначальником моды на дисплеи формата 18:9.;Модель G4 выделялась среди остальных смартфонов экстравагантной кожаной спинкой,;sequence_m
Тем не менее, на этот раз инженеры решили оставить свои эксперименты;и создали смартфон, выполненный в привычном для всех дизайне 2018 года.;cause_r
Передняя и задняя панели смартфона прикрыты закаленным стеклом,;;elaboration_r
а в верхней части экрана расположена не так давно вошедшая в моду «монобровь».;Передняя и задняя панели смартфона прикрыты закаленным стеклом,;joint_m
Закаленное стекло, прикрывающее тыльную и фронтальную панели  LG G7 ThinQ, устойчиво к царапинам,;;joint_m
однако использовать смартфон без чехла мы бы все-таки не рекомендовали.;Закаленное стекло, прикрывающее тыльную и фронтальную панели  LG G7 ThinQ, устойчиво к царапинам,;contrast_m
Основа смартфона сделан из металла,;Закаленное стекло, прикрывающее тыльную и фронтальную панели  LG G7 ThinQ, устойчиво к царапинам,;joint_m
в которой,;Основа смартфона сделан из металла,;elaboration_r
если постараться,;можно увидеть малозаметные пластиковые вставки,;condition_r
можно увидеть малозаметные пластиковые вставки,;в которой,;same-unit_m
предназначенные для корректной работы антенн.;в которой,;purpose_r
Пожалуй, основным достоинством корпуса LG G7 ThinQ является его влагозащищенность.;;joint_m
Производитель обращает внимание,;что смартфон защищен не просто по стандарту IP68,;attribution_r
что смартфон защищен не просто по стандарту IP68,;Пожалуй, основным достоинством корпуса LG G7 ThinQ является его влагозащищенность.;elaboration_r
а имеет военный сертификат защиты (Military Standard 810G).;что смартфон защищен не просто по стандарту IP68,;contrast_m
Еще одним приятным моментом является то, что производитель оставил в смартфоне 3,5-мм мини-джек,;благодаря чему слушать музыку со смартфона можно без каких-либо переходников.;cause_r
благодаря чему слушать музыку со смартфона можно без каких-либо переходников.;;joint_m
Если говорить об органах управления,;они расположены в привычных местах.;condition_r
они расположены в привычных местах.;и создали смартфон, выполненный в привычном для всех дизайне 2018 года.;joint_m
Клавиша включения/блокировки смартфона находится на правом ребре,;они расположены в привычных местах.;evidence_r
а раздельные клавиши громкости расположены на левом торце LG G7 ThinQ.;Клавиша включения/блокировки смартфона находится на правом ребре,;joint_m
Тут же присутствует еще один непривычный элемент, дополнительная кнопка,;они расположены в привычных местах.;joint_m
при помощи которой можно вызывать Google Assistant.;Тут же присутствует еще один непривычный элемент, дополнительная кнопка,;elaboration_r
На верхней грани смартфона можно увидеть только отверстие для вспомогательного микрофона.;они расположены в привычных местах.;joint_m
На задней панели смартфона расположена двойная основная камера и чуть ниже — сканер отпечатков пальцев.;они расположены в привычных местах.;joint_m
