EDU_1;EDU_2;Relation
Палитра теней Zoeva Cocoa Blend;Сегодня на повестке дня симпатичная базовая палетка.;preparation_r
Сегодня на повестке дня симпатичная базовая палетка.;Итак, упаковка палетки Cocoa Blend внешне похожа на плитку шоколада.;preparation_r
Бренд Zoeva знаком мне, прежде всего, благодаря кистям.;Обычно я начинаю знакомство с брендами со своей любимой категории – теней для век.;solutionhood_r
А вот из декоративной косметики я не пробовала почти ничего,;Бренд Zoeva знаком мне, прежде всего, благодаря кистям.;contrast_m
хотя и слышала хорошие отзывы.;А вот из декоративной косметики я не пробовала почти ничего,;concession_r
Обычно я начинаю знакомство с брендами со своей любимой категории – теней для век.;Сегодня на повестке дня симпатичная базовая палетка.;background_r
Случай с Zoeva не стал исключением.;Обычно я начинаю знакомство с брендами со своей любимой категории – теней для век.;elaboration_r
Внешняя обложка изготовлена из картона,;Итак, упаковка палетки Cocoa Blend внешне похожа на плитку шоколада.;elaboration_r
снимается, как чехол.;Внешняя обложка изготовлена из картона,;joint_m
Футляр тоже картонный,;Внешняя обложка изготовлена из картона,;joint_m
закрывается на магнит.;Футляр тоже картонный,;joint_m
Зеркала и инструментов;Внешняя обложка изготовлена из картона,;joint_m
для нанесения;Зеркала и инструментов;purpose_r
не предусмотрено.;Зеркала и инструментов;same-unit_m
Произведены тени в Италии.;Внешняя обложка изготовлена из картона,;joint_m
Совокупный вес составляет 15 грамм (10 рефилов по 1,5 грамм).;Внешняя обложка изготовлена из картона,;joint_m
Срок годности с открытой крышечкой – 36 месяцев.;Внешняя обложка изготовлена из картона,;joint_m
Цена 1500 руб.;Внешняя обложка изготовлена из картона,;joint_m
Внутри палетки содержится 10 оттенков теней, среди которых 4 матовых и 6 сатиновых.;Bitter Start – матовый телесный оттенок.;preparation_r
Давайте рассмотрим их поближе.;Внутри палетки содержится 10 оттенков теней, среди которых 4 матовых и 6 сатиновых.;elaboration_r
Им хорошо закреплять базу,;Bitter Start – матовый телесный оттенок.;elaboration_r
высветлять пространство под бровью,;Им хорошо закреплять базу,;joint_m
подчищать растушевку.;Им хорошо закреплять базу,;joint_m
Достаточно пигментированный и немного пыльный.;Им хорошо закреплять базу,;joint_m
Sweeter End – оттенок-вуаль.;Bitter Start – матовый телесный оттенок.;joint_m
Под прямыми лучами света кажется розово-золотым,;Sweeter End – оттенок-вуаль.;elaboration_r
в динамике проявляются лиловые нотки.;Под прямыми лучами света кажется розово-золотым,;comparison_m
Хорошо подходит;Sweeter End – оттенок-вуаль.;elaboration_r
для макияжа «без макияжа»,;Хорошо подходит;purpose_r
создает едва заметный перелив на веке.;Хорошо подходит;joint_m
Warm Notes – насыщенный бордовый оттенок на коричневой базе.;Bitter Start – матовый телесный оттенок.;joint_m
Хорошо поддается наслоению,;Warm Notes – насыщенный бордовый оттенок на коричневой базе.;elaboration_r
растушевывается в едва заметную вуаль.;Хорошо поддается наслоению,;joint_m
Абсолютно беспроблемный.;Хорошо поддается наслоению,;evaluation_r
Subtle Blend – классический бронзовый оттенок с сатиновым финишем.;Bitter Start – матовый телесный оттенок.;joint_m
Универсальный и, пожалуй, самый ходовой из этой палетки.;Subtle Blend – классический бронзовый оттенок с сатиновым финишем.;evaluation_r
Beans Are White – темно-коричневый матовый оттенок.;Bitter Start – матовый телесный оттенок.;joint_m
Не самый послушный,;Beans Are White – темно-коричневый матовый оттенок.;evaluation_r
может осыпаться под глаза.;Не самый послушный,;cause_r
Общий свотч верхнего ряда оттенков.;Beans Are White – темно-коричневый матовый оттенок.;elaboration_r
Тени нанесены подушечкой пальца;Общий свотч верхнего ряда оттенков.;elaboration_r
без использования базы;Тени нанесены подушечкой пальца;condition_r
Pure Ganache – медно-золотой сатиновый оттенок.;Bitter Start – матовый телесный оттенок.;joint_m
Красивый, яркий, послушный.;Pure Ganache – медно-золотой сатиновый оттенок.;elaboration_r
Из всех сатинов палетки у этого самая кремовая и послушная текстура.;Красивый, яркий, послушный.;evaluation_r
Substitute For Love – матовый рыже-коричневый оттенок.;Bitter Start – матовый телесный оттенок.;joint_m
Использую его в качестве переходного в складке века.;Substitute For Love – матовый рыже-коричневый оттенок.;elaboration_r
Он отлично сочетается со всеми тенями из палетки;Использую его в качестве переходного в складке века.;joint_m
и за счет своей полупрозрачности;позволяет уводить более яркие оттенки в мягкую растушевку.;cause_r
позволяет уводить более яркие оттенки в мягкую растушевку.;Он отлично сочетается со всеми тенями из палетки;purpose_r
Freshly Toasted – бордово-коричневый матовый оттенок.;Bitter Start – матовый телесный оттенок.;joint_m
Соло его не использую,;Freshly Toasted – бордово-коричневый матовый оттенок.;elaboration_r
поскольку он плотно спрессован;Соло его не использую,;cause_r
и для получения заметного цвета;его нужно сильно наслаивать.;purpose_r
его нужно сильно наслаивать.;Соло его не использую,;joint_m
Но зато он хорошо подходит;Соло его не использую,;contrast_m
для углубления складки века, оформления внешнего уголка глаза и линии роста ресниц.;Но зато он хорошо подходит;purpose_r
Infusion – темный коричнево-серый оттенок.;Bitter Start – матовый телесный оттенок.;joint_m
Текстура этого оттенка не является однородной.;Infusion – темный коричнево-серый оттенок.;elaboration_r
В ней содержатся вкрапления золотистого шиммера.;Текстура этого оттенка не является однородной.;elaboration_r
К сожалению, на веке эти золотые искорки практически не заметны.;Текстура этого оттенка не является однородной.;contrast_m
Только если сильно наслаивать,;К сожалению, на веке эти золотые искорки практически не заметны.;condition_r
используя липкую базу.;Только если сильно наслаивать,;condition_r
Оттенок довольно пыльный,;может осыпаться в процессе нанесения,;evaluation_r
может осыпаться в процессе нанесения,;Текстура этого оттенка не является однородной.;elaboration_r
так что я наношу тон только после макияжа глаз с его участием.;может осыпаться в процессе нанесения,;cause_r
Delicate Acidity – единственный холодный оттенок палетки.;Bitter Start – матовый телесный оттенок.;joint_m
Лилово-сиреневый на серой базе.;Delicate Acidity – единственный холодный оттенок палетки.;elaboration_r
Мягкий и послушный, отличный вариант под стрелку.;Delicate Acidity – единственный холодный оттенок палетки.;evaluation_r
Общий свотч нижнего ряда оттенков.;Delicate Acidity – единственный холодный оттенок палетки.;elaboration_r
Тени нанесены подушечкой пальца;Общий свотч нижнего ряда оттенков.;elaboration_r
без использования базы;Тени нанесены подушечкой пальца;condition_r
Покажу несколько макияжей.;Delicate Acidity – единственный холодный оттенок палетки.;elaboration_r
В качестве резюме хочу сказать, что это далеко не самая крутая палетка в моей коллекции.;Технические характеристики хорошие,;preparation_r
Тем не менее, в процессе ее использования я поняла, что это отличный повседневный вариант;В качестве резюме хочу сказать, что это далеко не самая крутая палетка в моей коллекции.;contrast_m
для создания неброского дневного макияжа.;Тем не менее, в процессе ее использования я поняла, что это отличный повседневный вариант;purpose_r
Когда не нужна мега-пигментация и 100500 цветных переливов на веках,;тени Zoeva придутся кстати.;condition_r
тени Zoeva придутся кстати.;Тем не менее, в процессе ее использования я поняла, что это отличный повседневный вариант;elaboration_r
тени отлично держатся на базе до демакияжа.;Технические характеристики хорошие,;joint_m
В течение дня не тускнеют;Технические характеристики хорошие,;joint_m
и не скатываются.;В течение дня не тускнеют;joint_m
Гармонично сочетаются между собой;Технические характеристики хорошие,;joint_m
и дружат с любыми инструментами.;Гармонично сочетаются между собой;joint_m
Есть небольшие недочеты у оттенков Beans Are White и Infusion (о которых я писала выше),;Технические характеристики хорошие,;contrast_m
но я не считаю это критичным минусом.;Есть небольшие недочеты у оттенков Beans Are White и Infusion (о которых я писала выше),;contrast_m
В моей коллекции есть гораздо более сложные экземпляры.;но я не считаю это критичным минусом.;elaboration_r
Безусловно, кому-то палетка покажется скучной.;Технические характеристики хорошие,;joint_m
Но тем, кто, наоборот, предпочитает что-то непритязательное;я могу палетку порекомендовать.;condition_r
и любит теплую гамму в макияже,;Но тем, кто, наоборот, предпочитает что-то непритязательное;joint_m
я могу палетку порекомендовать.;Безусловно, кому-то палетка покажется скучной.;contrast_m
Она стоит вполне вменяемых денег;я могу палетку порекомендовать.;evaluation_r
и, на мой взгляд, имеет оптимальное сочетание цена/качество.;Она стоит вполне вменяемых денег;joint_m
