EDU_1;EDU_2;Relation
Это мой... первый пост в этом сообществе.;Идея вообще-то крутилась давно,;preparation_r
Идея вообще-то крутилась давно,;Наконец, ура, я сделала это!;solutionhood_r
но я все время забывала:;Идея вообще-то крутилась давно,;contrast_m
то полдня пройдет, как я вспомню, что хотела фиксировать события дня,;но я все время забывала:;cause_r
то начинала,;то полдня пройдет, как я вспомню, что хотела фиксировать события дня,;joint_m
но потом как все заверте!;то начинала,;contrast_m
Представлюсь:;меня зовут Света,;preparation_r
мне 39;меня зовут Света,;joint_m
и я живу в Праге.;меня зовут Света,;joint_m
Переехала сюда недавно - 29 декабря прошлого года из Англии,;и я живу в Праге.;elaboration_r
где прожила более 7 лет.;Переехала сюда недавно - 29 декабря прошлого года из Англии,;background_r
А родом я из Риги (привет землякам) :);и я живу в Праге.;background_r
Работаю в отделе комплаенс;поэтому для сообщества я выбрала выходной день,;preparation_r
(слежу за соответствием деятельности организации нормам и законам) фармакомпании.;Работаю в отделе комплаенс;elaboration_r
Согласно политике компании,;освещать внутреннюю среду и работу;cause_r
освещать внутреннюю среду и работу;поэтому для сообщества я выбрала выходной день,;cause_r
без согласования;освещать внутреннюю среду и работу;condition_r
нельзя,;освещать внутреннюю среду и работу;same-unit_m
тем более, у нас сейчас каникулы;поэтому для сообщества я выбрала выходной день,;cause_r
и на них запланировано все то, что частенько не влезает в рабочий день.;тем более, у нас сейчас каникулы;elaboration_r
Итак, под катом 63 фотографии выходного дня, 22 декабря 2018 года.;поэтому для сообщества я выбрала выходной день,;elaboration_r
С 20 декабря у нас корпоративные каникулы;и это дает не только спокойно подготовиться к зимним праздникам,;cause_r
и это дает не только спокойно подготовиться к зимним праздникам,;Итак, под катом 63 фотографии выходного дня, 22 декабря 2018 года.;elaboration_r
но и отдохнуть (а на работу 2 января, да).;и это дает не только спокойно подготовиться к зимним праздникам,;joint_m
В Праге я первый год,;поэтому многие бытовые моменты еще не устаканились,;cause_r
поэтому многие бытовые моменты еще не устаканились,;и это дает не только спокойно подготовиться к зимним праздникам,;background_r
да и город я еще не досконально изучила.;поэтому многие бытовые моменты еще не устаканились,;joint_m
Все будильники отключены,;Утро начинается около 9.;elaboration_r
графики сбиты,;Все будильники отключены,;joint_m
ощущение свободы безгранично :);Все будильники отключены,;evaluation_r
Как же без соц.сетей? :);Утро начинается около 9.;sequence_m
У меня невообразимый микс из новостей в ленте: новости от близких друзей, которых разбросало по всему миру, новости латвийские, чешские, мировые.;Как же без соц.сетей? :);elaboration_r
Лохматое утро.;Утро начинается около 9.;sequence_m
В плане селфи я какой-то перфекционист.;Лохматое утро.;elaboration_r
То мне не нравится как близкая камера искажает лицо,;Поэтому себяшек у меня мало (не только в этом посте, вообще).;cause_r
то не нравится одинаковая поза с вытянутой рукой :);То мне не нравится как близкая камера искажает лицо,;joint_m
Поэтому себяшек у меня мало (не только в этом посте, вообще).;В плане селфи я какой-то перфекционист.;elaboration_r
Минимальный завтрак: чай, творог с малиной;Утро начинается около 9.;sequence_m
(нет, печенек не было, это обман зрения).;Минимальный завтрак: чай, творог с малиной;concession_r
Минимальный потому, что иду в бассейн,;Минимальный завтрак: чай, творог с малиной;cause_r
а завтрак - потому что не могу не завтракать.;Минимальный потому, что иду в бассейн,;joint_m
Хотя бы чай должен быть обязательно.;а завтрак - потому что не могу не завтракать.;concession_r
По телевизору - ретро-музыка,;Утро начинается около 9.;sequence_m
это единственный канал, который я знаю;По телевизору - ретро-музыка,;elaboration_r
(тв не смотрю вообще,;это единственный канал, который я знаю;cause_r
в Англии у меня и телевизора-то не было).;(тв не смотрю вообще,;joint_m
Надеваю теплый махровый халат;— хочу его снять;preparation_r
и выхожу с чаем на балкон.;Надеваю теплый махровый халат;sequence_m
Это почти ежеутренний ритуал (исключение - проливной дождь и ураганный ветер).;Надеваю теплый махровый халат;background_r
Сутки лил дождь,;ковер еще не высох;cause_r
ковер еще не высох;— хочу его снять;cause_r
и скрутить в рулон.;— хочу его снять;joint_m
Осень была теплой;и я лишь в ноябре сняла подушки,;cause_r
и я лишь в ноябре сняла подушки,;— хочу его снять;background_r
убрала шезлонг;и я лишь в ноябре сняла подушки,;joint_m
и переставила цветы в комнаты.;и я лишь в ноябре сняла подушки,;joint_m
Оставшиеся горшки надо убрать;— хочу его снять;sequence_m
и почистить;Оставшиеся горшки надо убрать;joint_m
— это оставим на воскресенье.;Оставшиеся горшки надо убрать;evaluation_r
Погода так себе - ветерок и намечающийся дождь.;— хочу его снять;background_r
Пражане давно уже не видели белого Рождества.;Погода так себе - ветерок и намечающийся дождь.;background_r
В октябре выбрались с подругой в Дрезден,;Так что, недолго думая, приобрела паззл;background_r
от Праги тут два часа на автобусе,;В октябре выбрались с подругой в Дрезден,;background_r
погуляли по дрезденской галерее.;В октябре выбрались с подругой в Дрезден,;elaboration_r
Репродукции Шоколадницы я видела давно, а вот в реале - впервые.;Так что, недолго думая, приобрела паззл;cause_r
Так что, недолго думая, приобрела паззл;Еще немного утренней прокрастинации.;elaboration_r
и оставила его до каникул;Так что, недолго думая, приобрела паззл;joint_m
(иначе бессонные ночи на рабочей неделе мне гарантированы;и оставила его до каникул;cause_r
— в плане паззлов я азартна).;(иначе бессонные ночи на рабочей неделе мне гарантированы;cause_r
Самое время приступить к собиранию. Недолго. И за сборы!;Еще немного утренней прокрастинации.;sequence_m
что где-то в получасе езды от дома и от офиса.;Полгода я ходила в бассейн,;background_r
Полчаса - для Праги это значительно :);что где-то в получасе езды от дома и от офиса.;evaluation_r
Искала бассейны в округе.;Полгода я ходила в бассейн,;comparison_m
Съездила в один - те же полчаса.;Искала бассейны в округе.;elaboration_r
А тут, коллеги рассказали - рядом с офисом отель,;Вот сегодня я туда и иду на разведку.;background_r
в отеле спортзал с бассейном.;А тут, коллеги рассказали - рядом с офисом отель,;elaboration_r
Вот сегодня я туда и иду на разведку.;Полгода я ходила в бассейн,;comparison_m
Да, уже 10:40.;Живу я на стыке центра и спальных районов.;preparation_r
На работу я собираюсь за 40 минут,;Да, уже 10:40.;elaboration_r
но если у меня свободный режим;— я черепашу. :);condition_r
— я черепашу. :);На работу я собираюсь за 40 минут,;contrast_m
Здесь смешение частного сектора и многоквартирных домов.;Живу я на стыке центра и спальных районов.;elaboration_r
Истинно спальные районы (со знакомыми всем многоэтажками и многоподъездниками) дальше на 4 станции метро.;Здесь смешение частного сектора и многоквартирных домов.;background_r
Район выбирала только в ближнем радиусе от работы.;И сейчас до работы мне 20 минут пешком или 10 минут на автобусе.;cause_r
И сейчас до работы мне 20 минут пешком или 10 минут на автобусе.;Живу я на стыке центра и спальных районов.;elaboration_r
Идеально.;И сейчас до работы мне 20 минут пешком или 10 минут на автобусе.;evaluation_r
Отели, дома, офисы вперемешку.;Тепло. +8. Декабрь :);background_r
Тепло. +8. Декабрь :);Прогнозируют снижение температуры аж до +4 к концу месяца.;preparation_r
Хотя уже выпадал первый снег (в конце ноября), и даже второй (в начале декабря).;Тепло. +8. Декабрь :);concession_r
А сейчас такая теплая и дождливая осень.;Хотя уже выпадал первый снег (в конце ноября), и даже второй (в начале декабря).;contrast_m
В Праге я прожила все 4 сезона;Прогнозируют снижение температуры аж до +4 к концу месяца.;background_r
и кроме лета, которое вызвало у меня климатический шок (+35+38),;В Праге я прожила все 4 сезона;elaboration_r
особых потрясений не было.;и кроме лета, которое вызвало у меня климатический шок (+35+38),;contrast_m
Влажность выше, чем в Англии,;В Праге я прожила все 4 сезона;elaboration_r
но ниже, чем в родной Риге.;Влажность выше, чем в Англии,;comparison_m
Ах да и снега в Праге больше, чем в Бирмингеме;Влажность выше, чем в Англии,;joint_m
(даже если в Праге он 5 раз за зиму). :));Ах да и снега в Праге больше, чем в Бирмингеме;elaboration_r
Неспешно к 11 утра я подошла к своей цели.;что в официальные праздничные выходные торговые центры и магазины площадью свыше 200 кв.м. должны быть закрыты.;preparation_r
Мне нужен 24-й этаж вот этого бежевого здания.;Неспешно к 11 утра я подошла к своей цели.;elaboration_r
А за V-образным зданием - моя работа.;Мне нужен 24-й этаж вот этого бежевого здания.;background_r
Пока поднимаюсь в лифте,;делаю на заметку фото со временем работы спортзала в празднчные дни.;condition_r
делаю на заметку фото со временем работы спортзала в празднчные дни.;Неспешно к 11 утра я подошла к своей цели.;sequence_m
В Праге Рождество - это выходные 24, 25 и 26 декабря.;что в официальные праздничные выходные торговые центры и магазины площадью свыше 200 кв.м. должны быть закрыты.;background_r
В этом году был принят закон,;что в официальные праздничные выходные торговые центры и магазины площадью свыше 200 кв.м. должны быть закрыты.;attribution_r
что в официальные праздничные выходные торговые центры и магазины площадью свыше 200 кв.м. должны быть закрыты.;— обязательно фиксирую.;solutionhood_r
Маленькие частные магазинчики оставлены на усмотрение хозяев;что в официальные праздничные выходные торговые центры и магазины площадью свыше 200 кв.м. должны быть закрыты.;joint_m
— в основном, закрыты, как я успела заметить.;Маленькие частные магазинчики оставлены на усмотрение хозяев;elaboration_r
Из продуктовых будут работать вечерки;что в официальные праздничные выходные торговые центры и магазины площадью свыше 200 кв.м. должны быть закрыты.;joint_m
(или, как их тут называют вьетнамки,;Из продуктовых будут работать вечерки;restatement_m
из-за хозяев-вьетнамцев).;(или, как их тут называют вьетнамки,;cause_r
Так что если вижу где расписание на Рождество;— обязательно фиксирую.;condition_r
Получаю ключ от шкафчика;Шкафчики, душевые кабинки.;preparation_r
и иду переодеваться.;Получаю ключ от шкафчика;sequence_m
Аккуратно, чисто.;Шкафчики, душевые кабинки.;evaluation_r
Почему я так щепетильна?;К тому же был неприятный опыт в Бирмингеме, где приходилось мириться со своеобразным отношением к чистоте и гигиене.;solutionhood_r
Ну, в отношении чистоты общественных мест - очень.;Почему я так щепетильна?;elaboration_r
К тому же был неприятный опыт в Бирмингеме, где приходилось мириться со своеобразным отношением к чистоте и гигиене.;Аккуратно, чисто.;elaboration_r
но вмещает в себя всё: бассейн, джакузи, тренажерный зал, массажный кабинет.;Спорткомплекс небольшой,;contrast_m
Весьма удобно.;Спорткомплекс небольшой,;evaluation_r
Единственное но -;Весьма удобно.;contrast_m
если отель переполнен,;тут яблоку негде упасть.;condition_r
тут яблоку негде упасть.;Единственное но -;same-unit_m
Коллега была в начале декабря,;говорит, в бассейне не плавала;condition_r
говорит, в бассейне не плавала;Единственное но -;evidence_r
— ходила.;говорит, в бассейне не плавала;contrast_m
больше деловой -;Отель не сильно туристический,;contrast_m
приезжают делегации,;больше деловой -;cause_r
устраиваются конференции,;приезжают делегации,;joint_m
да и наши коллеги из других стран,;приезжают делегации,;joint_m
приезжая в командировку в Прагу,;останавливаются здесь же.;condition_r
останавливаются здесь же.;да и наши коллеги из других стран,;same-unit_m
Ну что ж, в январе народу много не будет, а там посмотрим.;Отель не сильно туристический,;evaluation_r
Расположение идеальное,;Ну что ж, в январе народу много не будет, а там посмотрим.;elaboration_r
выбор активностей широкий.;Расположение идеальное,;joint_m
А, да. И вид прекрасный (окно во весь размер зала).;Расположение идеальное,;joint_m
повтыкала на вид.;С удовольствием поплавала,;joint_m
Пора собираться.;С удовольствием поплавала,;sequence_m
Да, поясню, чем фотографирую;Латвийский закрыла,;preparation_r
— у меня два телефона. Чешский и британский.;Да, поясню, чем фотографирую;elaboration_r
В начале года было 3 (еще и латвийский).;Да, поясню, чем фотографирую;background_r
Латвийский закрыла,;С удовольствием поплавала,;joint_m
как только поняла, что в Ригу уже не вернусь.;Латвийский закрыла,;condition_r
От британского избавлюсь в марте.;Латвийский закрыла,;sequence_m
А пока удобно;— роуминга в Европе нет.;evaluation_r
— роуминга в Европе нет.;От британского избавлюсь в марте.;contrast_m
Домой возвращаюсь той же дорогой.;В самом начале своей пражской жизни, я сделала еще одно открытие;preparation_r
Проверяю почтовый ящик.;Домой возвращаюсь той же дорогой.;sequence_m
К этому пришлось привыкнуть.;Проверяю почтовый ящик.;elaboration_r
После 7,5 лет в Англии,;К этому пришлось привыкнуть.;elaboration_r
когда вся почта сваливается через почтовую щель прямо в квартиру,;пришлось заново привыкать к почтовому ящику.;condition_r
пришлось заново привыкать к почтовому ящику.;После 7,5 лет в Англии,;same-unit_m
— пражане не пишут на почтовых ящиках номера квартир.;В самом начале своей пражской жизни, я сделала еще одно открытие;elaboration_r
Вместо них они пишут фамилии.;— пражане не пишут на почтовых ящиках номера квартир.;contrast_m
