EDU_1;EDU_2;Relation
Пришло время формулу личной территории в близких отношениях написать.;Формула П описывает красное поле,;preparation_r
Те самые права (П),;Пришло время формулу личной территории в близких отношениях написать.;elaboration_r
за которые кто-то борется скалками,;Те самые права (П),;elaboration_r
а кто-то собирает мнения по знакомым:;за которые кто-то борется скалками,;joint_m
имею я право в баре после работы посидеть;а кто-то собирает мнения по знакомым:;elaboration_r
или тварь я дрожащая перед женой?;имею я право в баре после работы посидеть;contrast_m
Формула П описывает красное поле,;Вот эта формула.;preparation_r
хотя красное поле описывается не одной этой формулой.;Формула П описывает красное поле,;concession_r
На вид она простая.;Вот эта формула.;evaluation_r
П = СЗ(1) - СЗ(2);Вот эта формула.;elaboration_r
П - это размер вашей личной территории в отношениях, ваших прав или ваших рычагов, который определяется разницей СЗ, вашей и партнера.;Вот эта формула.;elaboration_r
При балансе;размер вашей личной территории равен нулю.;condition_r
размер вашей личной территории равен нулю.;П - это размер вашей личной территории в отношениях, ваших прав или ваших рычагов, который определяется разницей СЗ, вашей и партнера.;elaboration_r
Звучит устрашающе,;П - это размер вашей личной территории в отношениях, ваших прав или ваших рычагов, который определяется разницей СЗ, вашей и партнера.;elaboration_r
но значит лишь то, что;Звучит устрашающе,;contrast_m
при равной значимости;вы ничего не должны делать из того, что не нравится партнеру,;condition_r
вы ничего не должны делать из того, что не нравится партнеру,;но значит лишь то, что;same-unit_m
если хотите оставаться в границах.;вы ничего не должны делать из того, что не нравится партнеру,;condition_r
Но партнеру будет нравиться почти все,;но значит лишь то, что;contrast_m
что нравится вам.;Но партнеру будет нравиться почти все,;comparison_m
В этом заключается секрет баланса.;Но партнеру будет нравиться почти все,;evaluation_r
Вся ваша территория общая, в самом хорошем смысле.;В этом заключается секрет баланса.;elaboration_r
Коммунизм, мир, дружба и жвачка.;Вся ваша территория общая, в самом хорошем смысле.;evaluation_r
Если ваша СЗ(1) значительно больше СЗ(2) - значимости вашего партнера,;то личных прав у вас в отношениях много.;condition_r
то личных прав у вас в отношениях много.;Звучит устрашающе,;joint_m
Это значит практически что хочу, то и ворочу.;то личных прав у вас в отношениях много.;elaboration_r
Второй будет подстраиваться.;Это значит практически что хочу, то и ворочу.;contrast_m
Если он чего-то и не хочет,;волшебным образом захочет.;condition_r
волшебным образом захочет.;Второй будет подстраиваться.;elaboration_r
Если ваша СЗ(1) значительно меньше СЗ(2) - значимости вашего партнера,;то личных прав у вас в отношениях очень мало.;condition_r
то личных прав у вас в отношениях очень мало.;Звучит устрашающе,;joint_m
Вы должны делать только то,;то личных прав у вас в отношениях очень мало.;elaboration_r
что нравится партнеру.;Вы должны делать только то,;elaboration_r
Не пытайтесь устраивать бунт,;Вы должны делать только то,;elaboration_r
пожалеете.;Не пытайтесь устраивать бунт,;cause_r
Вот и вся наука о правах на общей территории.;Звучит устрашающе,;evaluation_r
Давайте поглядим, что получается,;а вы решаете отвоевать права. Пикой, как вам кажется, а на самом деле скалкой.;preparation_r
когда люди не учитывают этот закон.;Давайте поглядим, что получается,;condition_r
Допустим, разница СЗ не в вашу пользу,;а вы решаете отвоевать права. Пикой, как вам кажется, а на самом деле скалкой.;condition_r
а вы решаете отвоевать права. Пикой, как вам кажется, а на самом деле скалкой.;и вы будете должны выплатить компенсацию срочно,;preparation_r
Вы - в черном поле,;и вы будете должны выплатить компенсацию срочно,;cause_r
вы лишитесь других прав на общей территории,;Вы - в черном поле,;joint_m
ваша П станет меньше,;Вы - в черном поле,;joint_m
чтобы остаться в отношениях,;и вы будете должны выплатить компенсацию срочно,;purpose_r
либо покинуть территорию отношений;и выплатить компенсацию постепенно.;cause_r
