EDU_1;EDU_2;Relation
Читаю срач между авторами приложения насилию.нет и разработчиками,;что начинка другая,;preparation_r
которые сначала сделали эту приложуху,;Читаю срач между авторами приложения насилию.нет и разработчиками,;elaboration_r
а потом для тех же целей вторую – певице Маниже.;которые сначала сделали эту приложуху,;same-unit_m
Разработчики говорят,;что начинка другая,;attribution_r
но кто ж им поверит.;что начинка другая,;contrast_m
Мол, инициатор не виноват,;что начинка другая,;elaboration_r
«она просто не знала»,;Мол, инициатор не виноват,;joint_m
а негодяйские разработчики не сказали.;Мол, инициатор не виноват,;contrast_m
Стоп, но веткой комментов выше было сказано, что насилию.нет использовался в качестве референса,;то есть знала.;cause_r
то есть знала.;что начинка другая,;contrast_m
А даже если бы и нет,;это не задача исполнителя – устраивать ликбез по рынку.;condition_r
это не задача исполнителя – устраивать ликбез по рынку.;то есть знала.;contrast_m
И я не могу врубиться – в стране, где декриминализовано домашнее насилие;Я понимаю,;solutionhood_r
и есть в принципе два приложения;И я не могу врубиться – в стране, где декриминализовано домашнее насилие;joint_m
для экстренной помощи,;и есть в принципе два приложения;purpose_r
реально нужен этот срач?;И я не могу врубиться – в стране, где декриминализовано домашнее насилие;same-unit_m
Ну вот чтобы что?;И я не могу врубиться – в стране, где декриминализовано домашнее насилие;purpose_r
если бы там была встроенная монетизация,;Я понимаю,;condition_r
но ее вроде как нет.;Я понимаю,;contrast_m
Кто выживет?;Самый удобный и популярный.;solutionhood_r
Самый удобный и популярный.;Я понимаю,;joint_m
На семинарах для НКО сто раз уже повторили «считайте не только деньги на разработку, но и на раскрутку, обслуживание, апдейты;Самый удобный и популярный.;evidence_r
– иначе загнётся все к чертовой матери».;На семинарах для НКО сто раз уже повторили «считайте не только деньги на разработку, но и на раскрутку, обслуживание, апдейты;contrast_m
Можно сходить на кладбище благотворительных мобильных приложений,;На семинарах для НКО сто раз уже повторили «считайте не только деньги на разработку, но и на раскрутку, обслуживание, апдейты;evidence_r
чтобы убедиться.;Можно сходить на кладбище благотворительных мобильных приложений,;purpose_r
Да, многие люди с именем и деньгами прыгают в социальные вопросы,;Тут, наверное, однажды бы помог железобетонный авторитет НКО/профессионалов в конкретной теме,;solutionhood_r
уже считая себя профессионалами.;Да, многие люди с именем и деньгами прыгают в социальные вопросы,;evaluation_r
И срать хотели на тех, кто годами работает в теме;Да, многие люди с именем и деньгами прыгают в социальные вопросы,;joint_m
– даже массовые сборы  «новогодних подарочков в детские дома» продолжают всплывать,;И срать хотели на тех, кто годами работает в теме;evidence_r
хотя казалось бы.;– даже массовые сборы  «новогодних подарочков в детские дома» продолжают всплывать,;concession_r
Тут, наверное, однажды бы помог железобетонный авторитет НКО/профессионалов в конкретной теме,;Ну и с приветом волонтерскому фандрайзингу – вместо комментов на тему копирования приложения,;solutionhood_r
если бы он был.;Тут, наверное, однажды бы помог железобетонный авторитет НКО/профессионалов в конкретной теме,;condition_r
Чтобы никто не сунулся,;Тут, наверное, однажды бы помог железобетонный авторитет НКО/профессионалов в конкретной теме,;purpose_r
не спросив совета/не заручившись поддержкой.;Чтобы никто не сунулся,;condition_r
Но откуда ему взяться,;Тут, наверное, однажды бы помог железобетонный авторитет НКО/профессионалов в конкретной теме,;contrast_m
если «эти люди постоянно просят у нас денег»;Но откуда ему взяться,;condition_r
или бомбардируют безнадёгой;если «эти люди постоянно просят у нас денег»;joint_m
(то есть как будто и давят,;или бомбардируют безнадёгой;restatement_m
и не справляются).;(то есть как будто и давят,;contrast_m
Экспертами воспринимаются те, кто «справляется».;Но откуда ему взяться,;elaboration_r
Как правило, они работают в самых сложных темах,;Экспертами воспринимаются те, кто «справляется».;cause_r
на которые не найдёшь помощи,;Как правило, они работают в самых сложных темах,;condition_r
иначе как находя доказательства успехов – хосписа, поиск пропавших.;на которые не найдёшь помощи,;contrast_m
Мне почему-то кажется, что и в работе с волонтерами, со сторонниками, у них много позитива.;Экспертами воспринимаются те, кто «справляется».;evaluation_r
То есть не только коммуникация, но и личное мнение подкрепляет веру «эти –могут».;Мне почему-то кажется, что и в работе с волонтерами, со сторонниками, у них много позитива.;elaboration_r
не было бы эффективнее потратить это время,;Ну и с приветом волонтерскому фандрайзингу – вместо комментов на тему копирования приложения,;contrast_m
чтобы помочь подруге научить подругу им пользоваться?;не было бы эффективнее потратить это время,;purpose_r
И так по цепочке.;Ну и с приветом волонтерскому фандрайзингу – вместо комментов на тему копирования приложения,;elaboration_r
Хотя бы с благотворительного сектора начать.;И так по цепочке.;elaboration_r
Или с флешмоба на очередной конференции по женскому лидерству.;Хотя бы с благотворительного сектора начать.;joint_m
Алиса хорошо написала вчера в фб – статистически, у каждого из нас есть знакомый (и угроза), столкнувшийся с ВИЧ или насилием, или онкологией, или психическими расстройствами, или алкогольной зависимостью.;И так по цепочке.;elaboration_r
Но обсуждаем ли мы «что делать»,;Алиса хорошо написала вчера в фб – статистически, у каждого из нас есть знакомый (и угроза), столкнувшийся с ВИЧ или насилием, или онкологией, или психическими расстройствами, или алкогольной зависимостью.;contrast_m
если знаем, кто вообще-то может помочь?;Но обсуждаем ли мы «что делать»,;condition_r
