EDU_1;EDU_2;Relation
Вечное Небо смеется волнам...;Вечное Солнце горит над Неаполем,;joint_m
(с) Сергей Калугин;Вечное Солнце горит над Неаполем,;attribution_r
Вот я наконец и побывала в Неаполе,;Мы заехали туда после посещения Помпей.;preparation_r
о котором поётся в любимой песне.;Вот я наконец и побывала в Неаполе,;elaboration_r
Правда, экскурсия по Неаполю была очень короткой,;мы увидели только самый центр города.;cause_r
мы увидели только самый центр города.;Мы заехали туда после посещения Помпей.;elaboration_r
Неаполь был основан греческими поселенцами в VIII веке до н. э. под названием Партенопа (по имени мифологической сирены).;Мы заехали туда после посещения Помпей.;background_r
Впоследствии стал частью Римской республики, а затем — Римской империи.;Неаполь был основан греческими поселенцами в VIII веке до н. э. под названием Партенопа (по имени мифологической сирены).;sequence_m
В крепости Кастель делль Ово в 476 был заключён после своего свержения Ромул Августул, последний император Западной Римской империи.;Неаполь был основан греческими поселенцами в VIII веке до н. э. под названием Партенопа (по имени мифологической сирены).;elaboration_r
в ходе попытки императора Юстиниана I воссоздать Римскую империю.;В VI веке Неаполь завоевали византийцы;cause_r
В 638 — 1137 годах был столицей фактически независимого герцогства Неаполь.;В VI веке Неаполь завоевали византийцы;sequence_m
В 1139 году вошёл в состав Сицилийского королевства.;В VI веке Неаполь завоевали византийцы;sequence_m
В 1266 году Неаполь вместе со всем Сицилийским королевством был передан папой Карлу I Анжуйскому,;В VI веке Неаполь завоевали византийцы;sequence_m
который перенёс столицу из Палермо в Неаполь.;В 1266 году Неаполь вместе со всем Сицилийским королевством был передан папой Карлу I Анжуйскому,;background_r
В 1284 году королевство разделилось на две части, из которых каждая выдвигала претензии;В VI веке Неаполь завоевали византийцы;sequence_m
на право называться «Королевство Сицилия».;В 1284 году королевство разделилось на две части, из которых каждая выдвигала претензии;purpose_r
В XVII веке Неаполь насчитывал 300 тысяч жителей;В VI веке Неаполь завоевали византийцы;sequence_m
и был вторым по величине городом Европы после Парижа.;В XVII веке Неаполь насчитывал 300 тысяч жителей;evaluation_r
Он был славен театром Сан-Карло — в то время самым большим в мире.;В XVII веке Неаполь насчитывал 300 тысяч жителей;elaboration_r
В октябре 1860 года;В VI веке Неаполь завоевали византийцы;sequence_m
в результате референдума;был объявлен конец королевства;cause_r
был объявлен конец королевства;В октябре 1860 года;same-unit_m
и основание государства Италия.;был объявлен конец королевства;joint_m
Эта ландшафтная доминанта придает панораме Неаполя удивительный вид.;Первое, что видит любой турист в Неаполе, — это легендарный вулкан Везувий.;evaluation_r
Сам Везувий находится в 15 км от города,;Первое, что видит любой турист в Неаполе, — это легендарный вулкан Везувий.;elaboration_r
и это нее только самая известная,;Сам Везувий находится в 15 км от города,;evaluation_r
но и опасная достопримечательность пригорода — единственный в материковой Европе действующий вулкан.;и это нее только самая известная,;joint_m
Это самая большая площадь в Неаполе, сердце города.;Мы вышли на Пьяцца-дель-Плебишито (итал. Piazza del Plebiscito).;evaluation_r
Здесь в античности стояли греческие городские стены и замок Луцилия.;Мы вышли на Пьяцца-дель-Плебишито (итал. Piazza del Plebiscito).;background_r
Площадь обрамлена Королевским дворцом (длина фасада — 169 м) и, с противоположной стороны, неоклассическим зданием церкви Св. Франциска Паоланского.;Мы вышли на Пьяцца-дель-Плебишито (итал. Piazza del Plebiscito).;elaboration_r
а закончил Ванвителли,;Работы по сооружению королевского дворца начал Доменико Фонтана,;sequence_m
устроивший ниши со статуями неаполитанских правителей.;а закончил Ванвителли,;elaboration_r
Церковь воздвигнута в 1817-46 годах по проекту Пьетро Бьянки;Работы по сооружению королевского дворца начал Доменико Фонтана,;elaboration_r
и выделяется огромными крыльями с дорической колоннадой.;Церковь воздвигнута в 1817-46 годах по проекту Пьетро Бьянки;joint_m
Дворец Салерно появился в 1775 году,;С двух других сторон площадь замкнута стилистически близкими постройками: палаццо Салерно и палаццо делла Префеттура.;background_r
