EDU_1;EDU_2;Relation
Я набрела на вас относительно недавно,;Про то, как мне доверили более 200 тонн металла, скомпонованных в вагоны, которые способны двигаться со скоростью 130 км/ч;preparation_r
почитала записи,;Я набрела на вас относительно недавно,;joint_m
прониклась,;Я набрела на вас относительно недавно,;joint_m
так как очень интересно пишут люди тут;прониклась,;cause_r
и решила тоже рассказать про свой Первый раз.;Я набрела на вас относительно недавно,;joint_m
Пассажиров в поезде не было.;Про то, как мне доверили более 200 тонн металла, скомпонованных в вагоны, которые способны двигаться со скоростью 130 км/ч;joint_m
Были машинист, я, мой молодой человек и кондуктор.;Пассажиров в поезде не было.;contrast_m
Поезд шел резервом.;Про то, как мне доверили более 200 тонн металла, скомпонованных в вагоны, которые способны двигаться со скоростью 130 км/ч;joint_m
Позвольте приступить к рассказу? :);Про то, как мне доверили более 200 тонн металла, скомпонованных в вагоны, которые способны двигаться со скоростью 130 км/ч;joint_m
Дело было в 2017-м году, в ноябре.;Я сидела дома;preparation_r
и переписывалась со знакомым, который работал машинистом(он и сейчас работает).;Я сидела дома;joint_m
Болтали обо всякой фигне,;Я сидела дома;elaboration_r
обсуждали классику русского рока,;Болтали обо всякой фигне,;joint_m
смеялись.;Болтали обо всякой фигне,;joint_m
И черт меня дернул ему обмолвится, что я мечтаю попробовать поуправлять поездом. Когда-нибудь, где-нибудь...;Болтали обо всякой фигне,;elaboration_r
Просто сказала,;И черт меня дернул ему обмолвится, что я мечтаю попробовать поуправлять поездом. Когда-нибудь, где-нибудь...;evaluation_r
не придала этому значения.;Просто сказала,;joint_m
Знакомый многозначительно посмеялся;И черт меня дернул ему обмолвится, что я мечтаю попробовать поуправлять поездом. Когда-нибудь, где-нибудь...;sequence_m
и сказал, что запомнит мои слова.;Знакомый многозначительно посмеялся;joint_m
Прошло время, будучи на прогулке ощущаю легкую вибрацию телефона в кармане.;Туда упало сообщение в Whatsapp,;preparation_r
мол если все сростется -;поведешь поезд из Скулте в Ригу;condition_r
поведешь поезд из Скулте в Ригу;Туда упало сообщение в Whatsapp,;elaboration_r
Я долго думала,;Туда упало сообщение в Whatsapp,;elaboration_r
а потом меня осенило, что я обмолвилась о своем желании знакомому,;а он взял;cause_r
а он взял;Я долго думала,;contrast_m
и обо всем договорился.;а он взял;joint_m
Под сердцем ёкнуло.;Я долго думала,;evaluation_r
Мечта сбудется хоть на миг.;Под сердцем ёкнуло.;evaluation_r
Вечером мы с молодым человеком приехали в Ригу на электричке из Тукумса,;И вот настал день, а точнее вечер X;elaboration_r
подождали пока приедет знакомый.;Вечером мы с молодым человеком приехали в Ригу на электричке из Тукумса,;sequence_m
Подсели к нему;Вечером мы с молодым человеком приехали в Ригу на электричке из Тукумса,;sequence_m
и отправились в сторону Скулте вдоль Балтийского моря.;Подсели к нему;sequence_m
так как линия в ту сторону длиной всего 56 километров,;Ехать до Скулте со всеми остановками около часа,;evaluation_r
а скорость движения электропоезда по этой линии достигает до 100 км/ч.;так как линия в ту сторону длиной всего 56 километров,;joint_m
Пока ехали,;за окном темнело,;background_r
за окном темнело,;Ехать до Скулте со всеми остановками около часа,;joint_m
в кабине играл Цой со своей Кукушкой...;за окном темнело,;joint_m
Машинист был весьма неразговорчив.;за окном темнело,;joint_m
Он по натуре такой.;Машинист был весьма неразговорчив.;evaluation_r
Подъезжаем к конечной,;знакомый говорит, - Садись на мое место,;background_r
тормоза хоть опробуешь перед прибытием;знакомый говорит, - Садись на мое место,;joint_m
Я немного затупила,;знакомый говорит, - Садись на мое место,;joint_m
так как думала, что меня посадят только на обратном пути за пульт,;Я немного затупила,;cause_r
но радость в мозгу играла,;Я немного затупила,;contrast_m
что я вообще опять в кабине, уютном пространстве,;но радость в мозгу играла,;cause_r
где локомотивные бригады проводят большую часть своего времени.;что я вообще опять в кабине, уютном пространстве,;elaboration_r
Кровь бурлила.;но радость в мозгу играла,;evaluation_r
Мы приближались к станции,;Я немного затупила,;sequence_m
тяги на двигателях не было,;Мы приближались к станции,;joint_m
под колесами начались первые стрелки.;Мы приближались к станции,;joint_m
Вагон мотало по сторонам,;Мы приближались к станции,;joint_m
качало словно на волнах.;Вагон мотало по сторонам,;comparison_m
Я начала тормозить, используя навыки торможения,;Я немного затупила,;sequence_m
которые были в памяти после железнодорожных симуляторов после езды на скриптованных электропоездах,;Я начала тормозить, используя навыки торможения,;elaboration_r
где управление приближено к реальному.;которые были в памяти после железнодорожных симуляторов после езды на скриптованных электропоездах,;elaboration_r
В принципе, получалось.;Я начала тормозить, используя навыки торможения,;evaluation_r
Машинист почти ничего не говорил,;Я начала тормозить, используя навыки торможения,;evaluation_r
а это означало лишь то, что я пока делаю все правильно.;Машинист почти ничего не говорил,;evaluation_r
Проследовав последние стрелки и причаливая к платформе;мне сказали, чтоб я пустила машиниста обратно на место,;cause_r
так как был риск, что поезд может проехать мимо ограничительных знаков конца контактной сети.;мне сказали, чтоб я пустила машиниста обратно на место,;cause_r
Если бы я поехала дальше -;я бы пропустила конец провода;condition_r
я бы пропустила конец провода;мне сказали, чтоб я пустила машиниста обратно на место,;elaboration_r
и оставила бы поезд без тока, обломав ему рога(токоприемники).;я бы пропустила конец провода;joint_m
Они бы просто выстрелили вверх без опоры провода;я бы пропустила конец провода;evidence_r
и поломались.;Они бы просто выстрелили вверх без опоры провода;joint_m
Момент со стоянкой опустим,;мне сказали, чтоб я пустила машиниста обратно на место,;joint_m
так как машинист обходил состав,;Момент со стоянкой опустим,;cause_r
