EDU_1;EDU_2;Relation
вот нету текста;ну в один момент он значит сделал с одной грушей видно как благодарность этой груше;preparation_r
это так задумано да;вот нету текста;background_r
ну я думаю что это такая такой сюжетик фильм;вот нету текста;evaluation_r
значит это где-то южная страна может Мескика может что;человека там;background_r
человека там;ну в общем должен был три корзины нагрузить вот;background_r
дело в том что это не на своём участке видно человек собирает урожай груш;человека там;background_r
большая груша стоит дикая ну большая такая полноценная груша не дичка какая-то там вот;дело в том что это не на своём участке видно человек собирает урожай груш;evidence_r
ну в общем должен был три корзины нагрузить вот;ну в один момент он значит сделал с одной грушей видно как благодарность этой груше;background_r
что они ему может бесплатно достаются;ну в один момент он значит сделал с одной грушей видно как благодарность этой груше;cause_r
он сделал ритуал;ну в один момент он значит сделал с одной грушей видно как благодарность этой груше;purpose_r
вытер одну грушу своим шейный платком вот;он сделал ритуал;evidence_r
потом подъехал мальчик;ну в один момент он значит сделал с одной грушей видно как благодарность этой груше;sequence_m
но мальчик видно;что младший сын должен был приехать вот за грушами;background_r
я думаю что это немножко тут разыграл;но мальчик видно;evaluation_r
это его или сын младший сынок его или сосед;но мальчик видно;evidence_r
но я думаю;что младший сын должен был приехать вот за грушами;evaluation_r
что младший сын должен был приехать вот за грушами;ну в один момент он значит сделал с одной грушей видно как благодарность этой груше;evaluation_r
ну он приехал может раньше или как-то;что младший сын должен был приехать вот за грушами;evidence_r
а отец настолько был увлечён сбором груш;что он раз;cause_r
что он раз;ну в один момент он значит сделал с одной грушей видно как благодарность этой груше;sequence_m
погрузил;что он раз;sequence_m
и уехал тихонечко;что он раз;sequence_m
по дороге он встретил девочку;и наехал на камень;cause_r
которая ему нравилась;по дороге он встретил девочку;elaboration_r
и он увлёкся;и наехал на камень;cause_r
и наехал на камень;рассыпались груши;purpose_r
рассыпались груши;ну в один момент он значит сделал с одной грушей видно как благодарность этой груше;sequence_m
и тут вышли друзья его по этому посёлку;ну в один момент он значит сделал с одной грушей видно как благодарность этой груше;sequence_m
которые не агрессивны, а наоборот;и тут вышли друзья его по этому посёлку;elaboration_r
помогли ему собрать всё вот;которые не агрессивны, а наоборот;evidence_r
и даже потом он уронил шляпу;ему тоже дружок поднял ему шляпу;purpose_r
ему тоже дружок поднял ему шляпу;а в знак благодарности что он ему несколько груш дал;purpose_r
а в знак благодарности что он ему несколько груш дал;ну в один момент он значит сделал с одной грушей видно как благодарность этой груше;sequence_m
отблагодарил вот;а в знак благодарности что он ему несколько груш дал;restatement_r
ну ударился он при падении коленом там;ну в один момент он значит сделал с одной грушей видно как благодарность этой груше;sequence_m
травму вот;ну ударился он при падении коленом там;elaboration_r
ну а отец;в недоумении немножко понял;background_r
когда спустился;ну а отец;cause_r
в недоумении немножко понял;что а куда корзина-то делась одна;evaluation_r
что а куда корзина-то делась одна;ну в один момент он значит сделал с одной грушей видно как благодарность этой груше;antithesis_r
вроде три было;что а куда корзина-то делась одна;concession_r
а одной корзины нету;вроде три было;concession_r
ну вот и тут мальчики эту идут;у них нет при себе ни корзины;background_r
и он не поймёт;у них нет при себе ни корзины;evaluation_r
у них нет при себе ни корзины;ну в один момент он значит сделал с одной грушей видно как благодарность этой груше;sequence_m
ну у кого-то кто-то там груши доедал;у них нет при себе ни корзины;elaboration_r
или ещё нёс;ну у кого-то кто-то там груши доедал;elaboration_r
недоумение как бы такое от;у них нет при себе ни корзины;evaluation_r
такая маленькая комедия;ну в один момент он значит сделал с одной грушей видно как благодарность этой груше;evaluation_r
или как бы сказать сюжет такой;такая маленькая комедия;restatement_r
