EDU_1;EDU_2;Relation
пасека,;в начале показывают сбор урожая;background_r
в начале показывают сбор урожая;вот показана природа красивая природа;background_r
ну сад не сад;в начале показывают сбор урожая;background_r
как-то особо на сад не похож;ну сад не сад;evaluation_r
вот показана природа красивая природа;проезжал мимо ребенок;background_r
мужчины красивые;вот показана природа красивая природа;joint_m
как-то показано,;что каждый занят своим делом;evidence_r
что каждый занят своим делом;вот показана природа красивая природа;joint_m
что у мужчины тут;вот показана природа красивая природа;evidence_r
который вёл козу,;что у мужчины тут;elaboration_r
там коза там коза была;что у мужчины тут;elaboration_r
вёл козу,;что у мужчины тут;restatement_r
он даже как бы не обратил внимания на на того;что у мужчины тут;joint_m
кто собирает;он даже как бы не обратил внимания на на того;joint_m
я даже немножко удивилась,;собирает урожай,;evaluation_r
собирает урожай,;вот показана природа красивая природа;evidence_r
не остановились,;собирает урожай,;joint_m
не поговорили;собирает урожай,;joint_m
а мимо прошел;собирает урожай,;contrast_m
потому что я говорю;каждый занят своим делом;evidence_r
каждый занят своим делом;вот показана природа красивая природа;evidence_r
вот и дети;каждый занят своим делом;evidence_r
которые как-то бездельничают;вот и дети;elaboration_r
и у него большое желание взять эту грушу было,;возьму эту корзину;evaluation_r
ну потом подумал,;возьму эту корзину;evaluation_r
раз мне за это ничто не будет;возьму эту корзину;cause_r
и никто не видит;раз мне за это ничто не будет;joint_m
возьму эту корзину;проезжал мимо ребенок;evaluation_r
вот девочка;проезжал мимо ребенок;sequence_m
которая попалась ему навстречу;вот девочка;elaboration_r
чё-то щас вот это с девочкой;вот девочка;background_r
чё-то немножко мне не осталось в памяти;чё-то щас вот это с девочкой;restatement_r
есть девочка;вот девочка;restatement_r
ребята;проезжал мимо ребенок;sequence_m
которые на вид попались;ребята;elaboration_r
казалось;что они ему сейчас или уши надерут;evaluation_r
что они ему сейчас или уши надерут;ребята;evaluation_r
или отберут этот все груши и велосипед впридачу всё;что они ему сейчас или уши надерут;joint_m
тем не менее они оказались более добрые;что они ему сейчас или уши надерут;concession_r
помогли ему в беде;собрать эти груши;evaluation_r
собрать эти груши;ребята;evidence_r
помогли поставить;собрать эти груши;sequence_m
и отправили;собрать эти груши;sequence_m
но при этом вот я чуть-чуть;то ли они не всё положили;evaluation_r
то ли они не всё положили;ребята;antithesis_r
остались у него у них груши в руках;то ли они не всё положили;joint_m
то ли-и как бы тоже как бы своровали;то ли они не всё положили;joint_m
вот это мне немножечко непонятно осталось;то ли они не всё положили;evaluation_r
вот они вернули шляпу;проезжал мимо ребенок;sequence_m
они вернули ну шляпу;вот они вернули шляпу;restatement_r
а груши;вот они вернули шляпу;joint_m
которые они стали есть;а груши;elaboration_r
а он им дал;а груши;elaboration_r
я просто вот этого как бы это немножко отвлеклась;вот они вернули шляпу;evaluation_r
а потом;проезжал мимо ребенок;sequence_m
когда спустился сборщик урожая;а потом;background_r
у него-о как бы ннаверно он мысля была;что или реально дурак;evaluation_r
что или реально дурак;а потом;evaluation_r
или что-то не того;что или реально дурак;joint_m
или-и када залазил;что или реально дурак;joint_m
было два= две ёмкости с грушами;а потом;cause_r
а тут одна;было два= две ёмкости с грушами;concession_r
и вы знаете;в так= кие минуты можно подумать;evaluation_r
в так= кие минуты можно подумать;я бы тоже слезла;evaluation_r
что если это было со мной;я бы тоже слезла;condition_r
я бы тоже слезла;проезжал мимо ребенок;sequence_m
и подумала а было ли вообще тута две корзины полных;я бы тоже слезла;sequence_m
или нет;я бы тоже слезла;antithesis_r
и когда он увидел;проезжал мимо ребенок;sequence_m
что дети идут с грушами;и когда он увидел;background_r
до него наверно всё-таки дошло;что груши просто стащили вместе с корзиной вот;evaluation_r
что груши просто стащили вместе с корзиной вот;и когда он увидел;background_r
