EDU_1;EDU_2;Relation
действие происходит на юге;мужчина с усами собирает груши;preparation_r
заполняет целую корзину;мужчина с усами собирает груши;purpose_r
спелые сочные груши;мужчина с усами собирает груши;elaboration_r
и он заполнил корзину,;мужчина с усами собирает груши;restatement_r
влезает обратно на дерево;мужчина с усами собирает груши;sequence_m
собирает следующие груши,;влезает обратно на дерево;purpose_r
и подъезжает мальчик на старом велосипеде наверно пятидесятых годов на красном;мужчина с усами собирает груши;sequence_m
берёт очень профессионально эту корзину;мужчина с усами собирает груши;sequence_m
то есть она не очень для него тяжёлая,;берёт очень профессионально эту корзину;cause_r
видимо он раньше этим занимался;берёт очень профессионально эту корзину;evidence_r
кладёт её на велосипед;мужчина с усами собирает груши;sequence_m
и едет дальше;мужчина с усами собирает груши;sequence_m
но не тут-то было;и вдруг появляется девушка;preparation_r
и вдруг появляется девушка;мужчина с усами собирает груши;sequence_m
и едет ему навстречу,;и вдруг появляется девушка;sequence_m
его возраста,;и вдруг появляется девушка;elaboration_r
видимо со школы или ещё чего-то;и вдруг появляется девушка;elaboration_r
он оборачивается за этой девушкой,;и вдруг появляется девушка;sequence_m
понятно;такой возраст;evaluation_r
такой возраст;и вдруг появляется девушка;evaluation_r
и на велосипеде натыкается на камень;падает,;cause_r
падает,;мужчина с усами собирает груши;sequence_m
и все груши из корзины;падает,;result_r
как это сказать-то;расплёскиваются словно вода;solutionhood_r
расплёскиваются словно вода;и все груши из корзины;joint_m
и как только он встаёт;он замечает трёх человек в кустах, его сверстников ,его друзей видимо;background_r
он замечает трёх человек в кустах, его сверстников ,его друзей видимо;мужчина с усами собирает груши;sequence_m
которые молча помогают ему собрать все груши;он замечает трёх человек в кустах, его сверстников ,его друзей видимо;sequence_m
ставят его на колени;он замечает трёх человек в кустах, его сверстников ,его друзей видимо;sequence_m
он да он повредил колено;он замечает трёх человек в кустах, его сверстников ,его друзей видимо;elaboration_r
он садится дальше;мужчина с усами собирает груши;sequence_m
но один из них свистит ему;он садится дальше;antithesis_r
и говорят,;что тот забыл шапку;evidence_r
что тот забыл шапку;но один из них свистит ему;sequence_m
не говорит точнее,;что тот забыл шапку;elaboration_r
а показывает,;не говорит точнее,;contrast_m
дают ему шапку;но один из них свистит ему;sequence_m
и мальчик в ответ даёт им всем по одной груше;но один из них свистит ему;sequence_m
мальчик уезжает;но один из них свистит ему;sequence_m
эти три парня проходят мимо сборщика груш;мужчина с усами собирает груши;sequence_m
который спускается;эти три парня проходят мимо сборщика груш;background_r
и видит,;который спускается;sequence_m
что одна корзина наполнена;и видит,;evidence_r
другая пустая;что одна корзина наполнена;concession_r
всё;мужчина с усами собирает груши;evaluation_r
то есть это тупая история;всё;evaluation_r
