EDU_1;EDU_2;Relation
о ну крестьянин собирает на ферме груши;значит появляется какой-то парень такой типа Тома Сойера в общих словах;preparation_r
это он лайкрозиночки есть;о ну крестьянин собирает на ферме груши;elaboration_r
пока он там значит собирает и наверху;значит появляется какой-то парень такой типа Тома Сойера в общих словах;background_r
наверху значит сидит;пока он там значит собирает и наверху;elaboration_r
который с велосипедом;значит появляется какой-то парень такой типа Тома Сойера в общих словах;elaboration_r
стаскивает значит у него это самое корзинку целую мальчик;значит появляется какой-то парень такой типа Тома Сойера в общих словах;sequence_m
дядька ничего не замечает;значит появляется какой-то парень такой типа Тома Сойера в общих словах;sequence_m
ну он едет на велосипеде значит к себе там домой с этой корзиной;значит появляется какой-то парень такой типа Тома Сойера в общих словах;sequence_m
значит сталкивается с девчонкой;ну он едет на велосипеде значит к себе там домой с этой корзиной;sequence_m
которая на велосипеде навстречу едет;значит сталкивается с девчонкой;elaboration_r
теряет шляпу;ну он едет на велосипеде значит к себе там домой с этой корзиной;sequence_m
ии роняет всю корзину;ну он едет на велосипеде значит к себе там домой с этой корзиной;sequence_m
но к счастью значит как раз тимуровцы рядом значит;значит появляется какой-то парень такой типа Тома Сойера в общих словах;sequence_m
которые- значит помогают ему;но к счастью значит как раз тимуровцы рядом значит;elaboration_r
собирают всю эту значит корзину обратно;но к счастью значит как раз тимуровцы рядом значит;sequence_m
ну вот отправляют его дальше;но к счастью значит как раз тимуровцы рядом значит;sequence_m
а сами идут по своим делам счастливые довольные;но к счастью значит как раз тимуровцы рядом значит;contrast_m
получив три груши за все удовольствие;а сами идут по своим делам счастливые довольные;background_r
вот примерно так;ну вот;joint_m
