EDU_1;EDU_2;Relation
показывают сельскую местность;он уже набрал полную корзину;preparation_r
мужчина собирает груши с дерева;он уже набрал полную корзину;background_r
набрал вторую;он уже набрал полную корзину;sequence_m
полез за третьей;он уже набрал полную корзину;sequence_m
ну то есть он собирает в подол фартука по-моему в карман вот;он уже набрал полную корзину;elaboration_r
и мимо дерева;сначала проходит мужчина;background_r
там где он собирает плоды;и мимо дерева;cause_r
сначала проходит мужчина;он уже набрал полную корзину;sequence_m
который ведёт на верёвке козу;сначала проходит мужчина;elaboration_r
коза не очень охотно идёт вместе с ним;сначала проходит мужчина;elaboration_r
ну тем не менее он её тянет вот;коза не очень охотно идёт вместе с ним;concession_r
а потом проезжает мальчик на велосипеде;он уже набрал полную корзину;sequence_m
мальчик;соблазняется;background_r
увидев две корзины с грушами;мальчик;circumstance_r
соблазняется;а потом проезжает мальчик на велосипеде;evaluation_r
и решает одну из них украсть;соблазняется;sequence_m
пока мужчина не видит;соблазняется;circumstance_r
он останавливается;а потом проезжает мальчик на велосипеде;sequence_m
ставит корзину с грушами себе на багажник;он останавливается;sequence_m
садится;он останавливается;sequence_m
и в общем;уезжает;evaluation_r
я бы не сказала;что потихоньку;evaluation_r
что потихоньку;уезжает;evaluation_r
уезжает;он останавливается;sequence_m
удивляюсь;почему мужчина его не заметил;evaluation_r
почему мужчина его не заметил;а потом проезжает мальчик на велосипеде;evaluation_r
едет;а потом проезжает мальчик на велосипеде;sequence_m
корзина полная;едет;joint_m
не знаю;доволен он или нет;evaluation_r
доволен он или нет;едет;evaluation_r
эмоций я не замечала там особенно ни у кого;доволен он или нет;cause_r
навстречу ему едет девочка;едет;sequence_m
девочка;навстречу ему едет девочка;sequence_m
как мне показалось;девочка;evaluation_r
сорвала с него шляпу;девочка;joint_m
или просто её сдуло;девочка;joint_m
от того что она слишком близко подъехала вот;или просто её сдуло;cause_r
это я не заметила;или просто её сдуло;evaluation_r
мальчик;навстречу ему едет девочка;cause_r
для него это была конечно неожиданность;мальчик;evaluation_r
это как-то его дестабилизировало;для него это была конечно неожиданность;cause_r
и он отвлёкся от дороги и;для него это была конечно неожиданность;cause_r
наехал на камень;для него это была конечно неожиданность;cause_r
ну от удара о камень он упал;для него это была конечно неожиданность;cause_r
груши соответственно тоже все рассыпались;для него это была конечно неожиданность;cause_r
тут навстречу идут ещё три подростка навстречу мальчику;навстречу ему едет девочка;sequence_m
увидев;что на дороге валяется велосипед;background_r
что на дороге валяется велосипед;они подошли;background_r
мальчик у него лежит пустая корзина на боку;что на дороге валяется велосипед;joint_m
рассыпаны груши;что на дороге валяется велосипед;joint_m
они подошли;тут навстречу идут ещё три подростка навстречу мальчику;sequence_m
помогли собрать;они подошли;sequence_m
погрузить;они подошли;sequence_m
даже его как-то так отправили в путь;они подошли;sequence_m
можно сказать вот;даже его как-то так отправили в путь;evidence_r
продолжили свой путь;тут навстречу идут ещё три подростка навстречу мальчику;sequence_m
увидев на дороге шляпу мальчика;продолжили свой путь;sequence_m
они ему свистнули;увидев на дороге шляпу мальчика;background_r
остановили привлекли его внимание;они ему свистнули;purpose_r
вернули шляпу;продолжили свой путь;sequence_m
за это получили небольшое вознаграждение в виде нескольких плодов;вернули шляпу;cause_r
мальчики двигались как раз по направлению к тому дереву;продолжили свой путь;sequence_m
где мужчина собирал груши;мальчики двигались как раз по направлению к тому дереву;background_r
проходя мимо дерева;мальчики двигались как раз по направлению к тому дереву;background_r
мужчина а мужчина как раз спускался спустился с лестницы;продолжили свой путь;sequence_m
в это время проходили мальчики мимо дерева вот;мужчина а мужчина как раз спускался спустился с лестницы;background_r
он увидел мальчиков с грушами в руках;мужчина а мужчина как раз спускался спустился с лестницы;evaluation_r
увидел;он увидел мальчиков с грушами в руках;sequence_m
что у него нет корзины;увидел;evidence_r
удивился;увидел;evaluation_r
но никому ничего не предъявил;увидел;antithesis_r
ну просто посмотрел так вслед мальчикам;он увидел мальчиков с грушами в руках;sequence_m
но видимо сомневаясь всё-таки;что это они взяли;evaluation_r
что это они взяли;ну просто посмотрел так вслед мальчикам;antithesis_r
пропала-то всё-таки целая корзина;что это они взяли;cause_r
а у них-то всего-то две штуки в руках;пропала-то всё-таки целая корзина;concession_r
