EDU_1;EDU_2;Relation
Ну я думаю;что речь идет о садовнике;evaluation_r
что речь идет о садовнике;вот прошел там мужчина с козой;preparation_r
который очень любил свой сад;что речь идет о садовнике;elaboration_r
и очень бережно и аккуратно собирал урожай;который очень любил свой сад;joint_m
а вот и трепетно относился к каждому плоду;что речь идет о садовнике;elaboration_r
который он только вот сорвал с дерева;а вот и трепетно относился к каждому плоду;elaboration_r
и когда он собрал уже несколько корзин груш;мимо проходили люди;background_r
а ну когда он работал;мимо проходили люди;background_r
мимо проходили люди;вот прошел там мужчина с козой;background_r
каждый по своим делам;мимо проходили люди;elaboration_r
потом мальчишка проехал на велосипеде;вот прошел там мужчина с козой;sequence_m
и он остановился;вот прошел там мужчина с козой;sequence_m
чтобы взять одну грушу;и он остановился;purpose_r
но поразмыслив;вот прошел там мужчина с козой;antithesis_r
он решил;но поразмыслив;cause_r
что все-таки одной ему мало;он решил;purpose_r
и решил воспользоваться;но поразмыслив;purpose_r
пока мужчина был на дереве;и решил воспользоваться;background_r
и забрал всю ее корзину его верней корзину;но поразмыслив;cause_r
вот и поехал к себе домой;но поразмыслив;sequence_m
навстречу ему ехала девочка;вот прошел там мужчина с козой;sequence_m
они загляделись друг на друга;навстречу ему ехала девочка;sequence_m
и он уронил корзину с грушами;навстречу ему ехала девочка;cause_r
груши рассыпались;навстречу ему ехала девочка;cause_r
еще так было показано трогательно;как садовник эту ну не садовник а вот хозяин эту грушу каждую вытирал;evaluation_r
как садовник эту ну не садовник а вот хозяин эту грушу каждую вытирал;навстречу ему ехала девочка;evaluation_r
там так нежно к ней относился;как садовник эту ну не садовник а вот хозяин эту грушу каждую вытирал;elaboration_r
и тут они вдруг все в пыли лежат;как садовник эту ну не садовник а вот хозяин эту грушу каждую вытирал;concession_r
вот и конечно жалко было урожай что называется вот;как садовник эту ну не садовник а вот хозяин эту грушу каждую вытирал;evaluation_r
и мальчишка поднялся;вот прошел там мужчина с козой;sequence_m
почувствовал;что разбил ногу;evidence_r
что разбил ногу;естественно груши уже его не так волновали;cause_r
естественно груши уже его не так волновали;и мальчишка поднялся;antithesis_r
вот и когда он увидел;что к нему приближается группа других мальчишек деревенских;background_r
что к нему приближается группа других мальчишек деревенских;он даже несколько насторожился;background_r
он даже несколько насторожился;вот прошел там мужчина с козой;sequence_m
но те подошли;он даже несколько насторожился;antithesis_r
помогли ему подняться;но те подошли;sequence_m
подняли его рассыпавшиеся груши;но те подошли;sequence_m
все собрали;но те подошли;sequence_m
и помогли ему забраться на велосипед;но те подошли;sequence_m
ну а в момент столкновения с девочкой;и врезался в камень;background_r
можно сказать там;когда не с девочкой;evaluation_r
когда не с девочкой;ну а в момент столкновения с девочкой;restatement_r
а когда он загляделся;когда не с девочкой;restatement_r
и врезался в камень;вот прошел там мужчина с козой;sequence_m
у него слетела шляпа;и врезался в камень;cause_r
и он поехал дальше;и врезался в камень;sequence_m
забыв про нее;и он поехал дальше;evaluation_r
а вот мальчишки прошли немножко;вот прошел там мужчина с козой;sequence_m
увидели;что шляпа валяется;evidence_r
что шляпа валяется;а вот мальчишки прошли немножко;sequence_m
они ее подняли;а вот мальчишки прошли немножко;sequence_m
и вернули мальчику;а вот мальчишки прошли немножко;sequence_m
и тот их угостил грушами;а вот мальчишки прошли немножко;sequence_m
и они счастливые довольные пошли дальше;а вот мальчишки прошли немножко;sequence_m
и прошли как раз мимо хозяина груши вот этой большой;а вот мальчишки прошли немножко;sequence_m
и он глядя;когда он спустился с дерева;background_r
когда он спустился с дерева;что у него не хватает одной корзины;background_r
он увидел;что у него не хватает одной корзины;evidence_r
что у него не хватает одной корзины;а вот мальчишки прошли немножко;evaluation_r
он конечно был очень растерян;что у него не хватает одной корзины;evaluation_r
он не понял;что произошло;evaluation_r
что произошло;он конечно был очень растерян;cause_r
куда подевалась корзина;что произошло;joint_m
но заметив мальчишек;которые шли;background_r
которые шли;он наверняка подумал;circumstance_r
и жевали груши;которые шли;joint_m
он наверняка подумал;вот прошел там мужчина с козой;sequence_m
что это они взяли;он наверняка подумал;evaluation_r
