EDU_1;EDU_2;Relation
ну да ну в общем вот фильм такой вот;он собирал;preparation_r
ну либо это Италия;ну да ну в общем вот фильм такой вот;background_r
либо это Испания;ну либо это Италия;joint_m
в общем как это о сельской жизни вот значит местных там фермеров что ли;ну да ну в общем вот фильм такой вот;background_r
в общем конечно очень здорово;ну да ну в общем вот фильм такой вот;evaluation_r
ну вот о том как вот ну вот мне показаллось;что вот значит такой мужчина;evaluation_r
что вот значит такой мужчина;он собирал;background_r
ну и вот как он собирал груши;что вот значит такой мужчина;joint_m
там наверное они очень вкусные;что вот значит такой мужчина;evaluation_r
каждую протирал;он собирал;sequence_m
складывал их в эти самые большие корзины;он собирал;sequence_m
значит так очень аккуратно всё сложил вот;он собирал;cause_r
и значит потом подъехал;он собирал;sequence_m
ну его наверно сын его младший на велосипеде приехал значит;и значит потом подъехал;background_r
ну он помогать должен родителям;и значит потом подъехал;evaluation_r
и вот он значит взял эту корзину;он собирал;sequence_m
поставил её на велосипед;и вот он значит взял эту корзину;sequence_m
там такой на переднем колесе углубление;поставил её на велосипед;background_r
там поставил;поставил её на велосипед;restatement_r
и поехал;и вот он значит взял эту корзину;sequence_m
конечно надо было в общем-то везти вот так;а он значит поехал;antithesis_r
а он значит поехал;он собирал;sequence_m
и навстречу ехала девочка на велосипеде;а он значит поехал;sequence_m
он загляну= загляделся на неё;и навстречу ехала девочка на велосипеде;circumstance_r
и велосипед перевернулся;и навстречу ехала девочка на велосипеде;cause_r
все груши рассыпались вот;и навстречу ехала девочка на велосипеде;cause_r
ну ну на него это так в общем не произвело большого впечатления;а он значит поехал;evaluation_r
просто вот разный немножко подход молодым у молодых и старых да;ну ну на него это так в общем не произвело большого впечатления;evaluation_r
ну не старых а таких зрелых людей вот;просто вот разный немножко подход молодым у молодых и старых да;elaboration_r
и значит ну гуляли тут мальчишки ещё его сверстники;он собирал;sequence_m
просто гуляли там;и значит ну гуляли тут мальчишки ещё его сверстники;elaboration_r
я не знаю;и значит ну гуляли тут мальчишки ещё его сверстники;background_r
может быть приехали просто отдыхать;я не знаю;evidence_r
они ему помогли значит;и значит ну гуляли тут мальчишки ещё его сверстники;sequence_m
все эти груши собрали вот;они ему помогли значит;cause_r
он конечно такой грустный;опять это самое погрузил всё;evaluation_r
опять это самое погрузил всё;он собирал;sequence_m
потому что ну наверно поду= подумал;что вот они гуляют;evaluation_r
что вот они гуляют;опять это самое погрузил всё;evaluation_r
а мне приходится помогать родителям;что вот они гуляют;contrast_m
вот поехал дальше;он собирал;sequence_m
но это самое а шляпа-то у него улетела тоже;вот поехал дальше;sequence_m
когда он падал;но это самое а шляпа-то у него улетела тоже;background_r
вот и мальчишки значит эту шляпу подняли;но это самое а шляпа-то у него улетела тоже;sequence_m
ему принесли;но это самое а шляпа-то у него улетела тоже;sequence_m
он их за это угостил грушами вот;но это самое а шляпа-то у него улетела тоже;circumstance_r
это то есть мальчик такой ну благодарный;вот поехал дальше;antithesis_r
будем говорить да;это то есть мальчик такой ну благодарный;evaluation_r
вот ну и в общем повёз это всё домой помощник;вот поехал дальше;sequence_m
ну вот так вот у меня;он собирал;evaluation_r
