EDU_1;EDU_2;Relation
мимо проезжал мальчик на велосипеде;собирал груши;sequence_m
и корзину с грушами забрал;мимо проезжал мальчик на велосипеде;sequence_m
но он приехал специально;мимо проезжал мальчик на велосипеде;antithesis_r
чтобы их забрать;но он приехал специально;purpose_r
он знал;но он приехал специально;cause_r
что здесь сборщик груш;он знал;background_r
а проходил человек с козой;мимо проезжал мальчик на велосипеде;contrast_m
и не взял ни одной груши;а проходил человек с козой;joint_m
а мальчик погрузил это себе на велосипед;мимо проезжал мальчик на велосипеде;contrast_m
и поехал;а мальчик погрузил это себе на велосипед;joint_m
и случайно столкнулся;собирал груши;sequence_m
загляделся на девушку;и случайно столкнулся;cause_r
упал;и случайно столкнулся;cause_r
потерял шляпу;и случайно столкнулся;cause_r
и рассыпал груши;и случайно столкнулся;cause_r
и трое друзей помогли ему собрать эти груши;и случайно столкнулся;sequence_m
отдали шляпу;и трое друзей помогли ему собрать эти груши;restatement_m
и получили взамен три груши каждому по одной;и трое друзей помогли ему собрать эти груши;cause_r
а сборщик груш очень удивился;и случайно столкнулся;antithesis_r
когда спустился с дерева;а сборщик груш очень удивился;background_r
было три корзины;а сборщик груш очень удивился;cause_r
а осталось две причём одна пустая;было три корзины;concession_r
и увидел;что мальчики шли;evidence_r
что мальчики шли;собирал груши;sequence_m
и ели его груши;что мальчики шли;joint_m
но корзинки у них не было;что мальчики шли;antithesis_r
