EDU_1;EDU_2;Relation
ну я б сказала;не очень правдоподобная история;evaluation_r
не очень правдоподобная история;человек собирает груши;preparation_r
потому что этот человек;не очень правдоподобная история;cause_r
убирающий собирающий груши;потому что этот человек;elaboration_r
наверняка он все-таки звук слышит хорошо;потому что этот человек;joint_m
если только он не глухонемой;и не реагировал никак на этого мальчика;cause_r
и не реагировал никак на этого мальчика;потому что этот человек;evaluation_r
а я должна рассказать вот например вам;вот тем более мальчишки;evaluation_r
что вы не видели этого фильма;а я должна рассказать вот например вам;joint_m
да что в нем происходит;что вы не видели этого фильма;restatement_r
ну история проста как мир;человек падок на воровство;evaluation_r
человек падок на воровство;вот тем более мальчишки;evaluation_r
вот тем более мальчишки;человек собирает груши;preparation_r
которые когда уже готовые в корзине собранные груши;вот тем более мальчишки;elaboration_r
ну вот аккуратно их складывает;человек собирает груши;sequence_m
мальчик приезжает;человек собирает груши;sequence_m
видит одну из корзин;человек собирает груши;sequence_m
думает;на одну меньше будет;evaluation_r
на одну меньше будет;человек собирает груши;evaluation_r
ничего страшного;на одну меньше будет;evaluation_r
вот у него велосипед;человек собирает груши;sequence_m
он на велосипеде;вот у него велосипед;restatement_r
поэтому большую корзину так бы он не дотащил;вот у него велосипед;cause_r
а на велосипед он поставил ее;вот у него велосипед;contrast_m
и едет;а на велосипед он поставил ее;sequence_m
везет;а на велосипед он поставил ее;sequence_m
я сначала думала;что будут груши падать;evaluation_r
что будут груши падать;вот у него велосипед;evaluation_r
и будет дорожка;что будут груши падать;joint_m
показали;несколько груш упало;evidence_r
несколько груш упало;что будут груши падать;concession_r
но потом все;несколько груш упало;antithesis_r
а мимо едет девочка тоже на велосипеде шутница;человек собирает груши;sequence_m
и она пытается вернее она сняла с него шляпу;а мимо едет девочка тоже на велосипеде шутница;sequence_m
и отвлекла его тем самым от дороги;а мимо едет девочка тоже на велосипеде шутница;cause_r
мальчик не увидел камень;а мимо едет девочка тоже на велосипеде шутница;cause_r
упал;а мимо едет девочка тоже на велосипеде шутница;cause_r
груши рассыпались у него;а мимо едет девочка тоже на велосипеде шутница;cause_r
а рядом стоят мальчишки;человек собирает груши;sequence_m
тоже неправдоподобно;что мальчишки стали помогать ему собирать;evaluation_r
что мальчишки стали помогать ему собирать;а это они все-таки ему собрали;evaluation_r
нда они обычно смеются;что мальчишки стали помогать ему собирать;cause_r
издеваются;нда они обычно смеются;sequence_m
и им больше достанется;нда они обычно смеются;joint_m
а это они все-таки ему собрали;а рядом стоят мальчишки;sequence_m
даже помогли отряхнуть эти самые брючки штанишки;а это они все-таки ему собрали;sequence_m
и они но он они собрать-то собрали;а это они все-таки ему собрали;cause_r
но он их не угостил;и они но он они собрать-то собрали;antithesis_r
он их не поблагодарил ничего;но он их не угостил;restatement_r
может быть потому что это ворованное не свое;и они но он они собрать-то собрали;cause_r
не знаю я;может быть потому что это ворованное не свое;evaluation_r
вот и когда они уже вдруг увидели шляпу;они поняли;background_r
они поняли;что это его шляпа;background_r
что это его шляпа;человек собирает груши;sequence_m
они ему возвращают шляпу;что это его шляпа;cause_r
и тогда сами берут из корзины по груше;что это его шляпа;sequence_m
один берет вс= для всех;и тогда сами берут из корзины по груше;elaboration_r
ну эти мальчики идут дальше;человек собирает груши;sequence_m
и проходят мимо этого дерева;ну эти мальчики идут дальше;sequence_m
а этот ничего не слышащий не видящий садовник;ну эти мальчики идут дальше;antithesis_r
или кто он там;а этот ничего не слышащий не видящий садовник;elaboration_r
ну вот спускается;а этот ничего не слышащий не видящий садовник;joint_m
и не может понять;а этот ничего не слышащий не видящий садовник;evaluation_r
было три корзины;и не может понять;cause_r
осталось две;было три корзины;concession_r
куда девалось;было три корзины;restatement_r
и вдруг он видит мальчишек;человек собирает груши;sequence_m
идущих по дороге и;и вдруг он видит мальчишек;elaboration_r
но тоже груши он собирает;и вдруг он видит мальчишек;antithesis_r
они показывают;что они такие зеленые жесткие;evidence_r
что они такие зеленые жесткие;и вдруг он видит мальчишек;sequence_m
и все;что они такие зеленые жесткие;antithesis_r
но дети все едят и зеленые яблоки;что они такие зеленые жесткие;antithesis_r
и они проходят;но дети все едят и зеленые яблоки;sequence_m
и он удивлен;откуда у них;evaluation_r
откуда у них;и вдруг он видит мальчишек;evaluation_r
потому что рядом че-то вроде бы там не пока;откуда у них;cause_r
да еще хотела сказать;это или испания или италия;evidence_r
наверняка это происходит не у нас в стране;да еще хотела сказать;joint_m
потому что э вот этот платок принадлежность да вот мужские;да еще хотела сказать;evidence_r
я сначала даже думала;что может быть какая-то американская это южная;evaluation_r
что может быть какая-то американская это южная;это или испания или италия;joint_m
но потом думаю;там все-таки нет столько зелени;evaluation_r
там все-таки нет столько зелени;что может быть какая-то американская это южная;evaluation_r
сколько вокруг показано;там все-таки нет столько зелени;elaboration_r
зелени много;там все-таки нет столько зелени;elaboration_r
